Sample	taxa	abundance
0055-1FF	p__Firmicutes	68.68392
0055-1FF	p__Actinobacteria	17.85125
0055-1FF	p__Proteobacteria	10.05777
0055-1FF	p__Ascomycota	3.38208
0055-1FF	p__Bacteroidetes	0.02498
0055-4FF	p__Firmicutes	72.69707
0055-4FF	p__Actinobacteria	26.27669
0055-4FF	p__Proteobacteria	1.02263
0055-4FF	p__Bacteroidetes	0.00361
0055-5FF	p__Firmicutes	73.33938
0055-5FF	p__Actinobacteria	26.63668
0055-5FF	p__Proteobacteria	0.02048
0055-5FF	p__Ascomycota	0.00346
0073-1FF	p__Firmicutes	38.016
0073-1FF	p__Actinobacteria	34.60116
0073-1FF	p__Proteobacteria	27.09588
0073-1FF	p__Verrucomicrobia	0.27324
0073-1FF	p__Bacteroidetes	0.01373
0073-4FF	p__Firmicutes	96.12978
0073-4FF	p__Actinobacteria	3.87022
0073-5FF	p__Firmicutes	98.83186
0073-5FF	p__Actinobacteria	1.1635
0073-5FF	p__Bacteroidetes	0.00464
0091-1FF	p__Proteobacteria	97.78669
0091-1FF	p__Firmicutes	1.86172
0091-1FF	p__Actinobacteria	0.27358
0091-1FF	p__Bacteroidetes	0.07801
0091-4FF	p__Firmicutes	98.52402
0091-4FF	p__Actinobacteria	1.03084
0091-4FF	p__Bacteroidetes	0.44513
0091-5FF	p__Firmicutes	91.79406
0091-5FF	p__Bacteroidetes	4.88405
0091-5FF	p__Actinobacteria	3.199
0091-5FF	p__Proteobacteria	0.08306
0091-5FF	p__Verrucomicrobia	0.03983
0109-1FF	p__Firmicutes	71.10345
0109-1FF	p__Proteobacteria	26.42619
0109-1FF	p__Actinobacteria	2.39477
0109-1FF	p__Bacteroidetes	0.07558
0109-4FF	p__Firmicutes	92.87257
0109-4FF	p__Actinobacteria	4.14481
0109-4FF	p__Ascomycota	2.93497
0109-4FF	p__Bacteroidetes	0.04765
0109-5FF	p__Firmicutes	88.70824
0109-5FF	p__Actinobacteria	11.12111
0109-5FF	p__Proteobacteria	0.0914
0109-5FF	p__Bacteroidetes	0.07924
0127-1FF	p__Firmicutes	66.28209
0127-1FF	p__Bacteroidetes	12.14739
0127-1FF	p__Proteobacteria	11.40571
0127-1FF	p__Actinobacteria	10.11916
0127-1FF	p__Verrucomicrobia	0.04565
0127-4FF	p__Firmicutes	93.48303
0127-4FF	p__Actinobacteria	6.13542
0127-4FF	p__Verrucomicrobia	0.25872
0127-4FF	p__Proteobacteria	0.07934
0127-4FF	p__Bacteroidetes	0.04348
0127-5FF	p__Firmicutes	86.09029
0127-5FF	p__Actinobacteria	13.64215
0127-5FF	p__Proteobacteria	0.26755
0136-1FF	p__Firmicutes	50.48422
0136-1FF	p__Bacteroidetes	38.4591
0136-1FF	p__Actinobacteria	10.77334
0136-1FF	p__Proteobacteria	0.28334
0136-4FF	p__Firmicutes	92.81525
0136-4FF	p__Actinobacteria	7.15388
0136-4FF	p__Bacteroidetes	0.03086
0136-5FF	p__Firmicutes	73.6223
0136-5FF	p__Actinobacteria	18.84383
0136-5FF	p__Bacteroidetes	7.53386
0145-1FF	p__Firmicutes	87.59486
0145-1FF	p__Actinobacteria	11.34262
0145-1FF	p__Proteobacteria	0.87302
0145-1FF	p__Bacteroidetes	0.18951
0145-4FF	p__Firmicutes	65.73805
0145-4FF	p__Actinobacteria	33.60246
0145-4FF	p__Bacteroidetes	0.47064
0145-4FF	p__Euryarchaeota	0.18443
0145-4FF	p__Proteobacteria	0.00442
0145-5FF	p__Firmicutes	76.72565
0145-5FF	p__Actinobacteria	22.66769
0145-5FF	p__Proteobacteria	0.55726
0145-5FF	p__Bacteroidetes	0.04939
0163-1FF	p__Proteobacteria	75.03412
0163-1FF	p__Firmicutes	14.15584
0163-1FF	p__Bacteroidetes	10.56943
0163-1FF	p__Actinobacteria	0.24062
0163-4FF	p__Firmicutes	97.65854
0163-4FF	p__Actinobacteria	2.2181
0163-4FF	p__Bacteroidetes	0.12336
0163-5FF	p__Firmicutes	97.38707
0163-5FF	p__Actinobacteria	2.41049
0163-5FF	p__Verrucomicrobia	0.20243
0181-1FF	p__Firmicutes	58.74491
0181-1FF	p__Proteobacteria	32.29684
0181-1FF	p__Bacteroidetes	8.36222
0181-1FF	p__Actinobacteria	0.59603
0181-4FF	p__Firmicutes	91.20006
0181-4FF	p__Actinobacteria	7.97092
0181-4FF	p__Proteobacteria	0.82902
0181-5FF	p__Firmicutes	95.76242
0181-5FF	p__Actinobacteria	4.191
0181-5FF	p__Proteobacteria	0.04658
0217-1FF	p__Firmicutes	92.34261
0217-1FF	p__Actinobacteria	7.5082
0217-1FF	p__Bacteroidetes	0.09827
0217-1FF	p__Verrucomicrobia	0.01895
0217-1FF	p__Proteobacteria	0.01698
0217-1FF	p__Ascomycota	0.01499
0217-4FF	p__Firmicutes	46.7137
0217-4FF	p__Actinobacteria	42.3714
0217-4FF	p__Proteobacteria	9.66711
0217-4FF	p__Bacteroidetes	1.24779
0217-5FF	p__Firmicutes	72.51055
0217-5FF	p__Actinobacteria	27.31648
0217-5FF	p__Bacteroidetes	0.11238
0217-5FF	p__Proteobacteria	0.06059
0226-1	p__Firmicutes	72.02975
0226-1	p__Actinobacteria	27.82217
0226-1	p__Verrucomicrobia	0.14808
0226-1FF	p__Firmicutes	60.71627
0226-1FF	p__Actinobacteria	37.07062
0226-1FF	p__Proteobacteria	1.11404
0226-1FF	p__Verrucomicrobia	1.09907
0226-4	p__Firmicutes	69.52343
0226-4	p__Actinobacteria	30.47657
0226-4FF	p__Firmicutes	72.75879
0226-4FF	p__Actinobacteria	27.19879
0226-4FF	p__Bacteroidetes	0.04242
0226-5	p__Actinobacteria	55.94551
0226-5	p__Firmicutes	43.59073
0226-5	p__Verrucomicrobia	0.28203
0226-5	p__Bacteroidetes	0.12966
0226-5	p__Proteobacteria	0.05207
0226-5FF	p__Actinobacteria	52.86085
0226-5FF	p__Firmicutes	46.74553
0226-5FF	p__Bacteroidetes	0.19675
0226-5FF	p__Verrucomicrobia	0.12057
0226-5FF	p__Proteobacteria	0.0763
0235-1	p__Actinobacteria	64.11337
0235-1	p__Firmicutes	34.84422
0235-1	p__Bacteroidetes	1.04242
0235-1FF	p__Firmicutes	79.08659
0235-1FF	p__Actinobacteria	16.68735
0235-1FF	p__Ascomycota	4.19126
0235-1FF	p__Bacteroidetes	0.0348
0235-4	p__Firmicutes	96.94129
0235-4	p__Proteobacteria	2.35939
0235-4	p__Actinobacteria	0.69932
0235-4FF	p__Firmicutes	95.43209
0235-4FF	p__Proteobacteria	3.92163
0235-4FF	p__Actinobacteria	0.44587
0235-4FF	p__Bacteroidetes	0.19446
0235-4FF	p__Ascomycota	0.00594
0235-5	p__Firmicutes	95.66552
0235-5	p__Proteobacteria	4.06457
0235-5	p__Ascomycota	0.25836
0235-5	p__Actinobacteria	0.01154
0235-5FF	p__Firmicutes	98.11171
0235-5FF	p__Proteobacteria	1.81247
0235-5FF	p__Ascomycota	0.06548
0235-5FF	p__Bacteroidetes	0.01033
0253-1FF	p__Firmicutes	87.67181
0253-1FF	p__Actinobacteria	12.32819
0253-4	p__Firmicutes	69.21303
0253-4	p__Actinobacteria	30.78697
0253-4FF	p__Firmicutes	92.04463
0253-4FF	p__Actinobacteria	7.95537
0253-5	p__Firmicutes	73.64729
0253-5	p__Actinobacteria	26.35271
0253-5FF	p__Firmicutes	75.33366
0253-5FF	p__Actinobacteria	23.12589
0253-5FF	p__Ascomycota	1.52477
0253-5FF	p__Proteobacteria	0.01567
0271-1	p__Firmicutes	61.75518
0271-1	p__Actinobacteria	38.24482
0271-1FF	p__Firmicutes	65.25281
0271-1FF	p__Actinobacteria	34.72107
0271-1FF	p__Bacteroidetes	0.02613
0271-4FF	p__Firmicutes	98.92336
0271-4FF	p__Actinobacteria	0.87371
0271-4FF	p__Euryarchaeota	0.20294
0271-5	p__Firmicutes	91.9687
0271-5	p__Actinobacteria	7.27892
0271-5	p__Euryarchaeota	0.75238
0271-5FF	p__Firmicutes	92.5065
0271-5FF	p__Actinobacteria	3.93262
0271-5FF	p__Euryarchaeota	3.56089
0299-1FF	p__Bacteroidetes	67.72384
0299-1FF	p__Firmicutes	25.0598
0299-1FF	p__Proteobacteria	7.21636
0299-4	p__Firmicutes	98.53662
0299-4	p__Actinobacteria	1.42793
0299-4	p__Verrucomicrobia	0.03544
0299-4FF	p__Firmicutes	98.5249
0299-4FF	p__Actinobacteria	1.29177
0299-4FF	p__Bacteroidetes	0.1646
0299-4FF	p__Verrucomicrobia	0.01872
0307-1	p__Actinobacteria	50.26284
0307-1	p__Firmicutes	46.92018
0307-1	p__Proteobacteria	2.81698
0307-1FF	p__Actinobacteria	48.67003
0307-1FF	p__Firmicutes	48.38406
0307-1FF	p__Proteobacteria	2.09043
0307-1FF	p__Bacteroidetes	0.85548
0307-4	p__Actinobacteria	75.19708
0307-4	p__Firmicutes	24.80292
0307-4FF	p__Actinobacteria	61.56339
0307-4FF	p__Firmicutes	38.34229
0307-4FF	p__Proteobacteria	0.09432
0307-5	p__Firmicutes	51.95791
0307-5	p__Actinobacteria	47.95795
0307-5	p__Proteobacteria	0.08414
0307-5FF	p__Firmicutes	61.79991
0307-5FF	p__Actinobacteria	38.07986
0307-5FF	p__Proteobacteria	0.12022
0316-1	p__Firmicutes	93.50973
0316-1	p__Actinobacteria	3.19794
0316-1	p__Proteobacteria	3.10336
0316-1	p__Bacteroidetes	0.18897
0316-1FF	p__Firmicutes	94.23535
0316-1FF	p__Proteobacteria	4.25297
0316-1FF	p__Actinobacteria	1.45208
0316-1FF	p__Bacteroidetes	0.04202
0316-1FF	p__Verrucomicrobia	0.01758
0316-4	p__Firmicutes	88.51858
0316-4	p__Actinobacteria	6.63542
0316-4	p__Proteobacteria	4.84601
0316-4FF	p__Firmicutes	86.3514
0316-4FF	p__Actinobacteria	7.96642
0316-4FF	p__Proteobacteria	5.12835
0316-4FF	p__Bacteroidetes	0.55383
0316-5	p__Firmicutes	90.87694
0316-5	p__Actinobacteria	8.77556
0316-5	p__Bacteroidetes	0.24879
0316-5	p__Proteobacteria	0.0987
0316-5FF	p__Firmicutes	92.0941
0316-5FF	p__Actinobacteria	7.53012
0316-5FF	p__Bacteroidetes	0.37578
0325-1	p__Firmicutes	75.31382
0325-1	p__Actinobacteria	24.12027
0325-1	p__Proteobacteria	0.48667
0325-1	p__Bacteroidetes	0.04996
0325-1	p__Verrucomicrobia	0.02928
0325-1FF	p__Firmicutes	91.59478
0325-1FF	p__Actinobacteria	7.62621
0325-1FF	p__Proteobacteria	0.71457
0325-1FF	p__Verrucomicrobia	0.06444
0325-4	p__Firmicutes	96.224
0325-4	p__Actinobacteria	3.73501
0325-4	p__Bacteroidetes	0.03004
0325-4	p__Verrucomicrobia	0.01095
0325-4FF	p__Firmicutes	95.70154
0325-4FF	p__Actinobacteria	4.14504
0325-4FF	p__Verrucomicrobia	0.15342
0325-5	p__Firmicutes	96.20256
0325-5	p__Verrucomicrobia	2.51794
0325-5	p__Actinobacteria	1.2795
0325-5FF	p__Firmicutes	97.1358
0325-5FF	p__Verrucomicrobia	1.99666
0325-5FF	p__Actinobacteria	0.86754
0361-1	p__Firmicutes	88.78525
0361-1	p__Actinobacteria	11.19519
0361-1	p__Bacteroidetes	0.01956
0361-1FF	p__Firmicutes	97.85767
0361-1FF	p__Actinobacteria	2.13836
0361-1FF	p__Bacteroidetes	0.00396
0361-4	p__Firmicutes	99.2954
0361-4	p__Actinobacteria	0.68004
0361-4	p__Ascomycota	0.02456
0361-4FF	p__Firmicutes	99.19807
0361-4FF	p__Actinobacteria	0.77173
0361-4FF	p__Ascomycota	0.0302
0361-5	p__Firmicutes	98.65385
0361-5	p__Actinobacteria	1.34615
0361-5FF	p__Firmicutes	98.77103
0361-5FF	p__Actinobacteria	1.22897
0389-1	p__Firmicutes	84.21561
0389-1	p__Actinobacteria	15.78439
0389-1FF	p__Firmicutes	89.36709
0389-1FF	p__Actinobacteria	10.63054
0389-1FF	p__Bacteroidetes	0.00237
0389-4	p__Actinobacteria	50.97545
0389-4	p__Firmicutes	48.42492
0389-4	p__Proteobacteria	0.59896
0389-4	p__Bacteroidetes	0.00068
0389-4FF	p__Firmicutes	63.77192
0389-4FF	p__Actinobacteria	35.46696
0389-4FF	p__Proteobacteria	0.76111
0389-5	p__Firmicutes	90.54616
0389-5	p__Actinobacteria	8.0125
0389-5	p__Verrucomicrobia	1.42359
0389-5	p__Bacteroidetes	0.01775
0389-5FF	p__Firmicutes	93.21299
0389-5FF	p__Actinobacteria	5.2929
