Sample	g__Abiotrophia	g__Absiella	g__Actinobaculum	g__Actinomyces	g__Adlercreutzia	g__Aeriscardovia	g__Agathobaculum	g__Aggregatibacter	g__Akkermansia	g__Alistipes	g__Allisonella	g__Alloscardovia	g__Anaerococcus	g__Anaerofustis	g__Anaerostipes	g__Anaerotruncus	g__Asaccharobacter	g__Atopobium	g__Bacteroides	g__Barnesiella	g__Bifidobacterium	g__Bilophila	g__Blautia	g__Brochothrix	g__Bulleidia	g__Butyricicoccus	g__Butyricimonas	g__Candida	g__Candidatus_Stoquefichus	g__Carnobacterium	g__Catenibacterium	g__Christensenella	g__Citrobacter	g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified	g__Clostridiales_unclassified	g__Clostridioides	g__Clostridium	g__Collinsella	g__Coprobacillus	g__Coprobacter	g__Coprococcus	g__Corynebacterium	g__Cutibacterium	g__Dialister	g__Dielma	g__Dorea	g__Eggerthella	g__Eisenbergiella	g__Enorma	g__Enterobacter	g__Enterococcus	g__Enterorhabdus	g__Erysipelatoclostridium	g__Escherichia	g__Eubacterium	g__Faecalibacterium	g__Faecalicoccus	g__Faecalitalea	g__Finegoldia	g__Firmicutes_unclassified	g__Flavonifractor	g__Fusicatenibacter	g__Fusobacterium	g__Gardnerella	g__Gemella	g__Gemmiger	g__Gordonibacter	g__Granulicatella	g__Haemophilus	g__Hafnia	g__Holdemanella	g__Holdemania	g__Hungatella	g__Intestinibacter	g__Klebsiella	g__Lachnoclostridium	g__Lachnospira	g__Lachnospiraceae_unclassified	g__Lactobacillus	g__Lactococcus	g__Lactonifactor	g__Lawsonibacter	g__Leptotrichia	g__Leuconostoc	g__Lysinibacillus	g__Massiliomicrobiota	g__Megasphaera	g__Methanobrevibacter	g__Mogibacterium	g__Monoglobus	g__Odoribacter	g__Olsenella	g__Oribacterium	g__Oscillibacter	g__Parabacteroides	g__Paraclostridium	g__Parasutterella	g__Parvimonas	g__Pediococcus	g__Peptoniphilus	g__Peptostreptococcus	g__Phascolarctobacterium	g__Prevotella	g__Propionibacterium	g__Proteobacteria_unclassified	g__Pseudopropionibacterium	g__Rhodococcus	g__Romboutsia	g__Roseburia	g__Rothia	g__Ruminococcaceae_unclassified	g__Ruminococcus	g__Ruthenibacterium	g__Saccharomyces	g__Scardovia	g__Sellimonas	g__Sharpea	g__Slackia	g__Solobacterium	g__Staphylococcus	g__Streptococcus	g__Turicibacter	g__Turicimonas	g__Tyzzerella	g__Varibaculum	g__Veillonella	g__Weissella
0055-1FF	0.34136	0	0	3.5881	0	0	0	0	0	0	0	0.00812	0	0	0	0	0	0.03703	0.02498	0	0	0	3.19247	0	0.01206	0	0	0	0	0	0	0	0	0.11311	0	0	0	14.06401	0	0	1.12014	0	0	0	0	0.16251	0	0	0.0034	0	0	0	0.00446	10.05777	0.00227	0.01303	0	0	0	0	0	0.02681	0	0	0.40203	0	0	0.04726	0	0	0.2439	0	0	0	0	0	0	0	0	2.76302	0	0	0	0.10745	0	0	0	0	0.09126	0	0	0	0.00618	0	0	0	0	0.00603	0	0	0.0464	0	0	0	0	0	0	0	0.00031	0.15059	0	0	0	3.38208	0	0	0	0	0.02009	0	59.96178	0	0	0	0	0	0
0055-4FF	0.09127	0.17969	0	4.00601	0	0	0	0	0	0	0	0	0	0	0.39923	0	0	0.00949	0.00361	0	0	0	51.97836	0	0	0	0	0	0	0	0	0	0	0.09769	0	0	0	22.23594	0	0	0.1736	0	0	0	0	9.30605	0	0	0.01022	0	0	0	0.39825	1.02263	0.64948	0	0	0	0	0	0	0.06091	0	0	0.31121	0.04557	0	0.01043	0	0	0.30774	0	0	0	0	0	0	0	0	0.35332	0	0	0	0.02121	0	0	0	0	0.08966	0	0	0	0	0	0	0	0	0	0.07163	0	0.01922	0	0	0	0	0	0	0	0	0.01503	0	0	0	0	0	0	0	0	0	0	8.13253	0	0	0	0	0	0
0055-5FF	0.07061	0.22526	0	1.39886	0	0	0	0	0	0	0	0	0	0	0.35214	0	0	0.00921	0	0	0	0	30.81754	0	0	0	0	0	0	0	0	0	0	0.01899	0	0	0	25.2106	0	0	2.96008	0	0	0	0	15.034	0	0	0.01801	0	15.84691	0	1.14719	0.02048	0.31549	0	0	0	0	0	0	0.20218	0	0	0.08562	0	0	0	0	0	0.54299	0	0	0	0	0	0	0	0	0.06089	0	0	0	0	0	0	0	0	0.06162	0	0	0	0	0	0	0	0	0	0	0	0.0023	0	0	0	0	0	0	0.01995	0	0	0	0	0	0.00346	0	0	0	0	0	0	5.13193	0	0	0	0	0	0.44369
0073-1FF	0.12274	0	0	4.43187	0	0	0	0	0.27324	0	0	0.03283	0	0	0.55655	0	0	0.08407	0.01373	0	6.37926	0	15.20273	0	0.03753	0	0	0	0	0	0	0	0	0.27907	0	0	0.32624	22.92564	0	0	0.39508	0.28482	0	0	0	2.44567	0.05305	0	0.00682	0	0	0	0.10219	27.09588	0.19601	0.26073	0	0	0	0	0	1.96929	0	0	1.17128	0.26076	0.03928	0.06284	0	0	0	0	0	0.03653	0	0	0	0	0.02154	0.01809	0	0	0	0	0	0	0	0	0.45759	0	0	0	0	0	0	0	0	0.16802	0	0	0.36766	0	0	0	0	0	0	0.00907	0.0051	0.34403	0	0	0	0	0.01947	0	0	0	0.10348	0	13.44021	0	0	0	0	0	0
0073-4FF	0	0	0	0.0981	0.86594	0	0.07277	0	0	0	0	0	0	0	4.35239	0	1.05082	0	0	0	0	0	37.32678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79603	0.0177	0	0	0	12.39814	1.04724	0	0	0	0	0.01991	0.84536	0	0.97665	0.43019	0	0	0	0	0	14.6408	0	0	0.07608	0.28804	0.77052	0	0	0	0	0	0	0	0	0	0	0.9812	0	1.64991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01773	0	0	0	0	0	0	0	0	0	0.00655	0	0	3.80025	0	0	0	0	0	0	0	0	16.47093	0	0	0	0	0	0
0073-5FF	0	0	0	0.00921	0.17509	0	0.41262	0	0	0	0	0	0	0	15.7679	0	0.27375	0	0.00464	0	0.02851	0	19.31583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3153	0	0	0	0	5.17889	0.26837	0	0	0	22.13423	0.00099	0.06226	0	12.0089	0.08423	0	0	0	0	0	11.33135	0	0	0	0.07297	0.40414	0	0	0	0	0	0	0	0	0	0	2.73188	0.08305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00345	0	0	0	0.01324	0	0	0	5.38537	0	0	0	0	0	0	0	0	3.93383	0	0	0	0	0	0
0091-1FF	0	0	0	0.03889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06676	0	0	0	0.14464	0	0	0	0	0	0	0	0.01522	0	0	0	0	0	0	0.08803	0	0	0	0	0	0	0	0	0.01866	0	0	0	0	0	0	97.78669	0	0	0	0	0	0	0	0	0	0	0.26311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128	0	0	0	0	0	0	0	0	0	0	1.43874	0	0	0	0	0	0
0091-4FF	0	0	0	0.00572	0	0	0	0	0	0	0	0	0	0	0.49295	0	0	0.00177	0.44513	0	0	0	12.25639	0	0	0	0	0	0	0	0.85159	0	0	0	0	0	1.31052	0	0	0	0.70759	0	0	0	0	21.55191	0.93945	0	0	0	53.89091	0	0.04377	0	1.21262	0	0	0	0	0	0	0	0	0	0.01455	1.84348	0.0775	0	0	0	0	0	0	0	0	0	0	0.0018	0.36952	0.01739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10043	0.0064	0	0.01384	0	0	0	0	0	0	0	0	3.58403	0.26073	0	0	0	0	0
0091-5FF	0	0	0	0	0	0	0	0	0.03983	0	0	0	0	0	0.6754	0	0	0.00302	4.81023	0	0	0	10.85228	0	0	0	0	0	0	0	1.44663	0	0	0	0	0	0	0	0	0	2.3277	0	0	0	0	21.62912	2.87773	0.09136	0	0	35.69515	0	0.03777	0.08306	7.50384	0.08069	0	0	0	0.2242	0	0	0	0	0	3.09082	0.31826	0	0	0	0	0.06238	0	0	0	0	0	4.43209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56837	0.07382	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02337	0	0.01358	0.82621	1.58925	0	0	0	0	0	0	0	0.62384	0	0	0	0	0	0
0109-1FF	0	0	0	0.05584	0	0	0.05922	0	0	0	0	0	0	0	0	0	0	0	0.01188	0	0.34626	0	11.43096	0	0	0	0	0	0	0	0	0	0	0.01514	0	0	0	1.99267	0	0	0.05123	0	0	0	0	0.69954	0	0	0	0	50.11561	0	0	26.42619	1.11753	0	0	0	0	0	0	0.0015	0	0	0.07583	0.00246	0	0	0	0	6.06529	0	0	0	0	0	0	0.01388	0	0.09249	0	0	0	0	0	0	0	0	0.00273	0	0	0	0	0	0.00246	0	0	0.00381	0	0	0	0	0.06124	0	0	0	0	0	0.04769	0	0	0	0	0	0	0	0	0	0	0	1.30853	0	0	0	0	0	0
