feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__Gemmiger	TIMEPOINT	7	2.78188709184812	0.612877490933281	108	56	2.29989803367279e-05	0.00450780014599866
g__Adlercreutzia	TIMEPOINT	21	2.59300423213087	0.678731727339382	108	49	0.000286156798314712	0.0229823412322856
g__Asaccharobacter	TIMEPOINT	21	2.42417030369819	0.649644135254899	108	51	0.00038504384280342	0.0229823412322856
g__Bacteroides	TIMEPOINT	21	-2.87119628524038	0.782007669222956	108	38	0.000469027372087461	0.0229823412322856
g__Adlercreutzia	TIMEPOINT	7	2.4297910632363	0.685295133091817	108	49	0.000703337963654377	0.0273803494094581
g__Bacteroides	TIMEPOINT	7	-2.75114267776522	0.788206058778768	108	38	0.000838173961514022	0.0273803494094581
g__Asaccharobacter	TIMEPOINT	7	2.22758672333163	0.655981233473898	108	51	0.00113241199800527	0.0277440939511292
g__Lachnospiraceae_unclassified	TIMEPOINT	21	2.4224502420759	0.710579524852838	108	60	0.00109004220216798	0.0277440939511292
g__Streptococcus	TRT	LEV	-1.94595623970465	0.62049356065555	108	105	0.0035947954075807	0.0782866555428685
g__Lachnoclostridium	TIMEPOINT	21	1.01415016890519	0.341787342765158	108	13	0.00411577929090068	0.0806692741016533
g__Turicibacter	TIMEPOINT	21	1.83213456434962	0.631965379100917	108	30	0.00498952205270578	0.0889042111209394
g__Eggerthella	TIMEPOINT	21	2.14029216504901	0.757720607249622	108	66	0.00616175334031327	0.092900281130877
g__Lachnoclostridium	TIMEPOINT	7	0.983271032824641	0.345195074230002	108	13	0.00576669370808754	0.092900281130877
g__Eggerthella	TIMEPOINT	7	2.10410168727995	0.764916582712822	108	66	0.00755544037005667	0.105776165180793
g__Enterococcus	TIMEPOINT	21	2.59972156917072	0.974928300931069	108	41	0.00951923442148614	0.10706495503786
g__Lachnospiraceae_unclassified	TIMEPOINT	7	1.90490085553671	0.717554989492356	108	60	0.00983249587082391	0.10706495503786
g__Lactococcus	TIMEPOINT	7	2.03173366972919	0.754427690069185	108	74	0.00883772264156531	0.10706495503786
g__Prevotella	TIMEPOINT	7	-0.752313060591701	0.281516406123494	108	15	0.00935934755525793	0.10706495503786
g__Parabacteroides	TIMEPOINT	21	-1.57629110420477	0.603901812280987	108	14	0.0103980760084531	0.107264363034569
g__Anaerostipes	TIMEPOINT	7	1.81358400035711	0.722607763481258	108	86	0.0144205060960951	0.133363370648507
g__Blautia	TIMEPOINT	7	0.770609302919789	0.31316283443247	108	107	0.0163294380082492	0.133363370648507
g__Coprococcus	TIMEPOINT	21	1.79927380882318	0.740400873763494	108	84	0.0176910593717407	0.133363370648507
g__Escherichia	TIMEPOINT	21	-2.0722241342394	0.849693752360438	108	52	0.0172706676196006	0.133363370648507
g__Gemmiger	TIMEPOINT	21	1.49710932908338	0.606953167196092	108	56	0.0161120493563562	0.133363370648507
g__Gordonibacter	TIMEPOINT	7	1.71682663894175	0.69910825167372	108	61	0.0165232545053871	0.133363370648507
g__Romboutsia	TRT	LEV	2.14350301637821	0.840175161410097	108	36	0.0154134238388985	0.133363370648507
g__Escherichia	TIMEPOINT	7	-1.99822808179602	0.856238087885241	108	52	0.0224557168278491	0.163011870305868
g__Lactococcus	TIMEPOINT	21	1.73023668538828	0.748159486012145	108	74	0.023684132541334	0.165788927789338
g__Bifidobacterium	TRT	AZI	-3.80766229691001	1.62459123754644	108	64	0.0251300295407292	0.169844337585618
g__Lactobacillus	TIMEPOINT	21	1.36089136695096	0.607396989326005	108	22	0.0282423909565693	0.184516954249586
g__Bifidobacterium	TIMEPOINT	7	-1.004875049297	0.459790983547716	108	64	0.032242944624373	0.185871092540503
g__Escherichia	TRT	AZI	2.02215552737865	0.902455521855604	108	52	0.0319627442420498	0.185871092540503
g__Lachnospiraceae_unclassified	TRT	AZI	-3.47363438026556	1.5475728663869	108	60	0.0315218440881562	0.185871092540503
g__Parabacteroides	TIMEPOINT	7	-1.32291878454097	0.608469476156784	108	14	0.031981735702665	0.185871092540503
g__Erysipelatoclostridium	TRT	AZI	-3.04853084948882	1.41744188119597	108	59	0.03874228856921	0.199704692444842
g__Gordonibacter	TIMEPOINT	21	1.4713001755168	0.692734608590649	108	61	0.0372011564107186	0.199704692444842
g__Lactobacillus	TRT	LEV	1.95596438772522	0.908559634084882	108	22	0.0384271066349759	0.199704692444842
g__Propionibacterium	TIMEPOINT	7	0.975304055215513	0.461209964790648	108	15	0.037983139302193	0.199704692444842
g__Romboutsia	TIMEPOINT	21	1.48873018573949	0.710321062766751	108	36	0.0397371581905554	0.199704692444842
g__Intestinibacter	TIMEPOINT	21	1.24545713197584	0.599095355178522	108	24	0.0412801880592641	0.202272921490394
g__Lactobacillus	TIMEPOINT	7	1.25642157922801	0.612925407633627	108	22	0.0441155304046472	0.210893755105143
g__Agathobaculum	TIMEPOINT	21	-0.783827252833405	0.387652966573554	108	17	0.0469879074494934	0.219276901430969
