sample_seqID,scheme,ST
101-1,ecoli_achtman_4,5655
11368,ecoli_achtman_4,21
12009,ecoli_achtman_4,17
53638,ecoli_achtman_4,6
536,ecoli_achtman_4,127
55989,ecoli_achtman_4,678
61-0073-EAEC-V1-col3A,ecoli_achtman_4,34
61-0073-EAEC-V5-col1A,ecoli_achtman_4,424
61-0091-EIEC-V5B,ecoli_achtman_4,44
61-0091-EPEC-V1B,ecoli_achtman_4,44
61-0091-ETEC-V1A,ecoli_achtman_4,410
61-0091-ETEC-V1-col7A,ecoli_achtman_4,410
61-0091-Shigella_sonnei-V1A,ecoli_achtman_4,152
61-0109-EAEC-V1A,ecoli_achtman_4,200
61-0109-EAEC-V1-col1B,ecoli_achtman_4,8149
61-0109-EAEC-V5-col3B,ecoli_achtman_4,648
61-0109-EIEC-V4B,ecoli_achtman_4,99
61-0127-EAEC-V1-col7A,ecoli_achtman_4,38
61-0127-EAEC-V1-col8A,ecoli_achtman_4,10
61-0127-EPEC-V5-col1A,ecoli_achtman_4,301
61-0136-EIEC-V1-col5B,ecoli_achtman_4,1139
61-0136-EIEC-V4-col2A,ecoli_achtman_4,617
61-0136-EIEC-V5A,ecoli_achtman_4,401
61-0145-EIEC-V1C,ecoli_achtman_4,226
61-0145-EIEC-V4C,ecoli_achtman_4,48
61-0181-EIEC-V5-col18A,ecoli_achtman_4,-
61-0181-EPEC-V1-col1A,ecoli_achtman_4,120
61-0181-EPEC-V1-col3B,ecoli_achtman_4,-
61-0181-EPEC-V1-col5A,ecoli_achtman_4,34
61-0181-EPEC-V4A,ecoli_achtman_4,34
61-0181-EPEC-V5-col3A,ecoli_achtman_4,401
61-0307-EAEC-V1-col1A,ecoli_achtman_4,1303
61-0307-EAEC-V4-col1B,ecoli_achtman_4,7425
61-0307-EAEC-V5-col1C,ecoli_achtman_4,206
61-0325-EIEC-V5-col2B,ecoli_achtman_4,491
61-0406-EAEC-V1-col4A,ecoli_achtman_4,10
61-0406-EAEC-V4-col1D,ecoli_achtman_4,2732
61-0406-EAEC-V5-col1A,ecoli_achtman_4,349
61-0415-EAEC-V1-col4B,ecoli_achtman_4,10
61-0433-EAEC-V1A,ecoli_achtman_4,10
61-0433-EAEC-V4-col4C,ecoli_achtman_4,131
61-0523-EAEC-V1-col4A,ecoli_achtman_4,10
61-0523-EAEC-V1-col4B,ecoli_achtman_4,10
61-0523-EAEC-V4A,ecoli_achtman_4,10
61-0523-EPEC-V5-col13A,ecoli_achtman_4,10
61-0631-EIEC-V1B,ecoli_achtman_4,93
61-0631-EIEC-V4-col3B,ecoli_achtman_4,607
61-0631-EIEC-V5-col2B,ecoli_achtman_4,410
61-0631-ETEC-V1-col3A,ecoli_achtman_4,1308
61-0677-EAEC-V1-col3B,ecoli_achtman_4,200
61-0767-ETEC-V1-col4A,ecoli_achtman_4,394
61-0767-ETEC-V1-col5A,ecoli_achtman_4,5264
61-0767-ETEC-V1-col7A,ecoli_achtman_4,44
61-0776-EPEC_STEC-V1-col1B,ecoli_achtman_4,17
61-0776-EPEC-STEC-V4-col1B,ecoli_achtman_4,17
61-0776-EPEC-V5B,ecoli_achtman_4,4590
61-0776-ETEC-V1-col11A,ecoli_achtman_4,4
61-0776-ETEC-V4-col10A,ecoli_achtman_4,4
61-0776-ETEC-V5-col4A,ecoli_achtman_4,4
61-0776-STEC-V5A,ecoli_achtman_4,10
B7A,ecoli_achtman_4,-
CIP61-11,ecoli_achtman_4,10
E110019,ecoli_achtman_4,381
E2348-69,ecoli_achtman_4,15
E24377A,ecoli_achtman_4,453
ECOR24,ecoli_achtman_4,52
ECOR31,ecoli_achtman_4,57
ECOR37,ecoli_achtman_4,61
ECOR49,ecoli_achtman_4,405
ECOR63,ecoli_achtman_4,80
FN-B26,ecoli_achtman_4,28
H1-003-0072-K-A,ecoli_achtman_4,38
H1-006-0003-S-L,ecoli_achtman_4,783
H10407,ecoli_achtman_4,48
H176,ecoli_achtman_4,144
H442,ecoli_achtman_4,747
HS,ecoli_achtman_4,46
IAI18,ecoli_achtman_4,88
K7756,ecoli_achtman_4,5967
NA114,ecoli_achtman_4,131
NILS24,ecoli_achtman_4,58
O42,ecoli_achtman_4,414
QUC093,ecoli_achtman_4,648
RDEx44,ecoli_achtman_4,301
ROAR189,ecoli_achtman_4,8825
S1001_CU0011_IS01,ecoli_achtman_4,10
S1002_CU0012_IS01,ecoli_achtman_4,10
S1003_CU0068_IS01,ecoli_achtman_4,5148
S1004_CU0098_IS01,ecoli_achtman_4,10
S1005_CU0103_IS01,ecoli_achtman_4,21
S1008_CU0105_IS01,ecoli_achtman_4,21
S1009_CU0112_IS01,ecoli_achtman_4,10
S1010_CU0117_IS01,ecoli_achtman_4,3570
S1011_CU0122_IS01,ecoli_achtman_4,99
S1012_CU0122_IS05,ecoli_achtman_4,21
S1013_CU0152_IS05,ecoli_achtman_4,154
S1014_CU0152_IS01,ecoli_achtman_4,10
S1015_CU0154_IS01,ecoli_achtman_4,4
S1016_CU0182_IS01,ecoli_achtman_4,301
S1017_CU0215_IS01,ecoli_achtman_4,13827
S1018_CU0232_IS01,ecoli_achtman_4,10
S1021_CU0251_IS01,ecoli_achtman_4,1196
S1022_CU0259_IS01,ecoli_achtman_4,1434
S1023_CU0262_IS01,ecoli_achtman_4,5824
S1025_CU0277_IS01,ecoli_achtman_4,88
S1026_CU0282_IS06,ecoli_achtman_4,6125
S1027_CU0283_IS05,ecoli_achtman_4,10
S1028_CU0287_IS01,ecoli_achtman_4,10
S1029_CU0288_IS01,ecoli_achtman_4,10
S1030_CU0291_IS01,ecoli_achtman_4,10
S1031_CU0293_IS01,ecoli_achtman_4,10
S1032_CU0294_IS01,ecoli_achtman_4,13828
S1033_CU0298_IS01,ecoli_achtman_4,316
S1034_CU0303_IS01,ecoli_achtman_4,316
S1035_CU0318_IS01,ecoli_achtman_4,206
S1037_CU0362_IS01,ecoli_achtman_4,-
S1038_CU0401_IS01,ecoli_achtman_4,10619
S1039_CU0449_IS01,ecoli_achtman_4,278
S1040_CU0465_IS01,ecoli_achtman_4,5241
S1041_CU0474_IS01,ecoli_achtman_4,393
S1042_CU0548_IS01,ecoli_achtman_4,1951
S1043_CU0576_IS01,ecoli_achtman_4,1380
S1044_CU0582_IS01,ecoli_achtman_4,517
S1045_CU0583_IS01,ecoli_achtman_4,10
S1046_CU0583_IS01,ecoli_achtman_4,641
S1047_CU0606_IS01,ecoli_achtman_4,34
S1048_CU0616_IS01,ecoli_achtman_4,10
S1049_CU0638_IS01,ecoli_achtman_4,746
S1050_CU0648_IS01,ecoli_achtman_4,13829
S1051_CU0658_IS01,ecoli_achtman_4,517
S1052_CU0658_IS01,ecoli_achtman_4,398
S1053_CU0659_IS06,ecoli_achtman_4,4
S1054_CU0660_IS05,ecoli_achtman_4,13830
S1055_CU0663_IS01,ecoli_achtman_4,10
S1056_CU0669_IS01,ecoli_achtman_4,101
S1058_CU0673_IS05,ecoli_achtman_4,1312
S1059_CU0674_IS01,ecoli_achtman_4,34
S1060_CU0676_IS07,ecoli_achtman_4,4
S1061_CU0679_IS05,ecoli_achtman_4,206
S1062_CU0681_IS01,ecoli_achtman_4,4
S1063_CU0684_IS01,ecoli_achtman_4,678
S1064_CU0685_IS01,ecoli_achtman_4,4
S1065_CU0695_IS07,ecoli_achtman_4,154
S1066_CU0702_IS05,ecoli_achtman_4,10
S1067_CU0705_IS06,ecoli_achtman_4,59
S1068_CU0758_IS02,ecoli_achtman_4,34
S1070_CU0848_IS02,ecoli_achtman_4,678
S1071_CU0852_IS02,ecoli_achtman_4,13
S1072_CU0857_IS01,ecoli_achtman_4,206
S1073_CU0858_IS02,ecoli_achtman_4,678
S1074_CU0862_IS01,ecoli_achtman_4,21
S1075_CU0862_IS01,ecoli_achtman_4,10
S1076_CU0889_IS04,ecoli_achtman_4,993
S1081_CU0015_IS04,ecoli_achtman_4,93
S1082_CU0077_IS02,ecoli_achtman_4,10
S1083_CU0135_IS02,ecoli_achtman_4,10
S1084_CU0127_IS02,ecoli_achtman_4,10
S1085_CU0151_IS02,ecoli_achtman_4,10
S1086_CU0162_IS02,ecoli_achtman_4,10
S1087_CU0175_IS02,ecoli_achtman_4,10
S1088_CU0191_IS02,ecoli_achtman_4,10
S1089_CU0191_IS02,ecoli_achtman_4,26
S1090_CU0176_IS02,ecoli_achtman_4,1380
S1091_CU0222_IS04,ecoli_achtman_4,6259
S1092_CU0459_IS02,ecoli_achtman_4,4
S1093_CU0469_IS02,ecoli_achtman_4,226
S1095_CU0689_IS04,ecoli_achtman_4,10
S1096_CU0715_IS02,ecoli_achtman_4,6431
S1098_CU0752_IS02,ecoli_achtman_4,642
S1099_CU0279_IS03,ecoli_achtman_4,21
S1101_CU0253_IS03,ecoli_achtman_4,378
S1102_CU0260_IS06,ecoli_achtman_4,4038
S1103_CU0263_IS04,ecoli_achtman_4,8513
S1104_CU0268_IS03,ecoli_achtman_4,11245
S1106_CU0234_IS03,ecoli_achtman_4,34
S1107_CU0245_IS03,ecoli_achtman_4,34
S1109_CU0253_IS07,ecoli_achtman_4,10
S1110_CU0186_IS03,ecoli_achtman_4,2076
S1111_CU0194_IS03,ecoli_achtman_4,10
S1112_CU0196_IS03,ecoli_achtman_4,278
S1113_CU0200_IS03,ecoli_achtman_4,68
S1115_CU0159_IS03,ecoli_achtman_4,93
S1117_CU0164_IS07,ecoli_achtman_4,393
S1118_CU0173_IS03,ecoli_achtman_4,131
S1119_CU0177_IS07,ecoli_achtman_4,226
S1120_CU0178_IS06,ecoli_achtman_4,4
S1121_CU0143_IS03,ecoli_achtman_4,34
S1122_CU0150_IS06,ecoli_achtman_4,6259
S1123_CU0156_IS03,ecoli_achtman_4,10
S1125_CU0115_IS03,ecoli_achtman_4,93
S1126_CU0120_IS03,ecoli_achtman_4,34
S1127_CU0124_IS03,ecoli_achtman_4,336
S1128_CU0125_IS03,ecoli_achtman_4,10
S1129_CU0126_IS03,ecoli_achtman_4,227
S1130_CU0092_IS03,ecoli_achtman_4,2064
S1131_CU0108_IS03,ecoli_achtman_4,10
S1132_CU0115_IS03,ecoli_achtman_4,21
S1133_CU0003_IS03,ecoli_achtman_4,43
S1134_CU0021_IS03,ecoli_achtman_4,10
S1135_CU0070_IS03,ecoli_achtman_4,10
S1136_CU0087_IS03,ecoli_achtman_4,156
S1137_CU0670_IS03,ecoli_achtman_4,101
S1138_CU0591_IS03,ecoli_achtman_4,746
S1139_CU0592_IS03,ecoli_achtman_4,382
S1140_CU0595_IS03,ecoli_achtman_4,21
S1141_CU0633_IS03,ecoli_achtman_4,517
S1142_CU0649_IS03,ecoli_achtman_4,29
S1143_CU0567_IS03,ecoli_achtman_4,301
S1144_CU0577_IS03,ecoli_achtman_4,34
S1145_CU0581_IS03,ecoli_achtman_4,182
S1146_CU0584_IS04,ecoli_achtman_4,7377
S1147_CU0586_IS03,ecoli_achtman_4,38
S1149_CU0485_IS03,ecoli_achtman_4,21
S1151_CU0488_IS03,ecoli_achtman_4,21
S1152_CU0516_IS03,ecoli_achtman_4,10
S1153_CU0519_IS05,ecoli_achtman_4,10
S1154_CU0552_IS03,ecoli_achtman_4,590
S1155_CU0443_IS03,ecoli_achtman_4,11243
S1156_CU0445_IS03,ecoli_achtman_4,34
S1157_CU0445_IS03,ecoli_achtman_4,38
S1158_CU0457_IS03,ecoli_achtman_4,94
S1159_CU0472_IS03,ecoli_achtman_4,131
S1160_CU0412_IS03,ecoli_achtman_4,4590
S1161_CU0413_IS03,ecoli_achtman_4,12126
S1163_CU0419_IS03,ecoli_achtman_4,10
S1164_CU0424_IS05,ecoli_achtman_4,206
S1165_CU0428_IS03,ecoli_achtman_4,94
S1166_CU0442_IS03,ecoli_achtman_4,278
S1167_CU0442_IS03,ecoli_achtman_4,12126
S1168_CU0336_IS03,ecoli_achtman_4,34
S1169_CU0343_IS03,ecoli_achtman_4,215
S1170_CU0348_IS03,ecoli_achtman_4,1201
S1171_CU0351_IS03,ecoli_achtman_4,5292
S1172_CU0358_IS03,ecoli_achtman_4,10
S1174_CU0397_IS03,ecoli_achtman_4,7339
S1175_CU0309_IS03,ecoli_achtman_4,10
S1176_CU0317_IS03,ecoli_achtman_4,34
S1178_CU0321_IS03,ecoli_achtman_4,452
S1179_CU0326_IS05,ecoli_achtman_4,1178
S1180_CU0330_IS03,ecoli_achtman_4,12126
S1188_CU0908_IS04,ecoli_achtman_4,4
S1189_CU0929_IS03,ecoli_achtman_4,13831
S1190_CU0930_IS03,ecoli_achtman_4,6872
S1191_CU0932_IS03,ecoli_achtman_4,6872
S1192_CU0933_IS03,ecoli_achtman_4,21
S1193_CU0804_IS03,ecoli_achtman_4,94
S1194_CU0833_IS03,ecoli_achtman_4,423
S1195_CU0839_IS03,ecoli_achtman_4,10
S1196_CU0742_IS03,ecoli_achtman_4,414
S1197_CU0765_IS03,ecoli_achtman_4,34
S1198_CU0785_IS03,ecoli_achtman_4,642
S1199_CU0788_IS03,ecoli_achtman_4,34
S1200_CU0791_IS03,ecoli_achtman_4,34
S1201_CU0796_IS03,ecoli_achtman_4,301
S1202_CU0800_IS03,ecoli_achtman_4,678
S1203_CU0719_IS03,ecoli_achtman_4,218
S1204_CU0719_IS03,ecoli_achtman_4,1125
S1205_CU0720_IS03,ecoli_achtman_4,10
S1206_CU0725_IS03,ecoli_achtman_4,10
S1207_CU0726_IS03,ecoli_achtman_4,88
S2001_CU1146_IS04,ecoli_achtman_4,7926
S2002_CU1172_IS06,ecoli_achtman_4,504
S2004_CU1184_IS04,ecoli_achtman_4,10
S2005_CU1191_IS04,ecoli_achtman_4,59
S2006_CU0962_IS06,ecoli_achtman_4,10
S2007_CU0963_IS04,ecoli_achtman_4,841
S2008_CU0966_IS05,ecoli_achtman_4,10
S2014_CU0838_IS06,ecoli_achtman_4,1136
S2021_CU1074_IS04,ecoli_achtman_4,5241
S2022_CU1075_IS04,ecoli_achtman_4,5241
S2023_CU1076_IS04,ecoli_achtman_4,69
S2025_CU1092_IS04,ecoli_achtman_4,641
S2026_CU1136_IS04,ecoli_achtman_4,2531
S2028_CU1140_IS04,ecoli_achtman_4,95
S286,ecoli_achtman_4,23
S88,ecoli_achtman_4,95
SE15,ecoli_achtman_4,131
UMN026,ecoli_achtman_4,597
