Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
61-0181-EPEC-V5-col3A	PHANKN_07460	contig_10	82642	82950	-	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	BLASTP	102	102	100.00	98.04	102	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
61-0181-EPEC-V5-col3A	PHANKN_07635	contig_11	1733	1999	-	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	EXACTP	88	88	100.00	100.00	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_24785	contig_117	43	468	-	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTP	141	141	100.00	97.87	141	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase
61-0181-EPEC-V5-col3A	PHANKN_24790	contig_117	481	1494	-	arsB	arsenite efflux transporter membrane subunit ArsB	plus	STRESS	METAL	ARSENIC	ARSENITE	PARTIALP	337	429	78.55	98.22	337	BAA24823.1	arsenite efflux transporter membrane subunit ArsB	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_24795	contig_117	1556	2848	-	arsA	arsenite efflux transporter ATPase subunit ArsA	plus	STRESS	METAL	ARSENIC	ARSENITE	PARTIALP	430	583	66.72	98.97	389	AAB09626.1	arsenite efflux transporter ATPase subunit ArsA	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_24800	contig_117	2866	3228	-	arsD	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTP	120	120	100.00	98.33	120	AAB09625.1	arsenite efflux transporter metallochaperone ArsD	NF033727.1	arsenite efflux transporter metallochaperone ArsD
61-0181-EPEC-V5-col3A	PHANKN_10640	contig_17	50976	52160	-	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTP	394	394	100.00	100.00	394	BAE77620.1	multidrug efflux MFS transporter EmrD	NA	NA
61-0181-EPEC-V5-col3A	NA	contig_182	3	314	-	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	PARTIAL_CONTIG_ENDX	104	117	88.89	100.00	104	AAB09624.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_01615	contig_2	66675	68096	-	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	473	473	100.00	90.06	473	ADD54679.1	type III secretion system effector EspX1	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_15530	contig_31	45097	45555	+	shsP	small heat shock protein sHSP20-GI	plus	STRESS	HEAT	NA	NA	BLASTP	152	152	100.00	98.68	152	ASF80771.1	small heat shock protein sHSP20-GI	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_15535	contig_31	45578	46492	+	yfdX1	heat resistance protein YfdX1	plus	STRESS	HEAT	NA	NA	BLASTP	304	304	100.00	95.07	304	APX31172.1	heat resistance protein YfdX1	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_15540	contig_31	46595	47482	+	yfdX2	heat resistance protein YfdX2	plus	STRESS	HEAT	NA	NA	BLASTP	295	295	100.00	93.90	295	ASF80766.1	heat resistance protein YfdX2	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_15545	contig_31	47579	48190	+	hdeD-GI	heat resistance membrane protein HdeD-GI	plus	STRESS	HEAT	NA	NA	BLASTP	203	203	100.00	90.15	203	APX31174.1	heat resistance membrane protein HdeD-GI	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_15580	contig_31	51363	51803	+	trxLHR	heat resistance system thioredoxin Trx-GI	plus	STRESS	HEAT	NA	NA	BLASTP	146	146	100.00	90.41	146	APX31176.1	heat resistance system thioredoxin Trx-GI	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_15995	contig_33	28655	29887	-	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	410	410	100.00	97.80	410	AAC77293.1	multidrug efflux MFS transporter MdtM	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_17535	contig_38	49937	51637	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	PARTIALP	566	1034	54.45	99.64	563	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_03270	contig_4	35519	36652	-	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	377	377	100.00	98.67	377	WP_063610930.1	extended-spectrum class C beta-lactamase EC-15	NF000185.2	BlaEC family class C beta-lactamase
61-0181-EPEC-V5-col3A	PHANKN_21090	contig_56	20449	21351	-	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	EXACTP	300	300	100.00	100.00	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_22690	contig_70	4821	5246	+	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	141	141	100.00	86.52	141	AAB42203.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase
61-0181-EPEC-V5-col3A	PHANKN_06270	contig_8	79960	80394	-	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTP	144	144	100.00	92.36	144	CAA58532.1	copper resistance system metallochaperone PcoE	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_06275	contig_8	80612	82012	-	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	BLASTP	466	466	100.00	99.57	466	CAA58530.1	copper resistance membrane spanning protein PcoS	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_06280	contig_8	82009	82689	-	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTP	226	226	100.00	100.00	226	CAA58529.1	copper response regulator transcription factor PcoR	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_06285	contig_8	82744	83673	-	pcoD	copper resistance inner membrane protein PcoD	plus	STRESS	METAL	COPPER	COPPER	EXACTP	309	309	100.00	100.00	309	CAA58528.1	copper resistance inner membrane protein PcoD	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_06290	contig_8	83678	84058	-	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTP	126	126	100.00	100.00	126	CAA58527.1	copper resistance system metallochaperone PcoC	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_06295	contig_8	84098	84994	-	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	BLASTP	298	296	100.00	99.66	296	CAA58526.1	copper-binding protein PcoB	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_06300	contig_8	84994	86811	-	pcoA	multicopper oxidase PcoA	plus	STRESS	METAL	COPPER	COPPER	BLASTP	605	605	100.00	99.83	605	CAA58525.1	multicopper oxidase PcoA	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_06320	contig_8	88779	91226	-	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTP	815	824	98.79	94.24	816	AAD11750.1	Ag(+)-translocating P-type ATPase SilP	NA	NA
61-0181-EPEC-V5-col3A	PHANKN_06330	contig_8	91880	95026	-	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	1048	1048	100.00	98.76	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NA	NA
