Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
HIPH08472	HDFGEIMF_00274	HIPH08472_Contig_1	302187	303557	-	ibeA	putative intracellular survival FAD-dependent oxidoreductase IbeA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	456	456	100.00	92.76	456	AAF98391.2	putative intracellular survival FAD-dependent oxidoreductase IbeA	NA	NA
HIPH08472	HDFGEIMF_00449	HIPH08472_Contig_1	489881	491023	+	ampC	CMY2/MIR/ACT/EC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	380	377	100.00	90.00	380	AAZ85968.1	CMY2/MIR/ACT/EC family class C beta-lactamase	NF012173.1	CMY2/MIR/ACT/EC family class C beta-lactamase
HIPH08472	HDFGEIMF_00483	HIPH08472_Contig_1	523179	523943	-	espF	type III secretion system LEE effector EspF	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALP	254	294	85.71	97.62	252	CAI43856.1	type III secretion system LEE effector EspF	NF040807.1	type III secretion system LEE effector EspF
HIPH08472	HDFGEIMF_00487	HIPH08472_Contig_1	525115	526059	-	espB	type III secretion system LEE translocon pore-forming subunit EspB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	314	314	100.00	100.00	314	AAC82360.1	type III secretion system LEE translocon pore-forming subunit EspB	NA	NA
HIPH08472	HDFGEIMF_00489	HIPH08472_Contig_1	527235	527813	-	espA	type III secretion system LEE translocon filament protein EspA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	192	192	100.00	96.35	192	CAR47993.1	type III secretion system LEE translocon filament protein EspA	NA	NA
HIPH08472	HDFGEIMF_00493	HIPH08472_Contig_1	531135	533951	-	eae	intimin	plus	VIRULENCE	VIRULENCE	INTIMIN	INTIMIN	HMM	938	938	100.00	92.43	938	ACM67153.1	intimin	NF033627.3	intimin
HIPH08472	HDFGEIMF_00495	HIPH08472_Contig_1	534615	536231	-	tir	type III secretion system LEE translocated intimin receptor Tir	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	538	538	100.00	97.96	538	AAC15683.1	type III secretion system LEE translocated intimin receptor Tir	NF033637.1	type III secretion system LEE translocated intimin receptor Tir
HIPH08472	HDFGEIMF_03463	HIPH08472_Contig_11	77890	79074	-	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	394	396	99.49	97.97	394	EFF04178.1	multidrug efflux MFS transporter EmrD	NA	NA
HIPH08472	HDFGEIMF_03607	HIPH08472_Contig_12	70985	71887	-	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	BLASTP	300	300	100.00	97.67	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
HIPH08472	HDFGEIMF_03791	HIPH08472_Contig_13	99604	99936	-	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTP	110	110	100.00	97.27	110	CAA77936.1	multidrug efflux SMR transporter EmrE	NF000336.1	multidrug efflux SMR transporter EmrE
HIPH08472	NA	HIPH08472_Contig_19	12884	12997	+	astA	heat-stable enterotoxin EAST1	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	38	38	100.00	100.00	38	AAM88299.1	heat-stable enterotoxin EAST1	NA	NA
HIPH08472	HDFGEIMF_00654	HIPH08472_Contig_2	19846	20655	+	cdtB	cytolethal distending toxin type II nuclease subunit CdtB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	269	269	100.00	99.63	269	BAH72965.1	cytolethal distending toxin type II nuclease subunit CdtB	NA	NA
HIPH08472	HDFGEIMF_01049	HIPH08472_Contig_2	470602	472779	-	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	HMM	725	730	100.00	74.97	731	AAL21411.1	intimin-like inverse autotransporter SinH	NF033423.1	intimin-like inverse autotransporter SinH
HIPH08472	HDFGEIMF_04422	HIPH08472_Contig_22	26492	27313	-	cdtB	cytolethal distending toxin type I nuclease subunit CdtB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	273	273	100.00	99.63	273	BAF63361.1	cytolethal distending toxin type I nuclease subunit CdtB	NA	NA
HIPH08472	HDFGEIMF_01139	HIPH08472_Contig_3	2789	3052	-	stxB2f	Shiga toxin Stx2f subunit B	plus	VIRULENCE	VIRULENCE	STX2	STX2F	EXACTP	87	87	100.00	100.00	87	BAH86760.1	Shiga toxin Stx2f subunit B	NF033660.0	Shiga toxin Stx2 subunit B
HIPH08472	HDFGEIMF_01140	HIPH08472_Contig_3	3065	4024	-	stxA2f	Shiga toxin Stx2f subunit A	plus	VIRULENCE	VIRULENCE	STX2	STX2F	EXACTP	319	319	100.00	100.00	319	BAH86759.1	Shiga toxin Stx2f subunit A	NF033661.1	Shiga toxin Stx2 subunit A
HIPH08472	HDFGEIMF_04714	HIPH08472_Contig_33	9819	10151	-	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTP	110	110	100.00	99.09	110	CAA77936.1	multidrug efflux SMR transporter EmrE	NF000336.1	multidrug efflux SMR transporter EmrE
HIPH08472	HDFGEIMF_01540	HIPH08472_Contig_4	44454	49010	-	sslE	lipoprotein metalloprotease SslE	plus	VIRULENCE	VIRULENCE	NA	NA	HMM	1518	1520	100.00	88.49	1521	ADE89421.1	lipoprotein metalloprotease SslE	NF037973.1	lipoprotein metalloprotease SslE
HIPH08472	HDFGEIMF_01843	HIPH08472_Contig_4	367179	370103	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	974	1034	94.20	95.89	974	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
HIPH08472	HDFGEIMF_02204	HIPH08472_Contig_5	338765	340135	+	nleA	type III secretion system effector NleA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	456	441	100.00	92.32	456	AAK16940.1	type III secretion system effector NleA	NA	NA
HIPH08472	HDFGEIMF_02579	HIPH08472_Contig_7	104740	105033	+	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	97	97	100.00	97.94	97	ADR26561.1	increased serum survival lipoprotein Iss	NA	NA
HIPH08472	HDFGEIMF_03145	HIPH08472_Contig_9	169957	170232	-	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	HMM	91	102	100.00	75.47	106	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
