Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	cvaC	100.0	312 / 312	S286_Contig_229	2466..2777	  Microcin C	X57525
virulence_ecoli	etsC	100.0	1371 / 1371	S286_Contig_52	6801..8171	  Putative type I secretion outer membrane protein	DQ381420
virulence_ecoli	etsC	99.89	942 / 942	S286_Contig_52	5063..6004	  Putative type I secretion outer membrane protein	KU664810
virulence_ecoli	fyuA	100.0	2022 / 2022	S286_Contig_61	9389..11410	  Siderophore receptor	AHAX01000032
virulence_ecoli	gad	100.0	860 / 1401	S286_Contig_15	1..860	  Glutamate decarboxylase	AP010953
virulence_ecoli	gad	100.0	860 / 1401	S286_Contig_15	1..860	  Glutamate decarboxylase	CP002967
virulence_ecoli	gad	100.0	860 / 1401	S286_Contig_15	1..860	  Glutamate decarboxylase	EF547380
virulence_ecoli	gad	100.0	860 / 1401	S286_Contig_15	1..860	  Glutamate decarboxylase	U00096
virulence_ecoli	hlyE	99.13	918 / 918	S286_Contig_118	38803..39719	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	hlyF	100.0	1110 / 1110	S286_Contig_181	2982..4091	  Hemolysin F	CP006635
virulence_ecoli	hra	97.71	741 / 741	S286_Contig_50	6076..6816	  Heat-resistant agglutinin	CP040456
virulence_ecoli	ireA	99.95	2049 / 2049	S286_Contig_33	1363..3411	  Siderophore receptor	AE014075
virulence_ecoli	iroN	100.0	2178 / 2178	S286_Contig_107	11751..13928	  Enterobactin siderophore receptor protein	AF449498
virulence_ecoli	irp2	100.0	6108 / 6108	S286_Contig_61	24598..30705	  High molecular weight protein 2 non-ribosomal peptide synthetase	NZ_NLXO01000005
virulence_ecoli	iss	99.32	294 / 294	S286_Contig_131	1760..2053	  Increased serum survival	CP001509
virulence_ecoli	iss	100.0	294 / 294	S286_Contig_274	1589..1882	  Increased serum survival	CP004009
virulence_ecoli	iss	100.0	309 / 309	S286_Contig_107	964..1272	  Increased serum survival	DQ381420
virulence_ecoli	iucC	100.0	1743 / 1743	S286_Contig_218	4008..5750	  Aerobactin synthetase	CBTO010000002
virulence_ecoli	iutA	100.0	2202 / 2202	S286_Contig_218	451..2652	  Ferric aerobactin receptor	NC_020271
virulence_ecoli	lpfA	100.0	573 / 573	S286_Contig_166	30742..31314	  Long polar fimbriae	AY646923
virulence_ecoli	mchB	96.07	305 / 294	S286_Contig_195	2483..2787	  Microcin H47 part of colicin H	AE014075
virulence_ecoli	mchC	99.74	1551 / 1551	S286_Contig_195	661..2211	  MchC protein	CP003289
virulence_ecoli	mchF	100.0	2097 / 2097	S286_Contig_229	2947..5043	  ABC transporter protein MchF	AF449498
virulence_ecoli	mchF	99.81	2103 / 2103	S286_Contig_296	13979..16081	  ABC transporter protein MchF	CP003301
virulence_ecoli	ompT	100.0	954 / 954	S286_Contig_258	7868..8821	  Outer membrane protease (protein protease 7)	HE962388
virulence_ecoli	ompT	99.9	954 / 954	S286_Contig_181	1596..2549	  Outer membrane protease (protein protease 7)	LT985319
virulence_ecoli	sitA	100.0	915 / 915	S286_Contig_218	14289..15203	  Iron transport protein	ADTK01000286
virulence_ecoli	terC	100.0	714 / 714	S286_Contig_58	92074..92787	  Tellurium ion resistance protein	CP007491
virulence_ecoli	terC	100.0	966 / 966	S286_Contig_151	35785..36750	  Tellurium ion resistance protein	MG591698
virulence_ecoli	traT	100.0	732 / 732	S286_Contig_170	5739..6470	  Outer membrane protein complement resistance	CYGN01000138
virulence_ecoli	tsh	100.0	4134 / 4134	S286_Contig_251	84..4217	 Temperature-sensitive hemagglutinin	AF218073
