Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	aaiC	100.0	507 / 507	O42_Contig_1	4895043..4895549	 Type VI secretion protein	FN554766
virulence_ecoli	air	100.0	11421 / 11421	O42_Contig_1	4259271..4270691	 Enteroaggregative immunoglobulin repeat protein	FN554766
virulence_ecoli	capU	99.91	1089 / 1089	O42_Contig_1	5117126..5118214	 Hexosyltransferase homolog	CU928145
virulence_ecoli	chuA	100.0	1983 / 1983	O42_Contig_1	4024131..4026113	  Outer membrane hemin receptor	FN554766
virulence_ecoli	eilA	100.0	1698 / 1698	O42_Contig_1	4257522..4259219	 Salmonella HilA homolog	FN554766
virulence_ecoli	fyuA	100.0	2022 / 2022	O42_Contig_1	2301968..2303989	  Siderophore receptor	FN554766
virulence_ecoli	gad	100.0	1401 / 1401	O42_Contig_1	4042972..4044372	  Glutamate decarboxylase	CU928163
virulence_ecoli	gad	100.0	1401 / 1401	O42_Contig_1	1699700..1701100	  Glutamate decarboxylase	FN554766
virulence_ecoli	hlyE	98.26	918 / 918	O42_Contig_1	1306738..1307655	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	hra	100.0	792 / 792	O42_Contig_1	3390633..3391424	  Heat-resistant agglutinin	CP043942
virulence_ecoli	irp2	99.98	6108 / 6108	O42_Contig_1	2282673..2288780	  High molecular weight protein 2 non-ribosomal peptide synthetase	NZ_BGNW01000020
virulence_ecoli	kpsE	100.0	1149 / 1149	O42_Contig_1	3443946..3445094	  Capsule polysaccharide export inner-membrane protein	FN554766
virulence_ecoli	kpsMII	100.0	777 / 777	O42_Contig_1	3457805..3458581	  Polysialic acid transport protein; Group 2 capsule	FN554766
virulence_ecoli	lpfA	100.0	573 / 573	O42_Contig_1	4351536..4352108	  Long polar fimbriae	AB198066
virulence_ecoli	mchB	99.66	294 / 294	O42_Contig_1	3416292..3416585	  Microcin H47 part of colicin H	AJ009631
virulence_ecoli	mchC	100.0	1551 / 1551	O42_Contig_1	3414471..3416021	  MchC protein	FN554766
virulence_ecoli	mchF	100.0	2097 / 2097	O42_Contig_1	3410477..3412573	  ABC transporter protein MchF	FN554766
virulence_ecoli	mcmA	100.0	222 / 222	O42_Contig_1	3410003..3410224	  Microcin M part of colicin H	FN554766
virulence_ecoli	pic	100.0	4119 / 4119	O42_Contig_1	4924840..4928958	  serine protease autotransporters of Enterobacteriaceae (SPATE)	FN554766
virulence_ecoli	sitA	100.0	915 / 915	O42_Contig_1	1582859..1583773	  Iron transport protein	FN554766
virulence_ecoli	terC	98.32	714 / 714	O42_Contig_1	3232455..3233168	  Tellurium ion resistance protein	CP007491
virulence_ecoli	terC	98.44	959 / 966	O42_Contig_1	3609332..3610290	  Tellurium ion resistance protein	MG591698
