Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
61-0776-STEC-V5A	FDBJJDPM_04856	NODE_116_length_9128_cov_23.071263	3764	4852	+	capU	putative hexosyltransferase CapU	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	362	362	100.00	100.00	362	CBL93318.1	putative hexosyltransferase CapU	NA	NA
61-0776-STEC-V5A	FDBJJDPM_04867	NODE_117_length_9092_cov_28.434387	5204	5635	-	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	EXACTP	143	143	100.00	100.00	143	AAD11743.1	silver-binding protein SilE	NA	NA
61-0776-STEC-V5A	FDBJJDPM_04868	NODE_117_length_9092_cov_28.434387	5880	7361	-	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	493	491	100.00	98.57	491	SPD96882.1	copper/silver sensor histidine kinase SilS	NA	NA
61-0776-STEC-V5A	FDBJJDPM_04869	NODE_117_length_9092_cov_28.434387	7354	8034	-	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	226	226	100.00	97.79	226	SPD96883.1	copper/silver response regulator transcription factor SilR	NA	NA
61-0776-STEC-V5A	FDBJJDPM_04870	NODE_117_length_9092_cov_28.434387	8224	9030	+	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	PARTIALP	268	461	57.48	96.60	265	SPD96884.1	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	NA	NA
61-0776-STEC-V5A	FDBJJDPM_04895	NODE_120_length_8967_cov_5.916198	113	580	+	terW	tellurium resistance protein TerW	plus	STRESS	METAL	TELLURIUM	TELLURIUM	EXACTP	155	155	100.00	100.00	155	AAC44736.1	tellurium resistance protein TerW	NA	NA
61-0776-STEC-V5A	FDBJJDPM_04908	NODE_121_length_8676_cov_20.027096	3529	7623	-	eatA	serine protease autotransporter toxin EatA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1364	1364	100.00	99.93	1364	CAI79539.1	serine protease autotransporter toxin EatA	NA	NA
61-0776-STEC-V5A	FDBJJDPM_01378	NODE_12_length_101185_cov_24.019326	18391	18699	+	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	BLASTP	102	102	100.00	97.06	102	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
61-0776-STEC-V5A	FDBJJDPM_05009	NODE_134_length_7596_cov_5.350712	6482	7063	+	terZ	tellurium resistance-associated protein TerZ	plus	STRESS	METAL	TELLURIUM	TELLURIUM	BLASTP	193	193	100.00	98.45	193	AAA86846.1	tellurium resistance-associated protein TerZ	NA	NA
61-0776-STEC-V5A	NA	NODE_135_length_7473_cov_23.708356	2088	2201	-	astA	heat-stable enterotoxin EAST1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	38	38	100.00	94.74	38	AAM88299.1	heat-stable enterotoxin EAST1	NA	NA
