Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
EC03-127	HBCGLH_01490	contig_1	287817	288092	-	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	HMM	91	102	100.00	75.47	106	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
EC03-127	HBCGLH_11150	contig_11	122184	123800	+	tir	type III secretion system LEE translocated intimin receptor Tir	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	538	538	100.00	98.88	538	CAI43867.1	type III secretion system LEE translocated intimin receptor Tir	NF033637.1	type III secretion system LEE translocated intimin receptor Tir
EC03-127	HBCGLH_11160	contig_11	124464	127310	+	eae	intimin type epsilon	plus	VIRULENCE	VIRULENCE	INTIMIN	EPSILON	BLASTP	948	948	100.00	99.79	948	ACM67172.1	intimin type epsilon	NF033627.3	intimin
EC03-127	HBCGLH_11175	contig_11	130165	130743	+	espA	type III secretion system LEE translocon filament protein EspA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	192	192	100.00	100.00	192	CAR47993.1	type III secretion system LEE translocon filament protein EspA	NA	NA
EC03-127	HBCGLH_11185	contig_11	131919	132863	+	espB	type III secretion system LEE translocon pore-forming subunit EspB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	314	314	100.00	100.00	314	AAC82360.1	type III secretion system LEE translocon pore-forming subunit EspB	NA	NA
EC03-127	NA	contig_11	134041	134655	+	espF	type III secretion system LEE effector EspF	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	205	207	99.03	92.68	205	AAF03351.1	type III secretion system LEE effector EspF	NA	NA
EC03-127	HBCGLH_11205	contig_11	134041	134946	+	espF	type III secretion system LEE effector EspF	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	301	294	98.64	100.00	290	CAI43856.1	type III secretion system LEE effector EspF	NF040807.1	type III secretion system LEE effector EspF
EC03-127	HBCGLH_11205	contig_11	134041	134946	+	espF	type III secretion system LEE effector EspF	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALP	301	207	69.08	93.01	143	AAF03351.1	type III secretion system LEE effector EspF	NA	NA
EC03-127	HBCGLH_13020	contig_14	104823	105116	+	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	97	97	100.00	97.94	97	ADR26561.1	increased serum survival lipoprotein Iss	NA	NA
EC03-127	HBCGLH_13945	contig_16	50756	51088	+	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTP	110	110	100.00	96.36	110	CAA77936.1	multidrug efflux SMR transporter EmrE	NF000336.1	multidrug efflux SMR transporter EmrE
EC03-127	HBCGLH_15240	contig_19	14317	15501	+	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	394	396	99.49	97.72	394	EFF04178.1	multidrug efflux MFS transporter EmrD	NA	NA
EC03-127	HBCGLH_16575	contig_22	28741	29550	-	cdtB	cytolethal distending toxin type II nuclease subunit CdtB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	269	269	100.00	98.88	269	BAH72965.1	cytolethal distending toxin type II nuclease subunit CdtB	NA	NA
EC03-127	HBCGLH_20260	contig_35	26868	28010	-	ampC	CMY2/MIR/ACT/EC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	380	377	100.00	90.26	380	AAZ85968.1	CMY2/MIR/ACT/EC family class C beta-lactamase	NF012173.1	CMY2/MIR/ACT/EC family class C beta-lactamase
EC03-127	HBCGLH_04620	contig_4	976	4080	-	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	1034	1034	100.00	96.32	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
EC03-127	HBCGLH_06120	contig_5	96317	98494	+	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	HMM	725	730	100.00	75.24	731	AAL21411.1	intimin-like inverse autotransporter SinH	NF033423.1	intimin-like inverse autotransporter SinH
EC03-127	HBCGLH_07810	contig_7	70385	74941	-	sslE	lipoprotein metalloprotease SslE	plus	VIRULENCE	VIRULENCE	NA	NA	HMM	1518	1520	100.00	88.82	1521	ADE89421.1	lipoprotein metalloprotease SslE	NF037973.1	lipoprotein metalloprotease SslE
EC03-127	HBCGLH_08830	contig_8	89422	90324	+	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	BLASTP	300	300	100.00	97.67	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
