Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	cba	94.7	943 / 1536	NODE_83_length_7401_cov_1322.466821	2715..3657	  Colicin B	FJ664721
virulence_ecoli	cif	99.76	851 / 849	NODE_29_length_58018_cov_29.136104	54184..55034	  Type III secreted effector	AF497476
virulence_ecoli	eae	100.0	2847 / 2847	NODE_39_length_42372_cov_44.432604	13492..16338	  Intimin	AJ303141
virulence_ecoli	efa1	99.99	9672 / 9672	NODE_63_length_17938_cov_44.686636	7596..17267	  EHEC factor for adherence	AJ303141
virulence_ecoli	ehxA	100.0	2997 / 2997	NODE_61_length_19056_cov_181.222456	7739..10735	 Enterohaemolysin	HM138194
virulence_ecoli	espA	100.0	579 / 579	NODE_39_length_42372_cov_44.432604	10164..10742	  Type III secretions system	AJ303141
virulence_ecoli	espB	100.0	945 / 945	NODE_39_length_42372_cov_44.432604	8044..8988	  Secreted protein B	AP010958
virulence_ecoli	espF	99.89	885 / 885	NODE_39_length_42372_cov_44.432604	5988..6872	  Type III secretion system	AP010958
virulence_ecoli	espJ	99.24	654 / 654	NODE_42_length_41424_cov_29.846664	2473..3126	  Prophage-encoded type III secretion system effector	AB303060
virulence_ecoli	espP	100.0	3903 / 3903	NODE_89_length_5146_cov_156.970014	555..4457	 Extracellular serine protease plasmid-encoded	GQ259888
virulence_ecoli	gad	99.93	1401 / 1401	NODE_1_length_262145_cov_30.174989	228203..229603	  Glutamate decarboxylase	AP010953
virulence_ecoli	hlyE	99.13	918 / 918	NODE_13_length_135100_cov_31.857580	39472..40388	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	iha	100.0	2091 / 2091	NODE_31_length_54398_cov_39.004878	32678..34768	  Adherence protein	AE005174
virulence_ecoli	iss	98.98	294 / 294	NODE_71_length_13262_cov_35.629958	6122..6415	  Increased serum survival	CP001509
virulence_ecoli	iucC	100.0	1743 / 1743	NODE_64_length_16908_cov_36.312697	4479..6221	  Aerobactin synthetase	AAJW02000016
virulence_ecoli	iutA	100.0	2199 / 2199	NODE_64_length_16908_cov_36.312697	7558..9756	  Ferric aerobactin receptor	AAJW02000016
virulence_ecoli	katP	100.0	2211 / 2211	NODE_114_length_2961_cov_145.949029	545..2755	  Plasmid-encoded catalase peroxidase	AB011549
virulence_ecoli	nleA	100.0	1239 / 1239	NODE_29_length_58018_cov_29.136104	51508..52746	  Non-LEE encoded effector A	AB303062
virulence_ecoli	nleB	100.0	981 / 981	NODE_29_length_58018_cov_29.136104	56781..57761	  Non-LEE encoded effector B	AB303062
virulence_ecoli	nleB	100.0	990 / 990	NODE_63_length_17938_cov_44.686636	4006..4995	  Non-LEE encoded effector B	AF453441
virulence_ecoli	nleC	99.8	987 / 987	NODE_74_length_11810_cov_30.196540	10360..11346	  Non-LEE encoded effector C	AP010953
virulence_ecoli	ompT	100.0	954 / 954	NODE_59_length_21133_cov_32.616641	12188..13141	  Outer membrane protease (protein protease 7)	CYAG01000051
virulence_ecoli	stx1A	100.0	948 / 948	NODE_69_length_14428_cov_34.843147	12619..13566	  Shiga toxin 1, subunit A, variant a	AF461168
virulence_ecoli	stx1B	100.0	270 / 270	NODE_69_length_14428_cov_34.843147	13576..13845	  Shiga toxin 1, subunit B, variant a	AM230663
virulence_ecoli	tccP	99.15	591 / 753	NODE_53_length_27921_cov_28.754310	179..769	  Tir-cytoskeleton coupling protein	AP010953
virulence_ecoli	terC	100.0	1041 / 1041	NODE_31_length_54398_cov_39.004878	29044..30084	  Tellurium ion resistance protein	CP006262
virulence_ecoli	terC	100.0	714 / 714	NODE_11_length_151504_cov_30.529437	39725..40438	  Tellurium ion resistance protein	CP007491
virulence_ecoli	terC	99.79	966 / 966	NODE_8_length_161025_cov_29.247322	65134..66099	  Tellurium ion resistance protein	MG591698
virulence_ecoli	tir	100.0	1617 / 1617	NODE_39_length_42372_cov_44.432604	17002..18618	  Translocated intimin receptor protein	AJ303141
virulence_ecoli	toxB	99.98	9501 / 9501	NODE_57_length_22361_cov_178.935828	8011..17510	  Toxin B	AB456530
virulence_ecoli	traT	100.0	423 / 423	NODE_31_length_54398_cov_39.004878	277..699	  Outer membrane protein complement resistance	AKKX01000148
virulence_ecoli	traT	100.0	129 / 129	NODE_31_length_54398_cov_39.004878	10502..10630	  Outer membrane protein complement resistance	AMTE01000156
stx	stx1	100.0	1227 / 1227	NODE_69_length_14428_cov_34.843147	12619..13845	O157 FLY16, variant a	AF461168
