Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	eae	99.81	2069 / 2805	NODE_13_length_107196_cov_57.839571	77657..79725	  Intimin	AF071034
virulence_ecoli	espA	99.14	579 / 579	NODE_13_length_107196_cov_57.839571	72921..73499	  Type III secretions system	CP003109
virulence_ecoli	espB	99.68	939 / 939	NODE_13_length_107196_cov_57.839571	70825..71763	  Secreted protein B	AE005174
virulence_ecoli	espI	99.27	4092 / 4092	NODE_98_length_7797_cov_56.474093	357..4448	  serine protease autotransporters of Enterobacteriaceae (SPATE)	AP010958
virulence_ecoli	fyuA	100.0	2022 / 2022	NODE_31_length_58456_cov_40.879666	37065..39086	  Siderophore receptor	ADTP01000030
virulence_ecoli	hlyE	98.8	918 / 918	NODE_41_length_41090_cov_45.638529	14164..15081	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	iha	99.95	2091 / 2091	NODE_114_length_4577_cov_48.856000	1548..3638	  Adherence protein	AE005174
virulence_ecoli	irp2	99.95	6108 / 6108	NODE_31_length_58456_cov_40.879666	17770..23877	  High molecular weight protein 2 non-ribosomal peptide synthetase	QOEM01000039
virulence_ecoli	iss	99.32	294 / 294	NODE_44_length_38356_cov_47.714569	36571..36864	  Increased serum survival	CP001509
virulence_ecoli	iucC	100.0	1743 / 1743	NODE_90_length_10045_cov_39.747291	3825..5567	  Aerobactin synthetase	AMUG01000109
virulence_ecoli	iutA	100.0	2199 / 2199	NODE_90_length_10045_cov_39.747291	290..2488	  Ferric aerobactin receptor	AAJW02000016
virulence_ecoli	terC	100.0	714 / 714	NODE_37_length_46005_cov_49.438643	22810..23523	  Tellurium ion resistance protein	CP007491
virulence_ecoli	terC	99.9	966 / 966	NODE_24_length_66598_cov_42.084169	47577..48542	  Tellurium ion resistance protein	MG591698
virulence_ecoli	tir	98.16	1683 / 1683	NODE_13_length_107196_cov_57.839571	80392..82056	  Translocated intimin receptor protein	EU871628
virulence_ecoli	traT	99.44	178 / 177	NODE_134_length_2405_cov_117.113832	1738..1915	  Outer membrane protein complement resistance	AIGY01000005
virulence_ecoli	traT	100.0	735 / 735	NODE_69_length_19047_cov_119.763996	1413..2147	  Outer membrane protein complement resistance	NZ_PDAN01000020
