Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
61-0091-ETEC-V1A	PFMLLOMJ_03209	NODE_112_length_14764_cov_10.136379	3646	4155	-	dfrA8	trimethoprim-resistant dihydrofolate reductase DfrA8	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	169	169	100.00	100.00	169	WP_000571065.1	trimethoprim-resistant dihydrofolate reductase DfrA8	NF000126.2	trimethoprim-resistant dihydrofolate reductase DfrA8
61-0091-ETEC-V1A	PFMLLOMJ_03211	NODE_112_length_14764_cov_10.136379	5246	6106	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NF000531.2	TEM family class A beta-lactamase
61-0091-ETEC-V1A	PFMLLOMJ_03215	NODE_112_length_14764_cov_10.136379	7609	8424	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NF000295.1	sulfonamide-resistant dihydropteroate synthase Sul2
61-0091-ETEC-V1A	PFMLLOMJ_03216	NODE_112_length_14764_cov_10.136379	8485	9288	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	267	267	100.00	100.00	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NF032895.1	aminoglycoside O-phosphotransferase APH(3'')-Ib
61-0091-ETEC-V1A	PFMLLOMJ_03217	NODE_112_length_14764_cov_10.136379	9288	10124	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	278	278	100.00	100.00	278	WP_000480972.1	aminoglycoside O-phosphotransferase APH(6)-Id	NF012171.0	APH(6)-I family aminoglycoside O-phosphotransferase
61-0091-ETEC-V1A	PFMLLOMJ_00777	NODE_12_length_48808_cov_6.227186	33002	37258	-	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1418	1416	100.00	94.21	1416	ABE05822.1	intimin-like adhesin FdeC	NA	NA
61-0091-ETEC-V1A	PFMLLOMJ_03505	NODE_134_length_12654_cov_11.663513	4668	5756	-	capU	putative hexosyltransferase CapU	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	362	362	100.00	99.45	362	CBL93318.1	putative hexosyltransferase CapU	NA	NA
61-0091-ETEC-V1A	PFMLLOMJ_03665	NODE_148_length_11137_cov_6.062935	7915	8181	+	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	EXACTP	88	88	100.00	100.00	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
61-0091-ETEC-V1A	PFMLLOMJ_00921	NODE_15_length_44570_cov_5.591644	33195	37760	-	sslE	lipoprotein metalloprotease SslE	plus	VIRULENCE	VIRULENCE	NA	NA	HMM	1521	1520	100.00	87.71	1522	ADE89421.1	lipoprotein metalloprotease SslE	NF037973.1	lipoprotein metalloprotease SslE
61-0091-ETEC-V1A	NA	NODE_177_length_9435_cov_5.161359	2710	3039	-	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	INTERNAL_STOP	110	110	100.00	96.36	110	CAA77936.1	multidrug efflux SMR transporter EmrE	NA	NA
61-0091-ETEC-V1A	NA	NODE_179_length_9357_cov_9.989763	8381	8494	-	astA	heat-stable enterotoxin EAST1	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	38	38	100.00	100.00	38	AAM88299.1	heat-stable enterotoxin EAST1	NA	NA
61-0091-ETEC-V1A	PFMLLOMJ_01042	NODE_18_length_41922_cov_5.921711	33472	36576	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	1034	1034	100.00	99.61	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
61-0091-ETEC-V1A	PFMLLOMJ_00037	NODE_1_length_165433_cov_6.131014	39792	40925	-	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	377	377	100.00	98.41	377	WP_063610930.1	extended-spectrum class C beta-lactamase EC-15	NF000185.2	BlaEC family class C beta-lactamase
61-0091-ETEC-V1A	PFMLLOMJ_04222	NODE_211_length_7177_cov_9.124648	4793	5998	-	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	401	401	100.00	99.75	401	WP_001089068.1	tetracycline efflux MFS transporter Tet(B)	NF012190.1	tetracycline efflux MFS transporter Tet(B)
61-0091-ETEC-V1A	PFMLLOMJ_04397	NODE_245_length_4791_cov_12.840687	1665	2321	-	ltcA	heat-labile enterotoxin LT subunit A	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALP	218	258	84.50	99.08	218	ABV01310.1	heat-labile enterotoxin LT subunit A	NA	NA
61-0091-ETEC-V1A	NA	NODE_29_length_35767_cov_4.840712	1	165	+	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	PARTIAL_CONTIG_ENDX	55	102	53.92	98.18	55	BAA15331.2	acid resistance repetitive basic protein Asr	NA	NA
61-0091-ETEC-V1A	PFMLLOMJ_01485	NODE_31_length_35400_cov_6.045098	15989	17221	+	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	410	410	100.00	97.80	410	AAC77293.1	multidrug efflux MFS transporter MdtM	NA	NA
61-0091-ETEC-V1A	PFMLLOMJ_01633	NODE_35_length_32063_cov_6.343150	30110	30682	+	lpfA	long polar fimbria major subunit LpfA-O113	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	190	190	100.00	100.00	190	AAT76975.1	long polar fimbria major subunit LpfA-O113	NA	NA
