Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
ECOR31	EIEBIJFO_00847	ECOR31_Contig_16	47655	48515	+	aadA7	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA7	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	286	265	100.00	100.00	265	WP_001436322.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA7	NF012157.0	ANT(3'')-I family aminoglycoside nucleotidyltransferase
ECOR31	EIEBIJFO_00848	ECOR31_Contig_16	48679	49026	+	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEP	115	115	100.00	100.00	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NF000276.2	quaternary ammonium compound efflux SMR transporter QacE
ECOR31	EIEBIJFO_00849	ECOR31_Contig_16	49020	49859	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	279	279	100.00	100.00	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NF000294.1	sulfonamide-resistant dihydropteroate synthase Sul1
ECOR31	EIEBIJFO_00853	ECOR31_Contig_16	52707	53522	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	BLASTP	271	271	100.00	99.26	271	WP_012695470.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NF033059.2	APH(3')-I family aminoglycoside O-phosphotransferase
ECOR31	EIEBIJFO_00856	ECOR31_Contig_16	54926	55162	-	merE	broad-spectrum mercury transporter MerE	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	78	78	100.00	96.15	78	AAC38236.1	broad-spectrum mercury transporter MerE	NF010310.2	broad-spectrum mercury transporter MerE
ECOR31	EIEBIJFO_00857	ECOR31_Contig_16	55159	55524	-	merD	mercury resistance co-regulator MerD	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	121	121	100.00	90.08	121	AAC38221.1	mercury resistance co-regulator MerD	NF033783.1	mercury resistance co-regulator MerD
ECOR31	EIEBIJFO_00858	ECOR31_Contig_16	55542	57227	-	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	561	561	100.00	93.23	561	ACU65296.1	mercury(II) reductase	TIGR02053.1	mercury(II) reductase
ECOR31	EIEBIJFO_00859	ECOR31_Contig_16	57266	57691	-	merC	organomercurial transporter MerC	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	HMM	141	141	100.00	80.14	141	AAC38233.1	organomercurial transporter MerC	NF033784.1	organomercurial transporter MerC
ECOR31	EIEBIJFO_00860	ECOR31_Contig_16	57719	57994	-	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	HMM	91	91	100.00	85.71	91	AAC38219.1	mercury resistance system periplasmic binding protein MerP	TIGR02052.1	mercury resistance system periplasmic binding protein MerP
ECOR31	EIEBIJFO_00861	ECOR31_Contig_16	58010	58375	-	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	121	116	99.14	99.13	115	CAA70196.1	mercuric transport protein MerT	NA	NA
ECOR31	EIEBIJFO_00862	ECOR31_Contig_16	58447	58902	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	151	144	98.61	92.96	142	CAA77320.1	mercury resistance transcriptional regulator MerR	NF010315.0	mercury resistance transcriptional regulator MerR
ECOR31	EIEBIJFO_00897	ECOR31_Contig_18	96	4655	-	sslE	lipoprotein metalloprotease SslE	plus	VIRULENCE	VIRULENCE	NA	NA	HMM	1519	1520	100.00	88.75	1520	ADE89421.1	lipoprotein metalloprotease SslE	NF037973.1	lipoprotein metalloprotease SslE
ECOR31	EIEBIJFO_01029	ECOR31_Contig_19	31951	32874	-	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALP	307	473	63.21	86.96	299	ADD54679.1	type III secretion system effector EspX1	NA	NA
ECOR31	EIEBIJFO_01175	ECOR31_Contig_23	89342	89866	-	lpfA1	long polar fimbria major subunit LpfA1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	174	178	97.75	98.28	174	OPH66324.1	long polar fimbria major subunit LpfA1	NA	NA
ECOR31	EIEBIJFO_01284	ECOR31_Contig_26	5231	8335	-	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	1034	1034	100.00	99.52	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
ECOR31	EIEBIJFO_00086	ECOR31_Contig_3	87053	88855	+	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	600	600	100.00	99.83	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
ECOR31	EIEBIJFO_00087	ECOR31_Contig_3	88842	90644	+	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	600	600	100.00	99.67	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
ECOR31	EIEBIJFO_01566	ECOR31_Contig_30	1377	2582	-	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	401	401	100.00	100.00	401	WP_001089068.1	tetracycline efflux MFS transporter Tet(B)	NF012190.1	tetracycline efflux MFS transporter Tet(B)
ECOR31	EIEBIJFO_01671	ECOR31_Contig_31	101647	102000	+	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	BLASTP	117	117	100.00	97.44	117	BAE77793.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
ECOR31	EIEBIJFO_01673	ECOR31_Contig_31	103357	103782	+	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTP	141	141	100.00	93.62	141	AAA21096.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase
