Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
CFT073	HELNJG_01675	contig_1	326209	330324	-	pic	serine protease autotransporter toxin Pic	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	1371	1371	100.00	100.00	1371	AAN78833.1	serine protease autotransporter toxin Pic	NA	NA
CFT073	HELNJG_01870	contig_1	371877	376007	-	vactox	vacuolating autotransporter toxin Vat	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	1376	1376	100.00	100.00	1376	AAN78874.1	vacuolating autotransporter toxin Vat	NA	NA
CFT073	HELNJG_01965	contig_1	395711	399961	+	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1416	1416	100.00	99.79	1416	ABE05822.1	intimin-like adhesin FdeC	NA	NA
CFT073	HELNJG_05835	contig_1	1176756	1177049	+	mchB	microcin H47	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	97	75	100.00	100.00	75	CAB54534.2	microcin H47	NA	NA
CFT073	HELNJG_05855	contig_1	1180769	1182865	+	mchF	microcin H47 export transporter peptidase/ATP-binding subunit MchF	plus	VIRULENCE	VIRULENCE	NA	NA	INTERNAL_STOP	698	698	100.00	99.14	698	CAD56186.1	microcin H47 export transporter peptidase/ATP-binding subunit MchF	NA	NA
CFT073	HELNJG_05925	contig_1	1190171	1192801	+	sfaF	S/F1C fimbrial biogenesis usher protein SfaF/FocD	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	876	876	100.00	100.00	876	EIL44824.1	S/F1C fimbrial biogenesis usher protein SfaF/FocD	NA	NA
CFT073	HELNJG_05935	contig_1	1193363	1193866	+	focG	F1C fimbria minor subunit FocG	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	167	166	100.00	98.80	167	AAB20438.1	F1C fimbria minor subunit FocG	NA	NA
CFT073	HELNJG_05960	contig_1	1198162	1200339	+	iroN	siderophore salmochelin receptor IroN	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	725	725	100.00	100.00	725	AAN79707.1	siderophore salmochelin receptor IroN	NA	NA
CFT073	HELNJG_05965	contig_1	1200384	1201340	-	iroE	catecholate siderophore esterase IroE	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	318	318	100.00	99.06	318	ACJ63530.1	catecholate siderophore esterase IroE	NA	NA
CFT073	HELNJG_05970	contig_1	1201425	1202654	-	iroD	catecholate siderophore esterase IroD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	409	409	100.00	99.51	409	ACJ63529.1	catecholate siderophore esterase IroD	NA	NA
CFT073	HELNJG_05975	contig_1	1202758	1206417	-	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1219	1219	100.00	99.59	1219	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC	NA	NA
CFT073	HELNJG_05980	contig_1	1206557	1207672	-	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	371	371	100.00	99.19	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB	NA	NA
CFT073	HELNJG_07395	contig_1	1422880	1423173	-	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	97	97	100.00	100.00	97	ADN71659.1	increased serum survival lipoprotein Iss	NA	NA
CFT073	HELNJG_07590	contig_1	1456159	1456425	+	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	BLASTP	88	88	100.00	97.73	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
CFT073	HELNJG_09430	contig_1	1832071	1832379	+	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	BLASTP	102	102	100.00	98.04	102	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
CFT073	HELNJG_11190	contig_1	2163791	2164123	-	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTP	110	110	100.00	98.18	110	CAA77936.1	multidrug efflux SMR transporter EmrE	NF000336.1	multidrug efflux SMR transporter EmrE
CFT073	HELNJG_11535	contig_1	2222220	2224022	-	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	600	600	100.00	99.50	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
CFT073	HELNJG_11540	contig_1	2224009	2225811	-	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	600	600	100.00	99.83	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
CFT073	HELNJG_14545	contig_1	2901846	2904023	-	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	HMM	725	730	100.00	72.78	731	AAL21411.1	intimin-like inverse autotransporter SinH	NF033423.1	intimin-like inverse autotransporter SinH
CFT073	HELNJG_17195	contig_1	3418896	3421970	+	hlyA-alpha	RTX toxin hemolysin HlyA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1024	1024	100.00	97.17	1024	CAQ77251.1	RTX toxin hemolysin HlyA	NA	NA
CFT073	HELNJG_17240	contig_1	3429593	3430603	-	papG-II	P fimbria tip G-adhesin PapG-II	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	336	337	100.00	99.11	337	AAA24293.1	P fimbria tip G-adhesin PapG-II	NA	NA
CFT073	HELNJG_17245	contig_1	3430647	3431147	-	papF	P fimbrial tip protein PapF	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	166	167	100.00	91.62	167	CAA43569.1	P fimbrial tip protein PapF	NA	NA
CFT073	HELNJG_17250	contig_1	3431222	3431743	-	papE	P fimbrial minor subunit PapE	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	173	173	100.00	91.33	173	CAA43568.1	P fimbrial minor subunit PapE	NA	NA
CFT073	HELNJG_17270	contig_1	3433739	3436258	-	papC	P fimbrial usher protein PapC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	839	836	100.00	96.20	841	CAA43564.1	P fimbrial usher protein PapC	NA	NA
CFT073	HELNJG_17275	contig_1	3436308	3436895	-	papH	P fimbrial minor subunit PapH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	195	195	100.00	98.97	195	CAA43563.1	P fimbrial minor subunit PapH	NA	NA
CFT073	HELNJG_17375	contig_1	3448776	3450866	-	iha	bifunctional siderophore receptor/adhesin Iha	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	696	696	100.00	100.00	696	AAN82058.1	bifunctional siderophore receptor/adhesin Iha	NA	NA
CFT073	HELNJG_17415	contig_1	3456362	3460249	-	sat	serine protease autotransporter toxin Sat	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1295	1295	100.00	99.54	1295	AFK88558.1	serine protease autotransporter toxin Sat	NA	NA
CFT073	HELNJG_17420	contig_1	3461193	3463391	-	iutA	ferric aerobactin receptor IutA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	732	731	100.00	99.45	731	AAN45165.2	ferric aerobactin receptor IutA	NA	NA
CFT073	HELNJG_17425	contig_1	3463394	3464731	-	iucD	NADPH-dependent L-lysine N(6)-monooxygenase IucD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	445	445	100.00	98.88	445	AAD44749.1	NADPH-dependent L-lysine N(6)-monooxygenase IucD	NA	NA
CFT073	HELNJG_17430	contig_1	3464728	3466470	-	iucC	NIS family aerobactin synthetase IucC	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	580	580	100.00	100.00	580	AAN82073.1	NIS family aerobactin synthetase IucC	NA	NA
CFT073	HELNJG_17435	contig_1	3466470	3467417	-	iucB	N(6)-hydroxylysine O-acetyltransferase IucB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	315	315	100.00	100.00	315	AAN82074.1	N(6)-hydroxylysine O-acetyltransferase IucB	NA	NA
CFT073	HELNJG_17440	contig_1	3467418	3469142	-	iucA	aerobactin synthase IucA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	574	576	100.00	98.61	576	EGI25746.1	aerobactin synthase IucA	NA	NA
CFT073	HELNJG_19325	contig_1	3846801	3849905	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	1034	1034	100.00	99.42	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
CFT073	HELNJG_20555	contig_1	4082081	4082506	+	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTP	141	141	100.00	93.62	141	AAA21096.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase
CFT073	HELNJG_21915	contig_1	4359574	4360758	+	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	394	394	100.00	99.49	394	BAE77620.1	multidrug efflux MFS transporter EmrD	NA	NA
CFT073	HELNJG_23300	contig_1	4626127	4627029	+	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	BLASTP	300	300	100.00	99.67	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
CFT073	HELNJG_24835	contig_1	4935990	4938038	+	ireA	TonB-dependent siderophore receptor IreA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	682	682	100.00	100.00	682	AAN83596.1	TonB-dependent siderophore receptor IreA	NA	NA
CFT073	HELNJG_24860	contig_1	4940831	4941841	-	papG-II	P fimbria tip G-adhesin PapG-II	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	336	337	100.00	99.11	337	AAA24293.1	P fimbria tip G-adhesin PapG-II	NA	NA
CFT073	HELNJG_24865	contig_1	4941885	4942385	-	papF	P fimbrial tip protein PapF	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	166	167	100.00	91.62	167	CAA43569.1	P fimbrial tip protein PapF	NA	NA
CFT073	HELNJG_24870	contig_1	4942460	4942981	-	papE	P fimbrial minor subunit PapE	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	173	173	100.00	91.33	173	CAA43568.1	P fimbrial minor subunit PapE	NA	NA
CFT073	HELNJG_24890	contig_1	4944977	4947496	-	papC	P fimbrial usher protein PapC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	839	836	100.00	96.20	841	CAA43564.1	P fimbrial usher protein PapC	NA	NA
CFT073	HELNJG_24895	contig_1	4947546	4948133	-	papH	P fimbrial minor subunit PapH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	195	195	100.00	98.97	195	CAA43563.1	P fimbrial minor subunit PapH	NA	NA
CFT073	HELNJG_25115	contig_1	4986532	4987665	-	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	plus	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	377	377	100.00	100.00	377	AAZ85965.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
