Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	cba	94.7	943 / 1536	NODE_88_length_7401_cov_315.828236	1151..2093	  Colicin B	FJ664721
virulence_ecoli	cif	99.76	851 / 849	NODE_31_length_56152_cov_14.613339	1119..1969	  Type III secreted effector	AF497476
virulence_ecoli	eae	100.0	2847 / 2847	NODE_41_length_41076_cov_23.673651	12196..15042	  Intimin	AJ303141
virulence_ecoli	efa1	99.99	9672 / 9672	NODE_63_length_18364_cov_22.888773	672..10343	  EHEC factor for adherence	AJ303141
virulence_ecoli	ehxA	100.0	2997 / 2997	NODE_71_length_12077_cov_50.199500	1343..4339	 Enterohaemolysin	HM138194
virulence_ecoli	espA	100.0	579 / 579	NODE_41_length_41076_cov_23.673651	8868..9446	  Type III secretions system	AJ303141
virulence_ecoli	espB	100.0	945 / 945	NODE_41_length_41076_cov_23.673651	6748..7692	  Secreted protein B	AP010958
virulence_ecoli	espF	99.89	885 / 885	NODE_41_length_41076_cov_23.673651	4692..5576	  Type III secretion system	AP010958
virulence_ecoli	espJ	99.24	654 / 654	NODE_40_length_41827_cov_16.080335	2876..3529	  Prophage-encoded type III secretion system effector	AB303060
virulence_ecoli	espP	100.0	3903 / 3903	NODE_104_length_4937_cov_45.796914	555..4457	 Extracellular serine protease plasmid-encoded	GQ259888
virulence_ecoli	hlyE	99.13	918 / 918	NODE_14_length_95801_cov_15.269410	55366..56282	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	iha	100.0	2091 / 2091	NODE_57_length_24945_cov_16.325961	7419..9509	  Adherence protein	AE005174
virulence_ecoli	iss	98.98	294 / 294	NODE_85_length_7915_cov_18.710130	3788..4081	  Increased serum survival	CP001509
virulence_ecoli	iucC	100.0	1743 / 1743	NODE_77_length_10458_cov_22.276081	3828..5570	  Aerobactin synthetase	AAJW02000016
virulence_ecoli	iutA	100.0	2199 / 2199	NODE_77_length_10458_cov_22.276081	293..2491	  Ferric aerobactin receptor	AAJW02000016
virulence_ecoli	katP	100.0	2211 / 2211	NODE_128_length_2961_cov_40.313454	545..2755	  Plasmid-encoded catalase peroxidase	AB011549
virulence_ecoli	nleA	100.0	1239 / 1239	NODE_31_length_56152_cov_14.613339	3407..4645	  Non-LEE encoded effector A	AB303062
virulence_ecoli	nleB	100.0	990 / 990	NODE_63_length_18364_cov_22.888773	12944..13933	  Non-LEE encoded effector B	AF453441
virulence_ecoli	nleC	99.8	987 / 987	NODE_74_length_11810_cov_14.478224	10360..11346	  Non-LEE encoded effector C	AP010953
virulence_ecoli	ompT	100.0	954 / 954	NODE_65_length_16879_cov_17.686406	8047..9000	  Outer membrane protease (protein protease 7)	CYAG01000051
virulence_ecoli	stx1A	100.0	948 / 948	NODE_127_length_3059_cov_26.384977	768..1715	  Shiga toxin 1, subunit A, variant a	AF461168
virulence_ecoli	stx1B	100.0	270 / 270	NODE_127_length_3059_cov_26.384977	489..758	  Shiga toxin 1, subunit B, variant a	AM230663
virulence_ecoli	tccP	100.0	501 / 753	NODE_55_length_26433_cov_16.338101	473..973	  Tir-cytoskeleton coupling protein	AP010953
virulence_ecoli	terC	100.0	1041 / 1041	NODE_57_length_24945_cov_16.325961	12103..13143	  Tellurium ion resistance protein	CP006262
virulence_ecoli	terC	100.0	714 / 714	NODE_17_length_91390_cov_17.881616	50953..51666	  Tellurium ion resistance protein	CP007491
virulence_ecoli	terC	99.79	966 / 966	NODE_8_length_161025_cov_17.375792	65134..66099	  Tellurium ion resistance protein	MG591698
virulence_ecoli	tir	100.0	1617 / 1617	NODE_41_length_41076_cov_23.673651	15706..17322	  Translocated intimin receptor protein	AJ303141
virulence_ecoli	toxB	99.98	9501 / 9501	NODE_64_length_17284_cov_52.003254	4852..14351	  Toxin B	AB456530
virulence_ecoli	traT	100.0	423 / 423	NODE_78_length_10308_cov_19.616655	9610..10032	  Outer membrane protein complement resistance	AKKX01000148
virulence_ecoli	traT	100.0	129 / 129	NODE_91_length_6546_cov_17.840161	6344..6472	  Outer membrane protein complement resistance	AMTE01000156
stx	stx1	100.0	1227 / 1227	NODE_127_length_3059_cov_26.384977	489..1715	O157 FLY16, variant a	AF461168
