Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
K7756	GGEOBBFF_00021	K7756_Contig_1	21171	21980	+	cdtB	cytolethal distending toxin type II nuclease subunit CdtB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	269	269	100.00	99.26	269	AAA18786.1	cytolethal distending toxin type II nuclease subunit CdtB	NA	NA
K7756	GGEOBBFF_00402	K7756_Contig_1	448124	450301	-	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	HMM	725	730	100.00	75.65	731	AAL21411.1	intimin-like inverse autotransporter SinH	NF033423.1	intimin-like inverse autotransporter SinH
K7756	GGEOBBFF_03487	K7756_Contig_14	76525	76857	-	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTP	110	110	100.00	96.36	110	CAA77936.1	multidrug efflux SMR transporter EmrE	NF000336.1	multidrug efflux SMR transporter EmrE
K7756	GGEOBBFF_03583	K7756_Contig_15	54694	55596	+	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	BLASTP	300	300	100.00	97.33	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
K7756	GGEOBBFF_03736	K7756_Contig_17	14747	15931	+	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	394	396	99.49	97.97	394	EFF04178.1	multidrug efflux MFS transporter EmrD	NA	NA
K7756	GGEOBBFF_00587	K7756_Contig_2	101122	101382	+	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALP	86	97	88.66	97.67	86	ADR26561.1	increased serum survival lipoprotein Iss	NA	NA
K7756	GGEOBBFF_04090	K7756_Contig_20	84339	85661	+	nleA	type III secretion system effector NleA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	440	441	100.00	87.76	441	AAK16940.1	type III secretion system effector NleA	NA	NA
K7756	GGEOBBFF_04257	K7756_Contig_24	4717	5049	+	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTP	110	110	100.00	99.09	110	CAA77936.1	multidrug efflux SMR transporter EmrE	NF000336.1	multidrug efflux SMR transporter EmrE
K7756	GGEOBBFF_01302	K7756_Contig_3	345359	345634	-	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	HMM	91	102	100.00	74.53	106	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
K7756	GGEOBBFF_04485	K7756_Contig_33	334	1326	-	nleC	type III secretion system effector zinc metalloprotease NleC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	330	330	100.00	93.03	330	AAG55141.1	type III secretion system effector zinc metalloprotease NleC	NA	NA
K7756	GGEOBBFF_01353	K7756_Contig_4	1375	4479	-	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	1034	1034	100.00	96.13	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
K7756	GGEOBBFF_01651	K7756_Contig_4	315208	319767	+	sslE	lipoprotein metalloprotease SslE	plus	VIRULENCE	VIRULENCE	NA	NA	HMM	1519	1520	100.00	88.11	1522	ADE89421.1	lipoprotein metalloprotease SslE	NF037973.1	lipoprotein metalloprotease SslE
K7756	GGEOBBFF_02105	K7756_Contig_6	149339	151198	+	tir	type III secretion system LEE translocated intimin receptor Tir	plus	VIRULENCE	VIRULENCE	NA	NA	HMM	619	574	100.00	70.30	623	AAX47730.1	type III secretion system LEE translocated intimin receptor Tir	NF033637.1	type III secretion system LEE translocated intimin receptor Tir
K7756	GGEOBBFF_02107	K7756_Contig_6	151865	154669	+	eae	intimin type gamma	plus	VIRULENCE	VIRULENCE	INTIMIN	GAMMA	EXACTP	934	934	100.00	100.00	934	ACM67166.1	intimin type gamma	NF033627.3	intimin
K7756	GGEOBBFF_02110	K7756_Contig_6	157432	158010	+	espA	type III secretion system LEE translocon filament protein EspA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	192	192	100.00	100.00	192	CAR47993.1	type III secretion system LEE translocon filament protein EspA	NA	NA
K7756	GGEOBBFF_02112	K7756_Contig_6	159186	160130	+	espB	type III secretion system LEE translocon pore-forming subunit EspB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	314	314	100.00	100.00	314	AAC82360.1	type III secretion system LEE translocon pore-forming subunit EspB	NA	NA
K7756	GGEOBBFF_02116	K7756_Contig_6	161302	162066	+	espF	type III secretion system LEE effector EspF	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALP	254	294	85.71	96.03	252	CAI43856.1	type III secretion system LEE effector EspF	NF040807.1	type III secretion system LEE effector EspF
K7756	GGEOBBFF_02141	K7756_Contig_6	183773	184915	-	ampC	CMY2/MIR/ACT/EC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	380	377	100.00	89.47	380	AAZ85968.1	CMY2/MIR/ACT/EC family class C beta-lactamase	NF012173.1	CMY2/MIR/ACT/EC family class C beta-lactamase
