Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
E2348-69	EHDNLJLA_00265	E2348-69_Contig_1	291026	295276	+	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1416	1416	100.00	99.08	1416	ABE05822.1	intimin-like adhesin FdeC	NA	NA
E2348-69	EHDNLJLA_00735	E2348-69_Contig_1	768761	769417	+	cif	type III secretion system effector Cif	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALP	218	282	77.30	100.00	218	AAQ07241.1	type III secretion system effector Cif	NA	NA
E2348-69	EHDNLJLA_00739	E2348-69_Contig_1	770711	771364	-	espJ	type III secretion system effector ADP-ribosyltransferase EspJ	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	217	217	100.00	100.00	217	BAF96525.1	type III secretion system effector ADP-ribosyltransferase EspJ	NA	NA
E2348-69	EHDNLJLA_01053	E2348-69_Contig_1	1085343	1086323	+	nleB2	type III secretion system effector arginine glycosyltransferase NleB2	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	326	326	100.00	100.00	326	CAS08589.1	type III secretion system effector arginine glycosyltransferase NleB2	NA	NA
E2348-69	EHDNLJLA_01054	E2348-69_Contig_1	1086357	1087376	+	nleC	type III secretion system effector zinc metalloprotease NleC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	339	330	100.00	99.70	330	AAG55141.1	type III secretion system effector zinc metalloprotease NleC	NA	NA
E2348-69	EHDNLJLA_01095	E2348-69_Contig_1	1138758	1139555	-	nleB	type III secretion system effector arginine glycosyltransferase NleB	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALP	265	329	80.55	97.74	265	AAL57565.1	type III secretion system effector arginine glycosyltransferase NleB	NA	NA
E2348-69	EHDNLJLA_01296	E2348-69_Contig_1	1325432	1325698	+	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	BLASTP	88	88	100.00	97.73	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
E2348-69	EHDNLJLA_01455	E2348-69_Contig_1	1473581	1474903	-	nleA	type III secretion system effector NleA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	440	440	100.00	100.00	440	CAS08990.1	type III secretion system effector NleA	NA	NA
E2348-69	EHDNLJLA_01705	E2348-69_Contig_1	1746650	1746958	+	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	BLASTP	102	102	100.00	97.06	102	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
E2348-69	EHDNLJLA_02854	E2348-69_Contig_1	2860904	2863108	-	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	HMM	734	730	100.00	68.62	733	AAL21411.1	intimin-like inverse autotransporter SinH	NF033423.1	intimin-like inverse autotransporter SinH
E2348-69	EHDNLJLA_02984	E2348-69_Contig_1	3005494	3009411	-	espC	serine protease autotransporter toxin EspC	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	1305	1305	100.00	100.00	1305	CAS10463.1	serine protease autotransporter toxin EspC	NA	NA
E2348-69	EHDNLJLA_03308	E2348-69_Contig_1	3350278	3351267	+	nleB	type III secretion system effector arginine glycosyltransferase NleB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	329	329	100.00	99.09	329	BAI37513.1	type III secretion system effector arginine glycosyltransferase NleB	NA	NA
E2348-69	EHDNLJLA_03311	E2348-69_Contig_1	3353864	3363535	+	efa1	lymphostatin Efa1/LifA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	3223	3223	100.00	99.94	3223	AAD49229.2	lymphostatin Efa1/LifA	NA	NA
E2348-69	EHDNLJLA_03330	E2348-69_Contig_1	3380138	3384712	-	sslE	lipoprotein metalloprotease SslE	plus	VIRULENCE	VIRULENCE	NA	NA	HMM	1524	1520	100.00	89.63	1524	ADE89421.1	lipoprotein metalloprotease SslE	NF037973.1	lipoprotein metalloprotease SslE
E2348-69	EHDNLJLA_03617	E2348-69_Contig_1	3684436	3687540	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	1034	1034	100.00	99.32	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
E2348-69	EHDNLJLA_03826	E2348-69_Contig_1	3888914	3889339	+	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTP	141	141	100.00	92.91	141	AAA21096.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase
E2348-69	EHDNLJLA_04026	E2348-69_Contig_1	4103271	4103891	-	espF	type III secretion system LEE effector EspF	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	206	206	100.00	100.00	206	AAC38400.1	type III secretion system LEE effector EspF	NF040807.1	type III secretion system LEE effector EspF
E2348-69	EHDNLJLA_04030	E2348-69_Contig_1	4104932	4105897	-	espB	type III secretion system LEE translocon pore-forming subunit EspB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	321	321	100.00	100.00	321	AAC38396.1	type III secretion system LEE translocon pore-forming subunit EspB	NA	NA
E2348-69	EHDNLJLA_04032	E2348-69_Contig_1	4107073	4107651	-	espA	type III secretion system LEE translocon filament protein EspA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	192	192	100.00	100.00	192	AAC38394.1	type III secretion system LEE translocon filament protein EspA	NA	NA
E2348-69	EHDNLJLA_04035	E2348-69_Contig_1	4110343	4113162	-	eae	intimin type alpha	plus	VIRULENCE	VIRULENCE	INTIMIN	ALPHA	BLASTP	939	939	100.00	99.79	939	ACM67143.1	intimin type alpha	NF033639.1	intimin type alpha
E2348-69	EHDNLJLA_04037	E2348-69_Contig_1	4113830	4115482	-	tir	type III secretion system LEE translocated intimin receptor Tir	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	550	550	100.00	100.00	550	AAC38390.1	type III secretion system LEE translocated intimin receptor Tir	NF033637.1	type III secretion system LEE translocated intimin receptor Tir
E2348-69	EHDNLJLA_04081	E2348-69_Contig_1	4153613	4154797	+	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	394	394	100.00	99.49	394	BAE77620.1	multidrug efflux MFS transporter EmrD	NA	NA
E2348-69	EHDNLJLA_04327	E2348-69_Contig_1	4421594	4422496	+	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	BLASTP	300	300	100.00	99.33	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
E2348-69	EHDNLJLA_04602	E2348-69_Contig_1	4725638	4726771	-	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	377	377	100.00	99.20	377	AAZ85965.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
