Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	cif	99.76	851 / 849	NODE_30_length_56152_cov_53.457334	1119..1969	  Type III secreted effector	AF497476
virulence_ecoli	eae	100.0	2847 / 2847	NODE_41_length_40901_cov_88.565525	12021..14867	  Intimin	AJ303141
virulence_ecoli	efa1	99.99	9672 / 9672	NODE_63_length_18047_cov_86.985921	7705..17376	  EHEC factor for adherence	AJ303141
virulence_ecoli	ehxA	100.0	2997 / 2997	NODE_71_length_12077_cov_186.357750	1343..4339	 Enterohaemolysin	HM138194
virulence_ecoli	espA	100.0	579 / 579	NODE_41_length_40901_cov_88.565525	8693..9271	  Type III secretions system	AJ303141
virulence_ecoli	espB	100.0	945 / 945	NODE_41_length_40901_cov_88.565525	6573..7517	  Secreted protein B	AP010958
virulence_ecoli	espF	99.89	885 / 885	NODE_41_length_40901_cov_88.565525	4517..5401	  Type III secretion system	AP010958
virulence_ecoli	espJ	99.24	654 / 654	NODE_40_length_41363_cov_56.471104	2412..3065	  Prophage-encoded type III secretion system effector	AB303060
virulence_ecoli	espP	100.0	3903 / 3903	NODE_101_length_4937_cov_161.510288	481..4383	 Extracellular serine protease plasmid-encoded	GQ259888
virulence_ecoli	hlyE	99.13	918 / 918	NODE_12_length_135527_cov_57.682709	39474..40390	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	iha	100.0	2091 / 2091	NODE_55_length_24945_cov_57.172471	15437..17527	  Adherence protein	AE005174
virulence_ecoli	iss	98.98	294 / 294	NODE_86_length_7587_cov_69.656724	3711..4004	  Increased serum survival	CP001509
virulence_ecoli	iucC	100.0	1743 / 1743	NODE_74_length_11748_cov_80.634821	4661..6403	  Aerobactin synthetase	AAJW02000016
virulence_ecoli	iutA	100.0	2199 / 2199	NODE_74_length_11748_cov_80.634821	7740..9938	  Ferric aerobactin receptor	AAJW02000016
virulence_ecoli	katP	100.0	2211 / 2211	NODE_126_length_2961_cov_152.420943	545..2755	  Plasmid-encoded catalase peroxidase	AB011549
virulence_ecoli	nleA	100.0	1239 / 1239	NODE_30_length_56152_cov_53.457334	3407..4645	  Non-LEE encoded effector A	AB303062
virulence_ecoli	nleB	100.0	990 / 990	NODE_63_length_18047_cov_86.985921	4115..5104	  Non-LEE encoded effector B	AF453441
virulence_ecoli	nleC	99.8	987 / 987	NODE_73_length_11881_cov_54.179346	536..1522	  Non-LEE encoded effector C	AP010953
virulence_ecoli	ompT	100.0	954 / 954	NODE_62_length_21187_cov_65.102558	12188..13141	  Outer membrane protease (protein protease 7)	CYAG01000051
virulence_ecoli	stx1A	100.0	948 / 948	NODE_69_length_14531_cov_74.831465	12722..13669	  Shiga toxin 1, subunit A, variant a	AF461168
virulence_ecoli	stx1B	100.0	270 / 270	NODE_69_length_14531_cov_74.831465	13679..13948	  Shiga toxin 1, subunit B, variant a	AM230663
virulence_ecoli	tccP	100.0	501 / 753	NODE_52_length_26616_cov_54.895098	25461..25961	  Tir-cytoskeleton coupling protein	AP010953
virulence_ecoli	terC	100.0	1041 / 1041	NODE_55_length_24945_cov_57.172471	11803..12843	  Tellurium ion resistance protein	CP006262
virulence_ecoli	terC	100.0	714 / 714	NODE_18_length_91390_cov_63.489240	50953..51666	  Tellurium ion resistance protein	CP007491
virulence_ecoli	terC	99.79	966 / 966	NODE_8_length_161032_cov_59.280333	94926..95891	  Tellurium ion resistance protein	MG591698
virulence_ecoli	tir	100.0	1617 / 1617	NODE_41_length_40901_cov_88.565525	15531..17147	  Translocated intimin receptor protein	AJ303141
virulence_ecoli	toxB	99.98	9501 / 9501	NODE_64_length_17284_cov_194.034346	4852..14351	  Toxin B	AB456530
virulence_ecoli	traT	100.0	423 / 423	NODE_78_length_10308_cov_71.821132	9610..10032	  Outer membrane protein complement resistance	AKKX01000148
virulence_ecoli	traT	100.0	129 / 129	NODE_91_length_6546_cov_67.997836	75..203	  Outer membrane protein complement resistance	AMTE01000156
stx	stx1	100.0	1227 / 1227	NODE_69_length_14531_cov_74.831465	12722..13948	O157 FLY16, variant a	AF461168
