Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
ROAR344	IONNCN_03680	contig_10	39984	42158	+	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	HMM	724	730	100.00	73.87	731	AAL21411.1	intimin-like inverse autotransporter SinH	NF033423.1	intimin-like inverse autotransporter SinH
ROAR344	IONNCN_07470	contig_12	321730	322035	-	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	HMM	101	102	99.02	65.05	103	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
ROAR344	IONNCN_08925	contig_16	39529	40728	-	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	399	399	100.00	100.00	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NF012193.0	tetracycline efflux MFS transporter Tet(A)
ROAR344	IONNCN_08950	contig_16	44111	44545	-	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	144	144	100.00	93.75	144	CAA77320.1	mercury resistance transcriptional regulator MerR	NF010315.0	mercury resistance transcriptional regulator MerR
ROAR344	IONNCN_08955	contig_16	44617	44967	+	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	EXACTP	116	116	100.00	100.00	116	AAB59075.1	mercuric transport protein MerT	NA	NA
ROAR344	IONNCN_08960	contig_16	44981	45256	+	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	91	91	100.00	90.11	91	AAC38219.1	mercury resistance system periplasmic binding protein MerP	TIGR02052.1	mercury resistance system periplasmic binding protein MerP
ROAR344	IONNCN_08965	contig_16	45292	45714	+	merC	organomercurial transporter MerC	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	EXACTP	140	140	100.00	100.00	140	AAC33908.1	organomercurial transporter MerC	NF033784.1	organomercurial transporter MerC
ROAR344	IONNCN_08970	contig_16	45766	47460	+	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	HMM	564	561	100.00	85.31	565	AAC38220.1	mercury(II) reductase	TIGR02053.1	mercury(II) reductase
ROAR344	IONNCN_08975	contig_16	47478	47840	+	merD	mercury resistance co-regulator MerD	plus	STRESS	METAL	MERCURY	MERCURY	HMM	120	121	100.00	82.64	121	AAC38221.1	mercury resistance co-regulator MerD	NF033783.1	mercury resistance co-regulator MerD
ROAR344	IONNCN_08980	contig_16	47837	48073	+	merE	broad-spectrum mercury transporter MerE	plus	STRESS	METAL	MERCURY	MERCURY	HMM	78	78	100.00	78.21	78	AAA88371.1	broad-spectrum mercury transporter MerE	NF010310.2	broad-spectrum mercury transporter MerE
