Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
S1165_CU0428_IS03	BONFPMOC_01497	NODE_11_length_111584_cov_48.967500	102840	105944	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	1034	1034	100.00	99.42	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
S1165_CU0428_IS03	BONFPMOC_01525	NODE_12_length_107952_cov_51.758600	22054	26307	+	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1417	1416	99.93	91.02	1415	ABE05822.1	intimin-like adhesin FdeC	NA	NA
S1165_CU0428_IS03	BONFPMOC_01634	NODE_13_length_103338_cov_55.101471	40699	41931	-	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	410	410	100.00	97.80	410	AAC77293.1	multidrug efflux MFS transporter MdtM	NA	NA
S1165_CU0428_IS03	BONFPMOC_02570	NODE_24_length_74671_cov_50.153605	68883	70016	+	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	377	377	100.00	99.73	377	WP_063610930.1	extended-spectrum class C beta-lactamase EC-15	NF000185.2	BlaEC family class C beta-lactamase
S1165_CU0428_IS03	BONFPMOC_02689	NODE_26_length_71271_cov_50.520816	27180	28364	+	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTP	394	394	100.00	100.00	394	BAE77620.1	multidrug efflux MFS transporter EmrD	NA	NA
S1165_CU0428_IS03	BONFPMOC_02843	NODE_28_length_67559_cov_48.912480	46349	47251	+	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	EXACTP	300	300	100.00	100.00	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
S1165_CU0428_IS03	BONFPMOC_00428	NODE_2_length_212257_cov_54.426727	208820	209152	+	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTP	110	110	100.00	97.27	110	CAA77936.1	multidrug efflux SMR transporter EmrE	NF000336.1	multidrug efflux SMR transporter EmrE
S1165_CU0428_IS03	BONFPMOC_02939	NODE_30_length_59292_cov_55.468749	5227	5493	-	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	EXACTP	88	88	100.00	100.00	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
S1165_CU0428_IS03	BONFPMOC_03928	NODE_51_length_35212_cov_65.448470	17197	17550	+	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	EXACTP	117	117	100.00	100.00	117	BAE77793.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
S1165_CU0428_IS03	BONFPMOC_03930	NODE_51_length_35212_cov_65.448470	18906	19331	+	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTP	141	141	100.00	93.62	141	AAA21096.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase
S1165_CU0428_IS03	BONFPMOC_00799	NODE_5_length_134773_cov_46.763534	118017	119438	+	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	473	473	100.00	91.75	473	ADD54679.1	type III secretion system effector EspX1	NA	NA
S1165_CU0428_IS03	BONFPMOC_04393	NODE_69_length_16995_cov_48.962111	2656	3744	-	capU	putative hexosyltransferase CapU	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	362	362	100.00	99.72	362	CAV02025.1	putative hexosyltransferase CapU	NA	NA
S1165_CU0428_IS03	BONFPMOC_00915	NODE_6_length_125359_cov_50.657876	104560	104868	-	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	BLASTP	102	102	100.00	97.06	102	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
