Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04947	NODE_101_length_4937_cov_161.510288	481	4383	+	espP	serine protease autotransporter EspP	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	1300	1300	100.00	100.00	1300	BAA31836.1	serine protease autotransporter EspP	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_05067	NODE_126_length_2961_cov_152.420943	545	2755	-	katP	catalase/peroxidase KatP	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	736	736	100.00	100.00	736	BAA31832.1	catalase/peroxidase KatP	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_01908	NODE_12_length_135527_cov_57.682709	6969	8330	-	espK	type III secretion system effector EspK	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	453	453	100.00	90.73	453	BAB34991.1	type III secretion system effector EspK	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_01925	NODE_12_length_135527_cov_57.682709	26342	26608	+	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	EXACTP	88	88	100.00	100.00	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_02427	NODE_16_length_96148_cov_60.292357	47522	51775	-	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1417	1416	99.93	91.02	1415	ABE05822.1	intimin-like adhesin FdeC	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_02557	NODE_17_length_94634_cov_58.321309	86162	89266	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	1034	1034	100.00	99.61	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_03344	NODE_29_length_58168_cov_59.991358	7200	7724	-	lpfA	long polar fimbria major subunit LpfA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	174	174	100.00	100.00	174	CAV00478.1	long polar fimbria major subunit LpfA	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_00279	NODE_2_length_245252_cov_61.341997	43070	44302	+	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	410	410	100.00	97.32	410	AAC77293.1	multidrug efflux MFS transporter MdtM	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_00455	NODE_2_length_245252_cov_61.341997	228875	230008	+	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	377	377	100.00	98.67	377	WP_063610930.1	extended-spectrum class C beta-lactamase EC-15	NF000185.2	BlaEC family class C beta-lactamase
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_03393	NODE_30_length_56152_cov_53.457334	1119	1949	+	cif	type III secretion system effector Cif	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	276	282	96.45	100.00	272	AAQ07241.1	type III secretion system effector Cif	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_03395	NODE_30_length_56152_cov_53.457334	3407	4645	-	nleA	type III secretion system effector NleA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	412	412	100.00	100.00	412	BAF96541.1	type III secretion system effector NleA	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_03639	NODE_34_length_48706_cov_57.651751	27836	32398	+	sslE	lipoprotein metalloprotease SslE	plus	VIRULENCE	VIRULENCE	NA	NA	HMM	1520	1520	100.00	87.91	1522	ADE89421.1	lipoprotein metalloprotease SslE	NF037973.1	lipoprotein metalloprotease SslE
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_03686	NODE_35_length_47363_cov_56.411369	26217	27119	+	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	EXACTP	300	300	100.00	100.00	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_00646	NODE_3_length_201923_cov_55.770369	200654	201721	+	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALP	355	473	71.88	90.59	340	ADD54679.1	type III secretion system effector EspX1	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_03880	NODE_40_length_41363_cov_56.471104	2412	3065	-	espJ	type III secretion system effector ADP-ribosyltransferase EspJ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	217	217	100.00	98.16	217	BAF96525.1	type III secretion system effector ADP-ribosyltransferase EspJ	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_03918	NODE_41_length_40901_cov_88.565525	4517	5401	-	espF	type III secretion system LEE effector EspF	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	294	294	100.00	100.00	294	CAI43856.1	type III secretion system LEE effector EspF	NF040807.1	type III secretion system LEE effector EspF
61-0776-EPEC-STEC-V4-col1B	NA	NODE_41_length_40901_cov_88.565525	4787	5401	-	espF	type III secretion system LEE effector EspF	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	205	207	99.03	92.68	205	AAF03351.1	type III secretion system LEE effector EspF	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_03922	NODE_41_length_40901_cov_88.565525	6573	7517	-	espB	type III secretion system LEE translocon pore-forming subunit EspB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	314	314	100.00	100.00	314	BAI32327.1	type III secretion system LEE translocon pore-forming subunit EspB	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_03924	NODE_41_length_40901_cov_88.565525	8693	9271	-	espA	type III secretion system LEE translocon filament protein EspA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	192	192	100.00	100.00	192	CAI43862.1	type III secretion system LEE translocon filament protein EspA	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_03927	NODE_41_length_40901_cov_88.565525	12021	14867	-	eae	intimin type epsilon	plus	VIRULENCE	VIRULENCE	INTIMIN	EPSILON	EXACTP	948	948	100.00	100.00	948	CAI43865.1	intimin type epsilon	NF033627.3	intimin
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_03929	NODE_41_length_40901_cov_88.565525	15531	17147	-	tir	type III secretion system LEE translocated intimin receptor Tir	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	538	538	100.00	100.00	538	CAI43867.1	type III secretion system LEE translocated intimin receptor Tir	NF033637.1	type III secretion system LEE translocated intimin receptor Tir
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_00817	NODE_4_length_201518_cov_59.246365	182752	183105	+	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	EXACTP	117	117	100.00	100.00	117	BAE77793.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_00819	NODE_4_length_201518_cov_59.246365	184461	184886	+	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTP	141	141	100.00	94.33	141	AAA21096.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04369	NODE_55_length_24945_cov_57.172471	2524	2991	-	terW	tellurium resistance protein TerW	plus	STRESS	METAL	TELLURIUM	TELLURIUM	BLASTP	155	155	100.00	99.35	155	AAC44736.1	tellurium resistance protein TerW	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04376	NODE_55_length_24945_cov_57.172471	9564	10145	+	terZ	tellurium resistance-associated protein TerZ	plus	STRESS	METAL	TELLURIUM	TELLURIUM	BLASTP	193	193	100.00	98.96	193	AAA86846.1	tellurium resistance-associated protein TerZ	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04380	NODE_55_length_24945_cov_57.172471	12892	13470	+	terD	tellurium resistance membrane protein TerD	plus	STRESS	METAL	TELLURIUM	TELLURIUM	BLASTP	192	192	100.00	95.31	192	AAA98292.1	tellurium resistance membrane protein TerD	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04383	NODE_55_length_24945_cov_57.172471	15437	17527	-	iha	bifunctional siderophore receptor/adhesin Iha	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	696	696	100.00	100.00	696	AAG55323.1	bifunctional siderophore receptor/adhesin Iha	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_00917	NODE_5_length_177743_cov_62.323472	86320	87504	-	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTP	394	394	100.00	100.00	394	BAE77620.1	multidrug efflux MFS transporter EmrD	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04556	NODE_63_length_18047_cov_86.985921	4115	5104	+	nleB	type III secretion system effector arginine glycosyltransferase NleB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	329	329	100.00	100.00	329	AAL57565.1	type III secretion system effector arginine glycosyltransferase NleB	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04559	NODE_63_length_18047_cov_86.985921	7705	17376	+	efa1	lymphostatin Efa1/LifA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	3223	3223	100.00	100.00	3223	CAI43818.1	lymphostatin Efa1/LifA	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04566	NODE_64_length_17284_cov_194.034346	7284	14351	-	toxB	toxin B	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALP	2355	3166	73.31	99.91	2321	BAH24012.1	toxin B	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04660	NODE_69_length_14531_cov_74.831465	12722	13669	+	stxA1a	Shiga toxin Stx1a subunit A	plus	VIRULENCE	VIRULENCE	STX1	STX1A	BLASTP	315	315	100.00	99.68	315	AAA71893.1	Shiga toxin Stx1a subunit A	NF033658.1	Shiga toxin Stx1 subunit A
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04661	NODE_69_length_14531_cov_74.831465	13679	13948	+	stxB1a	Shiga toxin Stx1a subunit B	plus	VIRULENCE	VIRULENCE	STX1	STX1A	EXACTP	89	89	100.00	100.00	89	AAA71894.1	Shiga toxin Stx1a subunit B	NF033659.0	Shiga toxin Stx1 subunit B
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04681	NODE_71_length_12077_cov_186.357750	1343	4339	+	ehxA	enterohemolysin EhxA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	998	998	100.00	100.00	998	ADZ45128.1	enterohemolysin EhxA	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04702	NODE_73_length_11881_cov_54.179346	536	1522	+	nleC	type III secretion system effector zinc metalloprotease NleC	plus	VIRULENCE	VIRULENCE	NA	NA	INTERNAL_STOP	328	328	100.00	99.39	328	BAI25473.1	type III secretion system effector zinc metalloprotease NleC	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04715	NODE_74_length_11748_cov_80.634821	1989	3713	+	iucA	aerobactin synthase IucA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	574	576	100.00	98.61	576	EGI25746.1	aerobactin synthase IucA	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04716	NODE_74_length_11748_cov_80.634821	3714	4661	+	iucB	N(6)-hydroxylysine O-acetyltransferase IucB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	315	315	100.00	100.00	315	AAN82074.1	N(6)-hydroxylysine O-acetyltransferase IucB	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04717	NODE_74_length_11748_cov_80.634821	4661	6403	+	iucC	NIS family aerobactin synthetase IucC	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	580	580	100.00	100.00	580	AAN82073.1	NIS family aerobactin synthetase IucC	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04718	NODE_74_length_11748_cov_80.634821	6400	7737	+	iucD	NADPH-dependent L-lysine N(6)-monooxygenase IucD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	445	445	100.00	98.88	445	AAD44749.1	NADPH-dependent L-lysine N(6)-monooxygenase IucD	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04719	NODE_74_length_11748_cov_80.634821	7740	9938	+	iutA	ferric aerobactin receptor IutA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	732	731	100.00	99.18	731	AAN45165.2	ferric aerobactin receptor IutA	NA	NA
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_01311	NODE_7_length_161976_cov_47.911723	142972	143280	-	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	BLASTP	102	102	100.00	97.06	102	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04794	NODE_81_length_8505_cov_56.093023	4976	5791	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NF000295.1	sulfonamide-resistant dihydropteroate synthase Sul2
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04796	NODE_81_length_8505_cov_56.093023	6564	7400	-	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	278	278	100.00	100.00	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NF012171.0	APH(6)-I family aminoglycoside O-phosphotransferase
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04797	NODE_81_length_8505_cov_56.093023	7400	8203	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	267	267	100.00	100.00	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NF032895.1	aminoglycoside O-phosphotransferase APH(3'')-Ib
61-0776-EPEC-STEC-V4-col1B	FCFFCJEK_04870	NODE_90_length_6651_cov_76.027348	1288	2493	-	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	401	401	100.00	100.00	401	WP_001089072.1	tetracycline efflux MFS transporter Tet(B)	NF012190.1	tetracycline efflux MFS transporter Tet(B)
