Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
E110019	OHHNFNKD_01304	E110019_Contig_104	9069	11159	+	iha	bifunctional siderophore receptor/adhesin Iha	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	696	696	100.00	100.00	696	AAG55323.1	bifunctional siderophore receptor/adhesin Iha	NA	NA
E110019	OHHNFNKD_01309	E110019_Contig_104	14438	15016	-	terD	tellurium resistance membrane protein TerD	plus	STRESS	METAL	TELLURIUM	TELLURIUM	BLASTP	192	192	100.00	95.31	192	AAA98292.1	tellurium resistance membrane protein TerD	NA	NA
E110019	OHHNFNKD_01313	E110019_Contig_104	17763	18344	-	terZ	tellurium resistance-associated protein TerZ	plus	STRESS	METAL	TELLURIUM	TELLURIUM	BLASTP	193	193	100.00	98.96	193	AAA86846.1	tellurium resistance-associated protein TerZ	NA	NA
E110019	OHHNFNKD_01320	E110019_Contig_104	24917	25384	+	terW	tellurium resistance protein TerW	plus	STRESS	METAL	TELLURIUM	TELLURIUM	BLASTP	155	155	100.00	99.35	155	AAC44736.1	tellurium resistance protein TerW	NA	NA
E110019	OHHNFNKD_01453	E110019_Contig_106	56325	57746	-	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	473	473	100.00	90.27	473	ADD54679.1	type III secretion system effector EspX1	NA	NA
E110019	OHHNFNKD_01591	E110019_Contig_109	5384	8458	+	hlyA-alpha	RTX toxin hemolysin HlyA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1024	1024	100.00	98.73	1024	CAQ77251.1	RTX toxin hemolysin HlyA	NA	NA
E110019	OHHNFNKD_01687	E110019_Contig_110	35183	35665	-	espF	type III secretion system LEE effector EspF	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALP	160	248	63.71	96.20	158	AAG58814.1	type III secretion system LEE effector EspF	NF040807.1	type III secretion system LEE effector EspF
E110019	OHHNFNKD_01691	E110019_Contig_110	36704	37669	-	espB	type III secretion system LEE translocon pore-forming subunit EspB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	321	321	100.00	98.75	321	AAC38396.1	type III secretion system LEE translocon pore-forming subunit EspB	NA	NA
E110019	OHHNFNKD_01693	E110019_Contig_110	38842	39414	-	espA	type III secretion system LEE translocon filament protein EspA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	190	190	100.00	98.42	190	CAA12346.1	type III secretion system LEE translocon filament protein EspA	NA	NA
E110019	OHHNFNKD_01696	E110019_Contig_110	42094	44910	-	eae	intimin type zeta	plus	VIRULENCE	VIRULENCE	INTIMIN	ZETA	EXACTP	938	938	100.00	100.00	938	CAS06721.1	intimin type zeta	NF033639.1	intimin type alpha
E110019	OHHNFNKD_01698	E110019_Contig_110	45575	47224	-	tir	type III secretion system LEE translocated intimin receptor Tir	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	549	550	100.00	91.09	550	AAC38390.1	type III secretion system LEE translocated intimin receptor Tir	NF033637.1	type III secretion system LEE translocated intimin receptor Tir
E110019	OHHNFNKD_01939	E110019_Contig_114	26829	28061	+	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	410	410	100.00	97.56	410	AAC77293.1	multidrug efflux MFS transporter MdtM	NA	NA
E110019	OHHNFNKD_01991	E110019_Contig_115	16968	17861	+	tccP	Tir-cytoskeleton coupling protein TccP2	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	297	297	100.00	100.00	297	BAF52377.1	Tir-cytoskeleton coupling protein TccP2	NA	NA
E110019	OHHNFNKD_02679	E110019_Contig_122	73355	75553	-	iutA	ferric aerobactin receptor IutA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	732	731	100.00	99.18	731	AAN45165.2	ferric aerobactin receptor IutA	NA	NA
E110019	OHHNFNKD_02680	E110019_Contig_122	75556	76893	-	iucD	NADPH-dependent L-lysine N(6)-monooxygenase IucD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	445	445	100.00	98.88	445	AAD44749.1	NADPH-dependent L-lysine N(6)-monooxygenase IucD	NA	NA
E110019	OHHNFNKD_02681	E110019_Contig_122	76890	78632	-	iucC	NIS family aerobactin synthetase IucC	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	580	580	100.00	100.00	580	AAN82073.1	NIS family aerobactin synthetase IucC	NA	NA
E110019	OHHNFNKD_02682	E110019_Contig_122	78632	79579	-	iucB	N(6)-hydroxylysine O-acetyltransferase IucB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	315	315	100.00	100.00	315	AAN82074.1	N(6)-hydroxylysine O-acetyltransferase IucB	NA	NA
E110019	OHHNFNKD_02683	E110019_Contig_122	79580	81304	-	iucA	aerobactin synthase IucA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	574	576	100.00	98.61	576	EGI25746.1	aerobactin synthase IucA	NA	NA
E110019	OHHNFNKD_02882	E110019_Contig_124	99939	101180	+	nleA	type III secretion system effector NleA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	413	413	100.00	95.64	413	AET12008.1	type III secretion system effector NleA	NA	NA
E110019	OHHNFNKD_02918	E110019_Contig_125	30618	31802	+	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTP	394	394	100.00	100.00	394	BAE77620.1	multidrug efflux MFS transporter EmrD	NA	NA
