Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	cea	100.0	1569 / 1569	H1-006-0003-S-L_Contig_87	1580..3148	  Colicin E1	LAUC01000234
virulence_ecoli	cib	99.12	1708 / 1881	H1-006-0003-S-L_Contig_64	3204..4911	  Colicin ib	AY913944
virulence_ecoli	espP	98.75	2810 / 3903	H1-006-0003-S-L_Contig_95	17..2826	 Extracellular serine protease plasmid-encoded	AY258503
virulence_ecoli	f17A	100.0	546 / 546	H1-006-0003-S-L_Contig_32	1008..1553		L43373
virulence_ecoli	f17G	99.9	1032 / 1032	H1-006-0003-S-L_Contig_32	4897..5928		AF055312
virulence_ecoli	f17G	99.9	1032 / 1032	H1-006-0003-S-L_Contig_32	4897..5928		CP001162
virulence_ecoli	f17G	99.9	1032 / 1032	H1-006-0003-S-L_Contig_32	4897..5928		L43374
virulence_ecoli	fyuA	99.95	2022 / 2022	H1-006-0003-S-L_Contig_36	37043..39064	  Siderophore receptor	AHAX01000032
virulence_ecoli	gad	100.0	1151 / 1401	H1-006-0003-S-L_Contig_138	1..1151	  Glutamate decarboxylase	AP010953
virulence_ecoli	gad	100.0	1151 / 1401	H1-006-0003-S-L_Contig_138	1..1151	  Glutamate decarboxylase	CP002967
virulence_ecoli	gad	100.0	1151 / 1401	H1-006-0003-S-L_Contig_138	1..1151	  Glutamate decarboxylase	U00096
virulence_ecoli	hlyE	99.46	918 / 918	H1-006-0003-S-L_Contig_23	32236..33153	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	hra	93.72	796 / 792	H1-006-0003-S-L_Contig_29	47650..48440	  Heat-resistant agglutinin	CP028310
virulence_ecoli	hra	99.87	741 / 741	H1-006-0003-S-L_Contig_53	18542..19282	  Heat-resistant agglutinin	CP040456
virulence_ecoli	irp2	99.98	6108 / 6108	H1-006-0003-S-L_Contig_36	17748..23855	  High molecular weight protein 2 non-ribosomal peptide synthetase	NZ_NNYK01000037
virulence_ecoli	irp2	99.98	6108 / 6108	H1-006-0003-S-L_Contig_36	17748..23855	  High molecular weight protein 2 non-ribosomal peptide synthetase	QOEB01000023
virulence_ecoli	iss	100.0	294 / 294	H1-006-0003-S-L_Contig_4	193045..193338	  Increased serum survival	CP001665
virulence_ecoli	iucC	100.0	1743 / 1743	H1-006-0003-S-L_Contig_59	3891..5633	  Aerobactin synthetase	CBTO010000002
virulence_ecoli	iutA	100.0	2202 / 2202	H1-006-0003-S-L_Contig_59	334..2535	  Ferric aerobactin receptor	NC_020271
virulence_ecoli	lpfA	100.0	573 / 573	H1-006-0003-S-L_Contig_17	30200..30772	  Long polar fimbriae	AY646923
virulence_ecoli	mcmA	99.64	279 / 279	H1-006-0003-S-L_Contig_68	3057..3335	  Microcin M part of colicin H	AJ515251
virulence_ecoli	ompT	100.0	954 / 954	H1-006-0003-S-L_Contig_56	8044..8997	  Outer membrane protease (protein protease 7)	AMVC01000243
virulence_ecoli	papA_F11	99.3	573 / 570	H1-006-0003-S-L_Contig_53	3530..4102	  Major pilin subunit F11	AEZL02000036
virulence_ecoli	papC	99.92	2559 / 2559	H1-006-0003-S-L_Contig_53	4762..7320	  Outer membrane usher P fimbriae	AP017617
virulence_ecoli	papC	99.84	2511 / 2511	H1-006-0003-S-L_Contig_14	119835..122345	  Outer membrane usher P fimbriae	JNPN01000012
virulence_ecoli	sitA	100.0	915 / 915	H1-006-0003-S-L_Contig_59	14172..15086	  Iron transport protein	ADTK01000286
virulence_ecoli	terC	99.58	714 / 714	H1-006-0003-S-L_Contig_7	154045..154758	  Tellurium ion resistance protein	CP007491
virulence_ecoli	terC	100.0	966 / 966	H1-006-0003-S-L_Contig_2	149193..150158	  Tellurium ion resistance protein	MG591698
virulence_ecoli	traT	96.01	627 / 627	H1-006-0003-S-L_Contig_25	41539..42165	  Outer membrane protein complement resistance	AY686591
virulence_ecoli	traT	96.01	627 / 627	H1-006-0003-S-L_Contig_25	41539..42165	  Outer membrane protein complement resistance	MF156268
virulence_ecoli	traT	100.0	831 / 831	H1-006-0003-S-L_Contig_34	17040..17870	  Outer membrane protein complement resistance	NC_011964
