Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	afaD	99.77	435 / 435	NODE_35_length_32476_cov_34.678848	17377..17811	  Afimbrial adhesion	UGAK01000003
virulence_ecoli	air	97.33	3826 / 4605	NODE_17_length_110179_cov_29.099953	5..3830	 Enteroaggregative immunoglobulin repeat protein	CP003034
virulence_ecoli	chuA	100.0	1983 / 1983	NODE_8_length_198027_cov_28.149275	178622..180604	  Outer membrane hemin receptor	UGFM01000001
virulence_ecoli	eilA	99.0	1698 / 1698	NODE_22_length_89271_cov_31.713288	3566..5263	 Salmonella HilA homolog	FN554766
virulence_ecoli	hlyE	98.8	918 / 918	NODE_2_length_317747_cov_25.596408	50783..51700	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	iss	98.64	294 / 294	NODE_30_length_36853_cov_30.274880	28727..29020	  Increased serum survival	CP001665
virulence_ecoli	iss	98.64	294 / 294	NODE_30_length_36853_cov_30.274880	28727..29020	  Increased serum survival	CP001846
virulence_ecoli	kpsE	99.13	1149 / 1149	NODE_7_length_210577_cov_28.485724	5301..6449	  Capsule polysaccharide export inner-membrane protein	CP000243
virulence_ecoli	kpsM_K15	100.0	777 / 777	NODE_7_length_210577_cov_28.485724	21685..22461	  Polysialic acid transport protein; Group 3 capsule	AEZL02000036
virulence_ecoli	terC	99.02	714 / 714	NODE_9_length_195267_cov_28.500420	22812..23525	  Tellurium ion resistance protein	CP000468
virulence_ecoli	terC	98.44	959 / 966	NODE_7_length_210577_cov_28.485724	171489..172447	  Tellurium ion resistance protein	MG591698
