Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
61-0181-EPEC-V1-col3B	OOCCOODF_01705	NODE_12_length_95895_cov_50.044042	5200	8304	-	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	1034	1034	100.00	99.71	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
61-0181-EPEC-V1-col3B	OOCCOODF_01913	NODE_14_length_92552_cov_47.827759	31987	32889	+	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	EXACTP	300	300	100.00	100.00	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
61-0181-EPEC-V1-col3B	OOCCOODF_00300	NODE_2_length_298403_cov_47.545108	18345	19577	-	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	410	410	100.00	97.07	410	AAC77293.1	multidrug efflux MFS transporter MdtM	NA	NA
61-0181-EPEC-V1-col3B	OOCCOODF_00376	NODE_2_length_298403_cov_47.545108	95126	96547	-	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	473	473	100.00	91.97	473	ADD54679.1	type III secretion system effector EspX1	NA	NA
61-0181-EPEC-V1-col3B	OOCCOODF_03352	NODE_42_length_33332_cov_45.022914	2258	2590	-	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTP	110	110	100.00	96.36	110	CAA77936.1	multidrug efflux SMR transporter EmrE	NF000336.1	multidrug efflux SMR transporter EmrE
61-0181-EPEC-V1-col3B	OOCCOODF_03506	NODE_47_length_28322_cov_57.205629	416	841	-	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTP	141	141	100.00	94.33	141	AAA21096.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase
61-0181-EPEC-V1-col3B	OOCCOODF_03508	NODE_47_length_28322_cov_57.205629	2197	2550	-	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	BLASTP	117	117	100.00	99.15	117	BAE77793.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
61-0181-EPEC-V1-col3B	OOCCOODF_03752	NODE_56_length_25222_cov_56.690117	5080	9336	+	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1418	1416	100.00	94.14	1416	ABE05822.1	intimin-like adhesin FdeC	NA	NA
61-0181-EPEC-V1-col3B	OOCCOODF_03944	NODE_64_length_19918_cov_47.415251	17331	18515	+	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTP	394	394	100.00	100.00	394	BAE77620.1	multidrug efflux MFS transporter EmrD	NA	NA
61-0181-EPEC-V1-col3B	OOCCOODF_03966	NODE_66_length_18226_cov_41.983691	181	474	-	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	97	97	100.00	100.00	97	BAG76115.1	increased serum survival lipoprotein Iss	NA	NA
