Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	ORF3	99.9	1029 / 1029	NODE_35_length_30365_cov_17.042657	29104..30132	 Isoprenoid Biosynthesis	CU928159
virulence_ecoli	ORF4	99.81	540 / 540	NODE_35_length_30365_cov_17.042657	28561..29100	 Putative isopentenyl-diphosphate delta-isomerase	AFRH01000026
virulence_ecoli	aap	100.0	351 / 351	NODE_35_length_30365_cov_17.042657	22580..22930	 Dispersin, antiaggregation protein	Z32523
virulence_ecoli	aar	100.0	201 / 201	NODE_35_length_30365_cov_17.042657	21649..21849	 AggR-activated regulator	SSI_AA784
virulence_ecoli	aatA	99.84	1239 / 1239	NODE_35_length_30365_cov_17.042657	14988..16226	 Dispersin transporter protein	CU928159
virulence_ecoli	afaD	100.0	396 / 396	NODE_45_length_8311_cov_25.766578	1157..1552	  Afimbrial adhesion	JNQU01000050
virulence_ecoli	agg3C	100.0	2550 / 2550	NODE_45_length_8311_cov_25.766578	1611..4160	 Usher, AAF/III assembly unit	TD000189-6
virulence_ecoli	agg3D	99.73	753 / 753	NODE_45_length_8311_cov_25.766578	4215..4967	 Chaperone, AAF/III assembly unit	CU928159
virulence_ecoli	agg5A	99.81	522 / 522	NODE_45_length_8311_cov_25.766578	461..982		AB571098
virulence_ecoli	agg5A	99.81	522 / 522	NODE_45_length_8311_cov_25.766578	461..982		SSI_AA796
virulence_ecoli	aggR	100.0	798 / 798	NODE_35_length_30365_cov_17.042657	23771..24568	 AraC transcriptional activator	55989
virulence_ecoli	air	91.77	4606 / 4605	NODE_16_length_119855_cov_33.695595	113644..118249	 Enteroaggregative immunoglobulin repeat protein	CP003034
virulence_ecoli	chuA	98.79	1983 / 1983	NODE_8_length_199167_cov_31.532372	17434..19416	  Outer membrane hemin receptor	UCZM01000007
virulence_ecoli	eilA	94.88	1698 / 1698	NODE_30_length_37711_cov_44.149306	2683..4380	 Salmonella HilA homolog	CP000970
virulence_ecoli	fyuA	100.0	2022 / 2022	NODE_6_length_265984_cov_29.481567	195545..197566	  Siderophore receptor	AHAW01000033
virulence_ecoli	hlyE	97.6	918 / 918	NODE_14_length_132091_cov_29.396852	5754..6671	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	irp2	100.0	6108 / 6108	NODE_6_length_265984_cov_29.481567	176250..182357	  High molecular weight protein 2 non-ribosomal peptide synthetase	NZ_CP027520
virulence_ecoli	iss	100.0	294 / 294	NODE_9_length_189029_cov_31.216806	182517..182810	  Increased serum survival	CP001846
virulence_ecoli	terC	98.04	714 / 714	NODE_21_length_79401_cov_40.202650	50209..50922	  Tellurium ion resistance protein	CP007491
virulence_ecoli	terC	94.62	966 / 966	NODE_2_length_446208_cov_31.525211	187987..188952	  Tellurium ion resistance protein	MG591698
virulence_ecoli	traT	99.86	735 / 735	NODE_26_length_47467_cov_13.919266	22023..22757	  Outer membrane protein complement resistance	NZ_UIKU01000027
