Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
61-0523-EPEC-V5-col13A	NBNJMBGK_02278	NODE_13_length_131724_cov_27.840118	44279	45463	-	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTP	394	394	100.00	100.00	394	BAE77620.1	multidrug efflux MFS transporter EmrD	NA	NA
61-0523-EPEC-V5-col13A	NBNJMBGK_02696	NODE_17_length_113232_cov_28.860492	3241	3507	+	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	EXACTP	88	88	100.00	100.00	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
61-0523-EPEC-V5-col13A	NBNJMBGK_02837	NODE_18_length_92406_cov_28.161943	28271	32527	-	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1418	1416	100.00	94.07	1416	ABE05822.1	intimin-like adhesin FdeC	NA	NA
61-0523-EPEC-V5-col13A	NBNJMBGK_02974	NODE_19_length_91002_cov_28.109211	75325	75633	-	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	EXACTP	102	102	100.00	100.00	102	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
61-0523-EPEC-V5-col13A	NBNJMBGK_00149	NODE_1_length_315645_cov_27.361490	164246	165379	-	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	377	377	100.00	99.73	377	AAC77110.1	BlaEC family class C beta-lactamase	NF000185.2	BlaEC family class C beta-lactamase
61-0523-EPEC-V5-col13A	NBNJMBGK_03502	NODE_26_length_67841_cov_26.063957	58759	59661	-	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	EXACTP	300	300	100.00	100.00	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
61-0523-EPEC-V5-col13A	NBNJMBGK_00293	NODE_2_length_290499_cov_27.314935	5200	8304	-	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTP	1034	1034	100.00	100.00	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
61-0523-EPEC-V5-col13A	NBNJMBGK_03706	NODE_30_length_55615_cov_28.466401	20036	21295	+	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	419	410	98.29	98.01	403	AAC77293.1	multidrug efflux MFS transporter MdtM	NA	NA
61-0523-EPEC-V5-col13A	NBNJMBGK_03851	NODE_33_length_47449_cov_63.796525	6537	7742	-	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	401	401	100.00	100.00	401	WP_001089068.1	tetracycline efflux MFS transporter Tet(B)	NF012190.1	tetracycline efflux MFS transporter Tet(B)
61-0523-EPEC-V5-col13A	NBNJMBGK_03870	NODE_33_length_47449_cov_63.796525	23489	24325	-	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	278	278	100.00	100.00	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NF012171.0	APH(6)-I family aminoglycoside O-phosphotransferase
61-0523-EPEC-V5-col13A	NBNJMBGK_03871	NODE_33_length_47449_cov_63.796525	24325	25128	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	267	267	100.00	100.00	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NF032895.1	aminoglycoside O-phosphotransferase APH(3'')-Ib
61-0523-EPEC-V5-col13A	NBNJMBGK_03872	NODE_33_length_47449_cov_63.796525	25189	26004	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NF000295.1	sulfonamide-resistant dihydropteroate synthase Sul2
61-0523-EPEC-V5-col13A	NBNJMBGK_03876	NODE_33_length_47449_cov_63.796525	27507	28367	-	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NF000531.2	TEM family class A beta-lactamase
61-0523-EPEC-V5-col13A	NBNJMBGK_03938	NODE_34_length_46353_cov_31.125270	32903	33235	+	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTP	110	110	100.00	99.09	110	CAA77936.1	multidrug efflux SMR transporter EmrE	NF000336.1	multidrug efflux SMR transporter EmrE
61-0523-EPEC-V5-col13A	NBNJMBGK_03951	NODE_34_length_46353_cov_31.125270	41989	42282	-	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	97	97	100.00	100.00	97	CAR12622.1	increased serum survival lipoprotein Iss	NA	NA
61-0523-EPEC-V5-col13A	NBNJMBGK_03991	NODE_35_length_43887_cov_29.332755	41921	42769	-	cif	type III secretion system effector Cif	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	282	282	100.00	100.00	282	AAQ07241.1	type III secretion system effector Cif	NA	NA
61-0523-EPEC-V5-col13A	NBNJMBGK_04014	NODE_36_length_42700_cov_31.806771	25948	26301	+	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	EXACTP	117	117	100.00	100.00	117	BAE77793.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
61-0523-EPEC-V5-col13A	NBNJMBGK_04016	NODE_36_length_42700_cov_31.806771	27657	28082	+	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTP	141	141	100.00	94.33	141	AAA21096.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase
61-0523-EPEC-V5-col13A	NBNJMBGK_04204	NODE_41_length_33121_cov_35.964956	2434	3396	-	espB	type III secretion system LEE translocon pore-forming subunit EspB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	320	321	100.00	91.90	321	AAC38396.1	type III secretion system LEE translocon pore-forming subunit EspB	NA	NA
61-0523-EPEC-V5-col13A	NBNJMBGK_04206	NODE_41_length_33121_cov_35.964956	4572	5150	-	espA	type III secretion system LEE translocon filament protein EspA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	192	192	100.00	100.00	192	BAI37525.1	type III secretion system LEE translocon filament protein EspA	NA	NA
61-0523-EPEC-V5-col13A	NBNJMBGK_04209	NODE_41_length_33121_cov_35.964956	7915	10722	-	eae	intimin type theta	plus	VIRULENCE	VIRULENCE	INTIMIN	THETA	BLASTP	935	935	100.00	99.14	935	CAS06720.1	intimin type theta	NF033627.3	intimin
61-0523-EPEC-V5-col13A	NBNJMBGK_04211	NODE_41_length_33121_cov_35.964956	11384	13039	-	tir	type III secretion system LEE translocated intimin receptor Tir	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	551	551	99.82	99.82	550	AAY25395.1	type III secretion system LEE translocated intimin receptor Tir	NF033637.1	type III secretion system LEE translocated intimin receptor Tir
61-0523-EPEC-V5-col13A	NBNJMBGK_04295	NODE_44_length_15800_cov_35.129237	13661	13993	-	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTP	110	110	100.00	99.09	110	CAA77936.1	multidrug efflux SMR transporter EmrE	NF000336.1	multidrug efflux SMR transporter EmrE
61-0523-EPEC-V5-col13A	NA	NODE_4_length_210239_cov_26.551603	5558	6709	-	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALX	384	473	81.18	90.36	384	ADD54679.1	type III secretion system effector EspX1	NA	NA
61-0523-EPEC-V5-col13A	NBNJMBGK_04370	NODE_52_length_8412_cov_73.458668	428	4522	+	sepA	serine protease autotransporter toxin SepA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1364	1363	100.00	95.60	1364	AAU01878.1	serine protease autotransporter toxin SepA	NA	NA
61-0523-EPEC-V5-col13A	NBNJMBGK_04380	NODE_53_length_7929_cov_40.727331	5265	6254	-	nleB	type III secretion system effector arginine glycosyltransferase NleB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	329	329	100.00	100.00	329	CAX18553.1	type III secretion system effector arginine glycosyltransferase NleB	NA	NA
61-0523-EPEC-V5-col13A	NBNJMBGK_01810	NODE_9_length_168466_cov_27.954765	164481	165461	-	nleB2	type III secretion system effector arginine glycosyltransferase NleB2	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	326	326	100.00	100.00	326	CAS08589.1	type III secretion system effector arginine glycosyltransferase NleB2	NA	NA
