Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	celb	100.0	141 / 141	921A_Contig_63	5257..5397	  Endonuclease colicin E2	CU928147
virulence_ecoli	chuA	99.34	1983 / 1983	921A_Contig_36	17245..19227	  Outer membrane hemin receptor	UINR01000007
virulence_ecoli	iha	100.0	2091 / 2091	921A_Contig_2	194042..196132	  Adherence protein	CU928162
virulence_ecoli	ireA	99.8	2049 / 2049	921A_Contig_73	560..2608	  Siderophore receptor	AE014075
virulence_ecoli	iucC	100.0	1743 / 1743	921A_Contig_2	203122..204864	  Aerobactin synthetase	CU928162
virulence_ecoli	iutA	100.0	2199 / 2199	921A_Contig_2	199587..201785	  Ferric aerobactin receptor	UGCV01000008
virulence_ecoli	lpfA	99.83	573 / 573	921A_Contig_30	38139..38711	  Long polar fimbriae	CP000970
virulence_ecoli	ompT	99.79	954 / 954	921A_Contig_57	8669..9622	  Outer membrane protease (protein protease 7)	UDBU01000030
virulence_ecoli	sigA	99.92	3858 / 3858	921A_Contig_2	183925..187782	 Shigella IgA-like protease homologue	AE005674
virulence_ecoli	sigA	99.92	3858 / 3858	921A_Contig_2	183925..187782	 Shigella IgA-like protease homologue	CP000038
virulence_ecoli	terC	98.88	714 / 714	921A_Contig_2	44229..44942	  Tellurium ion resistance protein	CP000468
virulence_ecoli	terC	97.71	959 / 966	921A_Contig_26	12766..13724	  Tellurium ion resistance protein	MG591698
virulence_ecoli	traT	99.68	627 / 627	921A_Contig_34	35151..35777	  Outer membrane protein complement resistance	AY686591
virulence_ecoli	usp	99.52	1041 / 1041	921A_Contig_10	103569..104609	  Uropathogenic specific protein	AB056440
