Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	ORF3	99.9	1029 / 1029	NODE_32_length_30488_cov_60.331327	29104..30132	 Isoprenoid Biosynthesis	CU928159
virulence_ecoli	ORF4	99.81	540 / 540	NODE_32_length_30488_cov_60.331327	28561..29100	 Putative isopentenyl-diphosphate delta-isomerase	AFRH01000026
virulence_ecoli	aap	100.0	351 / 351	NODE_32_length_30488_cov_60.331327	22580..22930	 Dispersin, antiaggregation protein	Z32523
virulence_ecoli	aar	100.0	201 / 201	NODE_32_length_30488_cov_60.331327	21649..21849	 AggR-activated regulator	SSI_AA784
virulence_ecoli	aatA	99.84	1239 / 1239	NODE_32_length_30488_cov_60.331327	14988..16226	 Dispersin transporter protein	CU928159
virulence_ecoli	afaD	100.0	396 / 396	NODE_53_length_5276_cov_70.476245	3725..4120	  Afimbrial adhesion	JNQU01000050
virulence_ecoli	agg3C	100.0	2550 / 2550	NODE_53_length_5276_cov_70.476245	1117..3666	 Usher, AAF/III assembly unit	TD000189-6
virulence_ecoli	agg3D	99.73	753 / 753	NODE_53_length_5276_cov_70.476245	310..1062	 Chaperone, AAF/III assembly unit	CU928159
virulence_ecoli	agg5A	99.81	522 / 522	NODE_53_length_5276_cov_70.476245	4295..4816		AB571098
virulence_ecoli	agg5A	99.81	522 / 522	NODE_53_length_5276_cov_70.476245	4295..4816		SSI_AA796
virulence_ecoli	aggR	100.0	798 / 798	NODE_32_length_30488_cov_60.331327	23771..24568	 AraC transcriptional activator	55989
virulence_ecoli	air	91.77	4606 / 4605	NODE_37_length_23257_cov_25.532269	17046..21651	 Enteroaggregative immunoglobulin repeat protein	CP003034
virulence_ecoli	chuA	98.79	1983 / 1983	NODE_6_length_232432_cov_26.423765	179752..181734	  Outer membrane hemin receptor	UCZM01000007
virulence_ecoli	eilA	94.88	1698 / 1698	NODE_41_length_16240_cov_38.734765	11861..13558	 Salmonella HilA homolog	CP000970
virulence_ecoli	fyuA	100.0	2022 / 2022	NODE_16_length_118401_cov_26.619536	63434..65455	  Siderophore receptor	AHAW01000033
virulence_ecoli	gad	97.43	1401 / 1401	NODE_6_length_232432_cov_26.423765	198604..200004	  Glutamate decarboxylase	CP003034
virulence_ecoli	gad	97.43	1401 / 1401	NODE_6_length_232432_cov_26.423765	198604..200004	  Glutamate decarboxylase	CU928163
virulence_ecoli	hlyE	97.6	918 / 918	NODE_14_length_132369_cov_24.232728	125699..126616	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	irp2	100.0	6108 / 6108	NODE_16_length_118401_cov_26.619536	44139..50246	  High molecular weight protein 2 non-ribosomal peptide synthetase	NZ_CP027520
virulence_ecoli	iss	100.0	294 / 294	NODE_40_length_19919_cov_23.504838	13407..13700	  Increased serum survival	CP001846
virulence_ecoli	terC	98.04	714 / 714	NODE_22_length_79196_cov_31.160745	49891..50604	  Tellurium ion resistance protein	CP007491
virulence_ecoli	terC	94.62	966 / 966	NODE_2_length_445907_cov_25.749416	257257..258222	  Tellurium ion resistance protein	MG591698
virulence_ecoli	traT	99.86	735 / 735	NODE_25_length_56494_cov_46.933194	30062..30796	  Outer membrane protein complement resistance	NZ_UIKU01000027
