Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	cba	94.7	943 / 1536	NODE_89_length_7401_cov_1166.733479	171..1113	  Colicin B	FJ664721
virulence_ecoli	cif	99.76	851 / 849	NODE_31_length_56960_cov_30.976584	54184..55034	  Type III secreted effector	AF497476
virulence_ecoli	eae	100.0	2847 / 2847	NODE_43_length_40901_cov_45.889158	12021..14867	  Intimin	AJ303141
virulence_ecoli	efa1	99.99	9672 / 9672	NODE_63_length_19156_cov_48.692332	8814..18485	  EHEC factor for adherence	AJ303141
virulence_ecoli	ehxA	100.0	2997 / 2997	NODE_72_length_12068_cov_166.769160	7739..10735	 Enterohaemolysin	HM138194
virulence_ecoli	espA	100.0	579 / 579	NODE_43_length_40901_cov_45.889158	8693..9271	  Type III secretions system	AJ303141
virulence_ecoli	espB	100.0	945 / 945	NODE_43_length_40901_cov_45.889158	6573..7517	  Secreted protein B	AP010958
virulence_ecoli	espF	99.89	885 / 885	NODE_43_length_40901_cov_45.889158	4517..5401	  Type III secretion system	AP010958
virulence_ecoli	espJ	99.24	654 / 654	NODE_41_length_42194_cov_33.114989	39123..39776	  Prophage-encoded type III secretion system effector	AB303060
virulence_ecoli	espP	100.0	3903 / 3903	NODE_100_length_5146_cov_158.102387	555..4457	 Extracellular serine protease plasmid-encoded	GQ259888
virulence_ecoli	hlyE	99.13	918 / 918	NODE_10_length_135590_cov_32.950831	39472..40388	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	iha	100.0	2091 / 2091	NODE_40_length_42683_cov_44.876050	33175..35265	  Adherence protein	AE005174
virulence_ecoli	iss	98.98	294 / 294	NODE_77_length_10724_cov_35.573119	6848..7141	  Increased serum survival	CP001509
virulence_ecoli	iucC	100.0	1743 / 1743	NODE_65_length_17090_cov_44.183624	10688..12430	  Aerobactin synthetase	AAJW02000016
virulence_ecoli	iutA	100.0	2199 / 2199	NODE_65_length_17090_cov_44.183624	7153..9351	  Ferric aerobactin receptor	AAJW02000016
virulence_ecoli	katP	100.0	2211 / 2211	NODE_125_length_2961_cov_137.176144	545..2755	  Plasmid-encoded catalase peroxidase	AB011549
virulence_ecoli	nleA	100.0	1239 / 1239	NODE_31_length_56960_cov_30.976584	51508..52746	  Non-LEE encoded effector A	AB303062
virulence_ecoli	nleB	100.0	990 / 990	NODE_63_length_19156_cov_48.692332	5224..6213	  Non-LEE encoded effector B	AF453441
virulence_ecoli	nleC	99.8	987 / 987	NODE_74_length_11810_cov_31.410381	10360..11346	  Non-LEE encoded effector C	AP010953
virulence_ecoli	ompT	100.0	954 / 954	NODE_61_length_21133_cov_35.865739	7993..8946	  Outer membrane protease (protein protease 7)	CYAG01000051
virulence_ecoli	stx1A	100.0	948 / 948	NODE_68_length_15929_cov_37.257507	14215..15162	  Shiga toxin 1, subunit A, variant a	AF461168
virulence_ecoli	stx1B	100.0	270 / 270	NODE_68_length_15929_cov_37.257507	15172..15441	  Shiga toxin 1, subunit B, variant a	AM230663
virulence_ecoli	tccP	99.8	502 / 753	NODE_55_length_28308_cov_31.000921	655..1156	  Tir-cytoskeleton coupling protein	AP010953
virulence_ecoli	terC	100.0	1041 / 1041	NODE_40_length_42683_cov_44.876050	29541..30581	  Tellurium ion resistance protein	CP006262
virulence_ecoli	terC	100.0	714 / 714	NODE_17_length_91390_cov_34.742293	50953..51666	  Tellurium ion resistance protein	CP007491
virulence_ecoli	terC	99.79	966 / 966	NODE_8_length_161025_cov_32.873972	65134..66099	  Tellurium ion resistance protein	MG591698
virulence_ecoli	tir	100.0	1617 / 1617	NODE_43_length_40901_cov_45.889158	15531..17147	  Translocated intimin receptor protein	AJ303141
virulence_ecoli	toxB	99.98	9501 / 9501	NODE_64_length_18290_cov_171.316258	4852..14351	  Toxin B	AB456530
virulence_ecoli	traT	100.0	423 / 423	NODE_40_length_42683_cov_44.876050	774..1196	  Outer membrane protein complement resistance	AKKX01000148
virulence_ecoli	traT	100.0	129 / 129	NODE_40_length_42683_cov_44.876050	10999..11127	  Outer membrane protein complement resistance	AMTE01000156
stx	stx1	100.0	1227 / 1227	NODE_68_length_15929_cov_37.257507	14215..15441	O157 FLY16, variant a	AF461168
