Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	capU	99.82	1089 / 1089	NODE_5_length_36732_cov_9.978911	31307..32395	 Hexosyltransferase homolog	CU928145
virulence_ecoli	fyuA	100.0	2022 / 2022	NODE_152_length_7656_cov_7.249769	4105..6126	  Siderophore receptor	UGBN01000001
virulence_ecoli	hlyE	98.04	918 / 918	NODE_103_length_9817_cov_16.767351	839..1744	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	iha	99.95	2091 / 2091	NODE_20_length_21539_cov_8.340369	17562..19652	  Adherence protein	CP003289
virulence_ecoli	irp2	99.89	6108 / 6108	NODE_15_length_25274_cov_6.419812	10064..16171	  High molecular weight protein 2 non-ribosomal peptide synthetase	NZ_PXIF01000061
virulence_ecoli	irp2	99.89	6108 / 6108	NODE_15_length_25274_cov_6.419812	10064..16171	  High molecular weight protein 2 non-ribosomal peptide synthetase	NZ_UGEC01000002
virulence_ecoli	iss	100.0	294 / 294	NODE_503_length_2167_cov_7.061722	1677..1970	  Increased serum survival	CP001665
virulence_ecoli	lpfA	99.83	573 / 573	NODE_202_length_6193_cov_15.737901	830..1402	  Long polar fimbriae	AP010953
virulence_ecoli	lpfA	99.83	573 / 573	NODE_202_length_6193_cov_15.737901	830..1402	  Long polar fimbriae	CP002185
virulence_ecoli	mchF	99.95	2103 / 2103	NODE_20_length_21539_cov_8.340369	3227..5329	  ABC transporter protein MchF	CP003301
virulence_ecoli	sigA	97.98	3858 / 3858	NODE_10_length_29929_cov_7.510485	4793..8650	 Shigella IgA-like protease homologue	AE005674
virulence_ecoli	sigA	97.98	3858 / 3858	NODE_10_length_29929_cov_7.510485	4793..8650	 Shigella IgA-like protease homologue	CP000038
virulence_ecoli	sitA	100.0	915 / 915	NODE_95_length_10090_cov_11.244083	2929..3843	  Iron transport protein	HG977190
virulence_ecoli	terC	99.02	714 / 714	NODE_129_length_8764_cov_17.716818	195..908	  Tellurium ion resistance protein	CP007491
virulence_ecoli	terC	100.0	1041 / 1041	NODE_6_length_34243_cov_6.671223	21326..22366	  Tellurium ion resistance protein	UINO01000028
