Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	astA	94.87	117 / 117	B7A_Contig_5	12426..12542	 EAST-1 heat-stable toxin	AB042002
virulence_ecoli	gad	100.0	1401 / 1401	B7A_Contig_1	682256..683656	  Glutamate decarboxylase	AP010953
virulence_ecoli	gad	100.0	1401 / 1401	B7A_Contig_1	3349116..3350516	  Glutamate decarboxylase	AP010953
virulence_ecoli	hlyE	99.02	918 / 918	B7A_Contig_1	368062..368978	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	iss	100.0	294 / 294	B7A_Contig_1	145870..146163	  Increased serum survival	CP001665
virulence_ecoli	lpfA	100.0	573 / 573	B7A_Contig_1	3075967..3076539	  Long polar fimbriae	CP002185
virulence_ecoli	ltcA	99.75	810 / 810	B7A_Contig_4	21605..22414	  Heat-labile enterotoxin A subunit	CP000795
virulence_ecoli	papC	96.62	2512 / 2511	B7A_Contig_3	25045..27554	  Outer membrane usher P fimbriae	MG692627
virulence_ecoli	sta1	99.54	219 / 219	B7A_Contig_4	18225..18443	  Heat-stabile enterotoxin ST-Ia	AJ555214
virulence_ecoli	terC	100.0	714 / 714	B7A_Contig_1	4080737..4081450	  Tellurium ion resistance protein	CP007491
virulence_ecoli	terC	99.9	966 / 966	B7A_Contig_1	3767071..3768036	  Tellurium ion resistance protein	MG591698
virulence_ecoli	traT	100.0	777 / 777	B7A_Contig_4	45683..46459	  Outer membrane protein complement resistance	AAJT02000054
virulence_ecoli	traT	100.0	627 / 627	B7A_Contig_2	17537..18163	  Outer membrane protein complement resistance	MF156268
