Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	eae	99.86	2829 / 2829	NODE_28_length_107802_cov_10.838654	9685..12513	  Intimin	EF204930
virulence_ecoli	espA	92.57	579 / 579	NODE_28_length_107802_cov_10.838654	6362..6940	  Type III secretions system	AJ633130
virulence_ecoli	espF	95.83	624 / 624	NODE_28_length_107802_cov_10.838654	2488..3111	  Type III secretion system	AJ633130
virulence_ecoli	espI	99.32	4093 / 4092	NODE_168_length_5503_cov_13.102470	996..5088	  serine protease autotransporters of Enterobacteriaceae (SPATE)	AP010958
virulence_ecoli	etpD	100.0	1761 / 1761	NODE_87_length_31984_cov_17.910803	6876..8636	  Type II secretion protein	CP003111
virulence_ecoli	fyuA	100.0	2022 / 2022	NODE_48_length_74135_cov_8.419887	62672..64693	  Siderophore receptor	ADTR01000532
virulence_ecoli	hlyE	97.71	919 / 918	NODE_51_length_63498_cov_8.567462	55670..56576	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	iha	99.95	2091 / 2091	NODE_149_length_8387_cov_11.863538	972..3062	  Adherence protein	AE005174
virulence_ecoli	irp2	100.0	6108 / 6108	NODE_48_length_74135_cov_8.419887	43376..49483	  High molecular weight protein 2 non-ribosomal peptide synthetase	NZ_PQJF01000011
virulence_ecoli	iss	99.66	294 / 294	NODE_123_length_16299_cov_9.273209	1655..1948	  Increased serum survival	CP001846
virulence_ecoli	iucC	100.0	1743 / 1743	NODE_138_length_10555_cov_11.348922	3825..5567	  Aerobactin synthetase	AMUG01000109
virulence_ecoli	iutA	100.0	2199 / 2199	NODE_138_length_10555_cov_11.348922	290..2488	  Ferric aerobactin receptor	AAJW02000016
virulence_ecoli	iutA	99.04	2190 / 2190	NODE_79_length_35482_cov_20.288829	19706..21895	  Ferric aerobactin receptor	FLXF01000001
virulence_ecoli	nleA	96.32	815 / 1326	NODE_154_length_7857_cov_10.627378	6024..6832	  Non-LEE encoded effector A	GQ845116
virulence_ecoli	nleB	96.13	981 / 981	NODE_206_length_2856_cov_13.396186	352..1332	  Non-LEE encoded effector B	CP001846
virulence_ecoli	terC	99.3	714 / 714	NODE_12_length_168807_cov_11.110206	145284..145997	  Tellurium ion resistance protein	CP007491
virulence_ecoli	terC	99.9	959 / 966	NODE_57_length_55538_cov_9.446855	30971..31929	  Tellurium ion resistance protein	MG591698
virulence_ecoli	tir	99.65	1722 / 1719	NODE_28_length_107802_cov_10.838654	13184..14905	  Translocated intimin receptor protein	AB288104
virulence_ecoli	traT	96.99	732 / 732	NODE_37_length_85899_cov_35.007923	57598..58329	  Outer membrane protein complement resistance	NZ_KZ984345
