Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
SMS-3-5	EBPLADLD_00316	SMS-3-5_Contig_1	337036	341289	+	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1417	1416	99.93	92.16	1415	ABE05822.1	intimin-like adhesin FdeC	NA	NA
SMS-3-5	EBPLADLD_01540	SMS-3-5_Contig_1	1590806	1591078	-	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	PARTIALP	90	102	88.24	97.78	90	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
SMS-3-5	EBPLADLD_01912	SMS-3-5_Contig_1	2005076	2005342	-	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	BLASTP	88	88	100.00	97.73	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
SMS-3-5	EBPLADLD_02561	SMS-3-5_Contig_1	2729183	2731357	-	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	HMM	724	730	100.00	74.15	731	AAL21411.1	intimin-like inverse autotransporter SinH	NF033423.1	intimin-like inverse autotransporter SinH
SMS-3-5	EBPLADLD_03012	SMS-3-5_Contig_1	3214175	3216262	-	iha	bifunctional siderophore receptor/adhesin Iha	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	695	695	100.00	100.00	695	ACB20136.1	bifunctional siderophore receptor/adhesin Iha	NA	NA
SMS-3-5	EBPLADLD_03061	SMS-3-5_Contig_1	3257233	3259434	-	iutA	ferric aerobactin receptor IutA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	733	731	99.73	89.44	729	AAN45165.2	ferric aerobactin receptor IutA	NA	NA
SMS-3-5	EBPLADLD_03062	SMS-3-5_Contig_1	3259516	3260793	-	iucD	NADPH-dependent L-lysine N(6)-monooxygenase IucD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	425	445	95.51	97.41	425	AAD44749.1	NADPH-dependent L-lysine N(6)-monooxygenase IucD	NA	NA
SMS-3-5	EBPLADLD_03063	SMS-3-5_Contig_1	3260790	3262532	-	iucC	NIS family aerobactin synthetase IucC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	580	580	100.00	97.24	580	AAN82073.1	NIS family aerobactin synthetase IucC	NA	NA
SMS-3-5	EBPLADLD_03064	SMS-3-5_Contig_1	3262532	3263479	-	iucB	N(6)-hydroxylysine O-acetyltransferase IucB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	315	315	100.00	95.87	315	AAN82074.1	N(6)-hydroxylysine O-acetyltransferase IucB	NA	NA
SMS-3-5	EBPLADLD_03065	SMS-3-5_Contig_1	3263480	3265204	-	iucA	aerobactin synthase IucA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	574	576	100.00	95.31	576	EGI25746.1	aerobactin synthase IucA	NA	NA
