Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
61-0523-EAEC-V4A	DEPPMNEF_04523	NODE_112_length_6473_cov_28.606160	4611	5786	+	senB	enterotoxin production-related protein TieB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	391	391	100.00	100.00	391	AAZ89288.1	enterotoxin production-related protein TieB	NA	NA
61-0523-EAEC-V4A	DEPPMNEF_04525	NODE_113_length_6369_cov_28.755086	713	4570	-	sigA	serine protease autotransporter toxin SigA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1285	1285	100.00	99.92	1285	AAN44449.1	serine protease autotransporter toxin SigA	NA	NA
61-0523-EAEC-V4A	DEPPMNEF_04549	NODE_116_length_5884_cov_24.876528	2576	3775	+	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	399	399	100.00	100.00	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NF012193.0	tetracycline efflux MFS transporter Tet(A)
61-0523-EAEC-V4A	DEPPMNEF_04640	NODE_136_length_3104_cov_24.972580	1428	1994	+	papA	P fimbria major subunit PapA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	188	185	100.00	86.24	189	CAA43562.1	P fimbria major subunit PapA	NA	NA
61-0523-EAEC-V4A	DEPPMNEF_04641	NODE_136_length_3104_cov_24.972580	2144	2644	+	papH	P fimbrial minor subunit PapH	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALP	166	195	85.13	98.80	166	CAA43563.1	P fimbrial minor subunit PapH	NA	NA
61-0523-EAEC-V4A	DEPPMNEF_02733	NODE_29_length_56443_cov_20.510538	48140	51244	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTP	1034	1034	100.00	100.00	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
61-0523-EAEC-V4A	DEPPMNEF_00252	NODE_2_length_177040_cov_21.540401	86872	88056	-	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTP	394	394	100.00	100.00	394	BAE77620.1	multidrug efflux MFS transporter EmrD	NA	NA
61-0523-EAEC-V4A	DEPPMNEF_02808	NODE_31_length_51726_cov_16.780654	41397	43199	+	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	600	600	100.00	99.33	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
61-0523-EAEC-V4A	DEPPMNEF_02809	NODE_31_length_51726_cov_16.780654	43186	44988	+	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	600	600	100.00	99.67	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
61-0523-EAEC-V4A	DEPPMNEF_02875	NODE_33_length_47538_cov_20.021533	15244	16377	-	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTP	377	377	100.00	100.00	377	AAC77110.1	BlaEC family class C beta-lactamase	NF000185.2	BlaEC family class C beta-lactamase
61-0523-EAEC-V4A	DEPPMNEF_03373	NODE_45_length_35910_cov_20.967321	27987	32243	-	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1418	1416	100.00	94.07	1416	ABE05822.1	intimin-like adhesin FdeC	NA	NA
61-0523-EAEC-V4A	DEPPMNEF_03503	NODE_50_length_28819_cov_20.180920	8363	9265	-	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	EXACTP	300	300	100.00	100.00	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
61-0523-EAEC-V4A	DEPPMNEF_03723	NODE_58_length_25610_cov_22.777895	23126	23479	+	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	EXACTP	117	117	100.00	100.00	117	BAE77793.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
61-0523-EAEC-V4A	DEPPMNEF_03725	NODE_58_length_25610_cov_22.777895	24835	25260	+	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTP	141	141	100.00	94.33	141	AAA21096.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase
61-0523-EAEC-V4A	DEPPMNEF_03848	NODE_64_length_22884_cov_16.800500	2068	2376	-	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	EXACTP	102	102	100.00	100.00	102	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
61-0523-EAEC-V4A	DEPPMNEF_03947	NODE_69_length_20735_cov_20.401588	8147	9379	+	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	410	410	100.00	99.76	410	AAC77293.1	multidrug efflux MFS transporter MdtM	NA	NA
61-0523-EAEC-V4A	NA	NODE_7_length_137289_cov_19.476125	5558	6709	-	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALX	384	473	81.18	90.36	384	ADD54679.1	type III secretion system effector EspX1	NA	NA
61-0523-EAEC-V4A	DEPPMNEF_04328	NODE_92_length_10441_cov_22.555191	5078	5581	-	papF	P fimbrial tip protein PapF	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	167	167	100.00	98.20	167	CAA43569.1	P fimbrial tip protein PapF	NA	NA
61-0523-EAEC-V4A	NA	NODE_92_length_10441_cov_22.555191	8176	10365	-	papC	P fimbrial usher protein PapC	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALX	730	836	87.32	96.05	735	CAA43564.1	P fimbrial usher protein PapC	NA	NA
61-0523-EAEC-V4A	DEPPMNEF_01196	NODE_9_length_122001_cov_20.243258	83297	87853	+	sslE	lipoprotein metalloprotease SslE	plus	VIRULENCE	VIRULENCE	NA	NA	HMM	1518	1520	100.00	87.05	1521	ADE89421.1	lipoprotein metalloprotease SslE	NF037973.1	lipoprotein metalloprotease SslE
