Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	eae	99.81	2069 / 2805	NODE_13_length_106955_cov_36.867138	77416..79484	  Intimin	AF071034
virulence_ecoli	espA	99.14	579 / 579	NODE_13_length_106955_cov_36.867138	72680..73258	  Type III secretions system	CP003109
virulence_ecoli	espB	99.68	939 / 939	NODE_13_length_106955_cov_36.867138	70584..71522	  Secreted protein B	AE005174
virulence_ecoli	espF	96.62	473 / 747	NODE_13_length_106955_cov_36.867138	69073..69545	  Type III secretion system	AE005174
virulence_ecoli	espF	96.62	473 / 765	NODE_13_length_106955_cov_36.867138	69073..69545	  Type III secretion system	CP001846
virulence_ecoli	espI	99.27	4092 / 4092	NODE_97_length_7797_cov_39.040415	357..4448	  serine protease autotransporters of Enterobacteriaceae (SPATE)	AP010958
virulence_ecoli	fyuA	100.0	2022 / 2022	NODE_31_length_58456_cov_27.623135	37065..39086	  Siderophore receptor	ADTP01000030
virulence_ecoli	hlyE	98.8	918 / 918	NODE_43_length_41090_cov_31.426816	26010..26927	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	iha	99.95	2091 / 2091	NODE_113_length_4577_cov_34.753556	1548..3638	  Adherence protein	AE005174
virulence_ecoli	irp2	99.95	6108 / 6108	NODE_31_length_58456_cov_27.623135	17770..23877	  High molecular weight protein 2 non-ribosomal peptide synthetase	QOEM01000039
virulence_ecoli	iss	99.32	294 / 294	NODE_45_length_40407_cov_31.466303	36761..37054	  Increased serum survival	CP001509
virulence_ecoli	iucC	100.0	1743 / 1743	NODE_42_length_41467_cov_35.289466	35247..36989	  Aerobactin synthetase	AMUG01000109
virulence_ecoli	iutA	100.0	2199 / 2199	NODE_42_length_41467_cov_35.289466	31712..33910	  Ferric aerobactin receptor	AAJW02000016
virulence_ecoli	terC	100.0	714 / 714	NODE_37_length_46005_cov_32.140372	22483..23196	  Tellurium ion resistance protein	CP007491
virulence_ecoli	terC	99.9	966 / 966	NODE_24_length_66600_cov_27.919907	18059..19024	  Tellurium ion resistance protein	MG591698
virulence_ecoli	tir	98.16	1683 / 1683	NODE_13_length_106955_cov_36.867138	80151..81815	  Translocated intimin receptor protein	EU871628
virulence_ecoli	traT	99.44	178 / 177	NODE_241_length_314_cov_140.700422	128..305	  Outer membrane protein complement resistance	AIGY01000005
virulence_ecoli	traT	98.31	118 / 117	NODE_140_length_1859_cov_82.521324	1675..1792	  Outer membrane protein complement resistance	AQEY01000048
virulence_ecoli	traT	98.35	303 / 303	NODE_74_length_18254_cov_84.265225	17769..18071	  Outer membrane protein complement resistance	UEKA01000045
virulence_ecoli	traT	99.49	197 / 303	NODE_214_length_380_cov_57.567657	1..197	  Outer membrane protein complement resistance	UEKA01000045
