Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
SAKAI	KJLEBLOE_00022	SAKAI_Contig_1	23329	24750	-	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	473	473	100.00	99.79	473	ADD54679.1	type III secretion system effector EspX1	NA	NA
SAKAI	KJLEBLOE_00329	SAKAI_Contig_1	353931	358184	+	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1417	1416	99.93	92.16	1415	ABE05822.1	intimin-like adhesin FdeC	NA	NA
SAKAI	KJLEBLOE_00845	SAKAI_Contig_1	924621	925601	+	nleB2	type III secretion system effector arginine glycosyltransferase NleB2	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	326	326	100.00	100.00	326	CAS08589.1	type III secretion system effector arginine glycosyltransferase NleB2	NA	NA
SAKAI	KJLEBLOE_00846	SAKAI_Contig_1	925635	926654	+	nleC	type III secretion system effector zinc metalloprotease NleC	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	339	330	100.00	100.00	330	AAG55141.1	type III secretion system effector zinc metalloprotease NleC	NA	NA
SAKAI	KJLEBLOE_01120	SAKAI_Contig_1	1209251	1209820	-	tccP	Tir-cytoskeleton coupling protein TccP2	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALP	189	297	63.64	100.00	189	BAF45437.1	Tir-cytoskeleton coupling protein TccP2	NA	NA
SAKAI	NA	SAKAI_Contig_1	1209401	1210123	-	tccP	Tir-cytoskeleton coupling protein TccP2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	241	250	96.40	97.10	241	BAF45439.1	Tir-cytoskeleton coupling protein TccP2	NA	NA
SAKAI	KJLEBLOE_01198	SAKAI_Contig_1	1266965	1267924	+	stxA2c	Shiga toxin Stx2c subunit A	plus	VIRULENCE	VIRULENCE	STX2	STX2C	EXACTP	319	319	100.00	100.00	319	CAA30714.1	Shiga toxin Stx2c subunit A	NF033661.1	Shiga toxin Stx2 subunit A
SAKAI	KJLEBLOE_01199	SAKAI_Contig_1	1267936	1268205	+	stxB2a	Shiga toxin Stx2a subunit B	plus	VIRULENCE	VIRULENCE	STX2	STX2A	EXACTP	89	89	100.00	100.00	89	CAA30715.1	Shiga toxin Stx2a subunit B	NF033660.0	Shiga toxin Stx2 subunit B
SAKAI	KJLEBLOE_01333	SAKAI_Contig_1	1405457	1405924	-	terW	tellurium resistance protein TerW	plus	STRESS	METAL	TELLURIUM	TELLURIUM	BLASTP	155	155	100.00	99.35	155	AAC44736.1	tellurium resistance protein TerW	NA	NA
SAKAI	KJLEBLOE_01341	SAKAI_Contig_1	1412498	1413079	+	terZ	tellurium resistance-associated protein TerZ	plus	STRESS	METAL	TELLURIUM	TELLURIUM	BLASTP	193	193	100.00	98.96	193	AAA86846.1	tellurium resistance-associated protein TerZ	NA	NA
SAKAI	KJLEBLOE_01345	SAKAI_Contig_1	1415826	1416404	+	terD	tellurium resistance membrane protein TerD	plus	STRESS	METAL	TELLURIUM	TELLURIUM	BLASTP	192	192	100.00	95.31	192	AAA98292.1	tellurium resistance membrane protein TerD	NA	NA
SAKAI	KJLEBLOE_01348	SAKAI_Contig_1	1418370	1420460	-	iha	bifunctional siderophore receptor/adhesin Iha	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	696	696	100.00	100.00	696	AAG55323.1	bifunctional siderophore receptor/adhesin Iha	NA	NA
SAKAI	KJLEBLOE_01544	SAKAI_Contig_1	1588148	1589509	-	espK	type III secretion system effector EspK	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	453	453	100.00	100.00	453	BAB34991.1	type III secretion system effector EspK	NA	NA
