Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
61-0181-EPEC-V4A	HAIBDP_24180	contig_103	2108	2344	-	merE	broad-spectrum mercury transporter MerE	plus	STRESS	METAL	MERCURY	MERCURY	HMM	78	78	100.00	78.21	78	AAA88371.1	broad-spectrum mercury transporter MerE	NF010310.2	broad-spectrum mercury transporter MerE
61-0181-EPEC-V4A	HAIBDP_24185	contig_103	2341	2703	-	merD	mercury resistance co-regulator MerD	plus	STRESS	METAL	MERCURY	MERCURY	HMM	120	121	100.00	82.64	121	AAC38221.1	mercury resistance co-regulator MerD	NF033783.1	mercury resistance co-regulator MerD
61-0181-EPEC-V4A	HAIBDP_24190	contig_103	2721	4415	-	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	HMM	564	561	100.00	85.31	565	AAC38220.1	mercury(II) reductase	TIGR02053.1	mercury(II) reductase
61-0181-EPEC-V4A	HAIBDP_24195	contig_103	4467	4889	-	merC	organomercurial transporter MerC	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	EXACTP	140	140	100.00	100.00	140	AAC33908.1	organomercurial transporter MerC	NF033784.1	organomercurial transporter MerC
61-0181-EPEC-V4A	HAIBDP_24200	contig_103	4925	5200	-	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	91	91	100.00	90.11	91	AAC38219.1	mercury resistance system periplasmic binding protein MerP	TIGR02052.1	mercury resistance system periplasmic binding protein MerP
61-0181-EPEC-V4A	HAIBDP_24205	contig_103	5214	5564	-	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	EXACTP	116	116	100.00	100.00	116	AAB59075.1	mercuric transport protein MerT	NA	NA
61-0181-EPEC-V4A	HAIBDP_24210	contig_103	5636	6070	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	144	144	100.00	93.75	144	CAA77320.1	mercury resistance transcriptional regulator MerR	NF010315.0	mercury resistance transcriptional regulator MerR
61-0181-EPEC-V4A	HAIBDP_24505	contig_112	940	3030	+	iha	bifunctional siderophore receptor/adhesin Iha	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	696	696	100.00	100.00	696	AAG55323.1	bifunctional siderophore receptor/adhesin Iha	NA	NA
61-0181-EPEC-V4A	HAIBDP_24620	contig_117	146	1051	+	mph(A)	Mph(A) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	301	301	100.00	100.00	301	WP_000219391.1	Mph(A) family macrolide 2'-phosphotransferase	NF000254.1	Mph(A) family macrolide 2'-phosphotransferase
61-0181-EPEC-V4A	HAIBDP_08200	contig_13	70719	71159	-	espF	type III secretion system LEE effector EspF	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALP	146	206	53.40	95.45	110	AAC38400.1	type III secretion system LEE effector EspF	NA	NA
61-0181-EPEC-V4A	HAIBDP_08220	contig_13	72198	73136	-	espB	type III secretion system LEE translocon pore-forming subunit EspB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	312	312	100.00	99.36	312	AAG58818.1	type III secretion system LEE translocon pore-forming subunit EspB	NA	NA
61-0181-EPEC-V4A	HAIBDP_08230	contig_13	74294	74872	-	espA	type III secretion system LEE translocon filament protein EspA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	192	192	100.00	98.44	192	ACG59732.1	type III secretion system LEE translocon filament protein EspA	NA	NA
61-0181-EPEC-V4A	HAIBDP_08255	contig_13	78282	81098	-	eae	intimin type lambda	plus	VIRULENCE	VIRULENCE	INTIMIN	LAMBDA	BLASTP	938	938	100.00	99.68	938	ACM67153.1	intimin type lambda	NF033627.3	intimin
61-0181-EPEC-V4A	HAIBDP_08265	contig_13	81765	83429	-	tir	type III secretion system LEE translocated intimin receptor Tir	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	554	560	100.00	97.68	560	ACG59737.1	type III secretion system LEE translocated intimin receptor Tir	NF033637.1	type III secretion system LEE translocated intimin receptor Tir
61-0181-EPEC-V4A	HAIBDP_24915	contig_138	782	1519	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTP	245	245	100.00	99.59	245	WP_002321849.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NF012220.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
61-0181-EPEC-V4A	HAIBDP_25105	contig_161	161	976	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	271	271	100.00	100.00	271	WP_000018329.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NF033059.2	APH(3')-I family aminoglycoside O-phosphotransferase
61-0181-EPEC-V4A	HAIBDP_01720	contig_3	19011	20144	-	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTP	377	377	100.00	100.00	377	AAC77110.1	BlaEC family class C beta-lactamase	NF000185.2	BlaEC family class C beta-lactamase
61-0181-EPEC-V4A	HAIBDP_15495	contig_32	42094	43806	+	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	570	600	95.00	99.30	570	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
61-0181-EPEC-V4A	HAIBDP_15500	contig_32	43793	45595	+	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	600	600	100.00	99.50	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
61-0181-EPEC-V4A	HAIBDP_15805	contig_33	48439	51543	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	1034	1034	100.00	99.90	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
61-0181-EPEC-V4A	HAIBDP_17270	contig_39	39774	40040	-	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	EXACTP	88	88	100.00	100.00	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
61-0181-EPEC-V4A	NA	contig_4	130611	131465	+	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALX	285	473	60.25	87.72	285	ADD54679.1	type III secretion system effector EspX1	NA	NA
61-0181-EPEC-V4A	HAIBDP_17755	contig_42	14619	15044	-	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTP	141	141	100.00	94.33	141	AAA21096.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase
61-0181-EPEC-V4A	HAIBDP_17765	contig_42	16400	16753	-	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	EXACTP	117	117	100.00	100.00	117	BAE77793.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
61-0181-EPEC-V4A	HAIBDP_21350	contig_63	102	1361	+	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	419	410	98.29	97.77	403	AAC77293.1	multidrug efflux MFS transporter MdtM	NA	NA
61-0181-EPEC-V4A	HAIBDP_21535	contig_64	13915	15099	+	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTP	394	394	100.00	100.00	394	BAE77620.1	multidrug efflux MFS transporter EmrD	NA	NA
61-0181-EPEC-V4A	HAIBDP_04650	contig_7	65733	66635	+	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	EXACTP	300	300	100.00	100.00	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
61-0181-EPEC-V4A	HAIBDP_05420	contig_8	99055	99363	-	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	EXACTP	102	102	100.00	100.00	102	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
61-0181-EPEC-V4A	HAIBDP_23585	contig_88	2089	3813	+	iucA	aerobactin synthase IucA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	574	576	100.00	98.61	576	EGI25746.1	aerobactin synthase IucA	NA	NA
61-0181-EPEC-V4A	HAIBDP_23590	contig_88	3814	4761	+	iucB	N(6)-hydroxylysine O-acetyltransferase IucB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	315	315	100.00	100.00	315	AAN82074.1	N(6)-hydroxylysine O-acetyltransferase IucB	NA	NA
61-0181-EPEC-V4A	HAIBDP_23595	contig_88	4761	6503	+	iucC	NIS family aerobactin synthetase IucC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	580	580	100.00	99.83	580	AAN82073.1	NIS family aerobactin synthetase IucC	NA	NA
61-0181-EPEC-V4A	HAIBDP_23600	contig_88	6500	7837	+	iucD	NADPH-dependent L-lysine N(6)-monooxygenase IucD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	445	445	100.00	98.88	445	AAD44749.1	NADPH-dependent L-lysine N(6)-monooxygenase IucD	NA	NA
61-0181-EPEC-V4A	HAIBDP_23605	contig_88	7840	10038	+	iutA	ferric aerobactin receptor IutA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	732	731	100.00	99.18	731	AAN45165.2	ferric aerobactin receptor IutA	NA	NA
61-0181-EPEC-V4A	HAIBDP_23980	contig_97	357	4448	-	espI	serine protease autotransporter EspI	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1363	1363	100.00	98.90	1363	BAI32516.1	serine protease autotransporter EspI	NA	NA
