Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	eae	99.81	2069 / 2805	NODE_13_length_108569_cov_24.364635	79030..81098	  Intimin	AF071034
virulence_ecoli	espA	99.14	579 / 579	NODE_13_length_108569_cov_24.364635	74294..74872	  Type III secretions system	CP003109
virulence_ecoli	espB	99.68	939 / 939	NODE_13_length_108569_cov_24.364635	72198..73136	  Secreted protein B	AE005174
virulence_ecoli	espI	99.27	4092 / 4092	NODE_97_length_7797_cov_24.712824	357..4448	  serine protease autotransporters of Enterobacteriaceae (SPATE)	AP010958
virulence_ecoli	fyuA	100.0	2022 / 2022	NODE_32_length_58456_cov_17.964182	19371..21392	  Siderophore receptor	ADTP01000030
virulence_ecoli	hlyE	98.8	918 / 918	NODE_39_length_41089_cov_19.182264	26009..26926	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	iha	99.95	2091 / 2091	NODE_112_length_4577_cov_19.808222	940..3030	  Adherence protein	AE005174
virulence_ecoli	irp2	99.95	6108 / 6108	NODE_32_length_58456_cov_17.964182	34580..40687	  High molecular weight protein 2 non-ribosomal peptide synthetase	QOEM01000039
virulence_ecoli	iss	99.32	294 / 294	NODE_22_length_83413_cov_20.324230	1979..2272	  Increased serum survival	CP001509
virulence_ecoli	iucC	100.0	1743 / 1743	NODE_88_length_10327_cov_18.823415	4761..6503	  Aerobactin synthetase	AMUG01000109
virulence_ecoli	iutA	100.0	2199 / 2199	NODE_88_length_10327_cov_18.823415	7840..10038	  Ferric aerobactin receptor	AAJW02000016
virulence_ecoli	terC	100.0	714 / 714	NODE_14_length_106324_cov_20.052792	83123..83836	  Tellurium ion resistance protein	CP007491
virulence_ecoli	terC	99.9	966 / 966	NODE_26_length_66600_cov_19.081912	18059..19024	  Tellurium ion resistance protein	MG591698
virulence_ecoli	tir	98.16	1683 / 1683	NODE_13_length_108569_cov_24.364635	81765..83429	  Translocated intimin receptor protein	EU871628
virulence_ecoli	traT	99.44	178 / 177	NODE_227_length_314_cov_114.489451	128..305	  Outer membrane protein complement resistance	AIGY01000005
virulence_ecoli	traT	98.31	118 / 117	NODE_139_length_1859_cov_57.610550	1675..1792	  Outer membrane protein complement resistance	AQEY01000048
virulence_ecoli	traT	98.35	303 / 303	NODE_136_length_2177_cov_73.525238	1692..1994	  Outer membrane protein complement resistance	UEKA01000045
virulence_ecoli	traT	99.49	197 / 303	NODE_199_length_380_cov_43.897690	1..197	  Outer membrane protein complement resistance	UEKA01000045
