Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
61-0145-EIEC-V4C	DFMJPJKM_01514	NODE_11_length_120138_cov_15.754850	80075	80341	+	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	BLASTP	88	88	100.00	98.86	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
61-0145-EIEC-V4C	DFMJPJKM_01649	NODE_12_length_118678_cov_14.565678	100821	101129	-	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	BLASTP	102	102	100.00	99.02	102	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
61-0145-EIEC-V4C	NA	NODE_148_length_263_cov_0.795699	63	263	+	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	PARTIAL_CONTIG_ENDX	67	110	60.91	100.00	67	CAA77936.1	multidrug efflux SMR transporter EmrE	NA	NA
61-0145-EIEC-V4C	DFMJPJKM_02064	NODE_17_length_88307_cov_19.772538	1723	2907	-	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTP	394	394	100.00	100.00	394	BAE77620.1	multidrug efflux MFS transporter EmrD	NA	NA
61-0145-EIEC-V4C	DFMJPJKM_02234	NODE_19_length_73309_cov_18.995439	13269	14171	+	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	EXACTP	300	300	100.00	100.00	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
61-0145-EIEC-V4C	DFMJPJKM_02577	NODE_24_length_65982_cov_19.034550	39679	40911	+	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	410	410	100.00	98.05	410	AAC77293.1	multidrug efflux MFS transporter MdtM	NA	NA
61-0145-EIEC-V4C	DFMJPJKM_02709	NODE_26_length_55705_cov_18.326059	46999	50103	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	1034	1034	100.00	99.90	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
61-0145-EIEC-V4C	DFMJPJKM_00213	NODE_2_length_172467_cov_19.105435	40364	41497	-	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	377	377	100.00	98.41	377	WP_063610930.1	extended-spectrum class C beta-lactamase EC-15	NF000185.2	BlaEC family class C beta-lactamase
61-0145-EIEC-V4C	DFMJPJKM_03868	NODE_55_length_29391_cov_23.047179	1523	1948	-	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTP	141	141	100.00	94.33	141	AAA21096.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase
61-0145-EIEC-V4C	DFMJPJKM_03870	NODE_55_length_29391_cov_23.047179	3304	3657	-	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	EXACTP	117	117	100.00	100.00	117	BAE77793.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
61-0145-EIEC-V4C	DFMJPJKM_04177	NODE_68_length_16117_cov_18.871945	11935	15423	+	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALP	1162	1416	81.92	93.28	1160	ABE05822.1	intimin-like adhesin FdeC	NA	NA
