Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
61-0307-EAEC-V5-col1C	GEDALOOP_01529	NODE_11_length_108781_cov_24.361192	104744	105010	+	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	EXACTP	88	88	100.00	100.00	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
61-0307-EAEC-V5-col1C	GEDALOOP_01632	NODE_13_length_101444_cov_31.732901	5398	8502	-	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	1034	1034	100.00	99.71	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
61-0307-EAEC-V5-col1C	GEDALOOP_02243	NODE_20_length_73333_cov_32.085822	13139	14041	+	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	EXACTP	300	300	100.00	100.00	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
61-0307-EAEC-V5-col1C	GEDALOOP_02500	NODE_24_length_64139_cov_32.422232	16831	18015	+	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTP	394	394	100.00	100.00	394	BAE77620.1	multidrug efflux MFS transporter EmrD	NA	NA
61-0307-EAEC-V5-col1C	GEDALOOP_02627	NODE_26_length_59242_cov_23.054340	20754	21062	-	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	EXACTP	102	102	100.00	100.00	102	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
61-0307-EAEC-V5-col1C	GEDALOOP_02733	NODE_28_length_57225_cov_30.478809	3336	4469	-	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	377	377	100.00	97.61	377	WP_063610930.1	extended-spectrum class C beta-lactamase EC-15	NF000185.2	BlaEC family class C beta-lactamase
61-0307-EAEC-V5-col1C	GEDALOOP_03446	NODE_43_length_38763_cov_38.565760	16108	16533	-	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTP	141	141	100.00	94.33	141	AAA21096.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase
61-0307-EAEC-V5-col1C	GEDALOOP_03448	NODE_43_length_38763_cov_38.565760	17889	18242	-	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	EXACTP	117	117	100.00	100.00	117	BAE77793.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
61-0307-EAEC-V5-col1C	GEDALOOP_03823	NODE_55_length_27908_cov_31.912400	4060	5292	+	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	410	410	100.00	98.05	410	AAC77293.1	multidrug efflux MFS transporter MdtM	NA	NA
61-0307-EAEC-V5-col1C	GEDALOOP_04094	NODE_66_length_19824_cov_30.512584	15600	19730	-	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1376	1416	97.03	94.10	1374	ABE05822.1	intimin-like adhesin FdeC	NA	NA
61-0307-EAEC-V5-col1C	GEDALOOP_04374	NODE_91_length_6724_cov_27.550023	4155	5360	+	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	401	401	100.00	100.00	401	WP_001089068.1	tetracycline efflux MFS transporter Tet(B)	NF012190.1	tetracycline efflux MFS transporter Tet(B)
61-0307-EAEC-V5-col1C	NA	NODE_94_length_6498_cov_38.030058	5557	6423	-	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALX	289	473	61.10	90.66	289	ADD54679.1	type III secretion system effector EspX1	NA	NA
