Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	ORF3	96.15	831 / 1029	NODE_159_length_1026_cov_2.090622	1..829	 Isoprenoid Biosynthesis	FN554767
virulence_ecoli	aafB	99.43	352 / 441	NODE_455_length_352_cov_2.352727	1..352	 AAF/II minor adhesin. Enterobacteria AfaD invasin protein	FN554767
virulence_ecoli	aap	99.23	261 / 351	NODE_427_length_367_cov_1.789655	107..367	 Dispersin, antiaggregation protein	FN554767
virulence_ecoli	aar	94.92	118 / 192	NODE_442_length_362_cov_0.670175	245..362	 AggR-activated regulator	SSI_AA785
virulence_ecoli	aggR	99.45	724 / 798	NODE_164_length_993_cov_1.939956	270..993	 AraC transcriptional activator	FN554767
virulence_ecoli	astA	100.0	117 / 117	NODE_498_length_331_cov_1.055118	48..164	 EAST-1 heat-stable toxin	AB042002
virulence_ecoli	capU	99.91	1089 / 1089	NODE_69_length_7738_cov_47.639081	4440..5528	 Hexosyltransferase homolog	CP001062
virulence_ecoli	hlyE	99.02	918 / 918	NODE_15_length_120689_cov_27.187195	88595..89512	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	ipaD	99.2	999 / 999	NODE_44_length_33641_cov_65.935288	6365..7363	  Invasion protein Shigella flexneri	X60777
virulence_ecoli	lpfA	100.0	573 / 573	NODE_29_length_57292_cov_35.725317	29980..30552	  Long polar fimbriae	AP010953
virulence_ecoli	senB	99.83	1176 / 1176	NODE_80_length_6476_cov_60.136271	4595..5770	  Plasmid-encoded enterotoxin	CP000038
virulence_ecoli	senB	99.83	1176 / 1176	NODE_80_length_6476_cov_60.136271	4595..5770	  Plasmid-encoded enterotoxin	CP001062
virulence_ecoli	sitA	99.89	915 / 915	NODE_28_length_59080_cov_26.696558	55263..56177	  Iron transport protein	UFYN01000008
virulence_ecoli	terC	100.0	714 / 714	NODE_1_length_229091_cov_32.452461	22812..23525	  Tellurium ion resistance protein	CP007491
virulence_ecoli	terC	99.9	959 / 966	NODE_30_length_55125_cov_29.805588	42978..43936	  Tellurium ion resistance protein	MG591698
virulence_ecoli	terC	99.86	734 / 1056	NODE_202_length_739_cov_1.066465	6..739	  Tellurium ion resistance protein	UGBN01000001
virulence_ecoli	traT	98.5	733 / 735	NODE_77_length_6689_cov_53.468088	4921..5653	  Outer membrane protein complement resistance	LCVH01000288
virulence_ecoli	traT	98.5	733 / 735	NODE_77_length_6689_cov_53.468088	4921..5653	  Outer membrane protein complement resistance	NZ_UIHG01000030
virulence_ecoli	virF	100.0	810 / 810	NODE_117_length_2088_cov_67.745400	855..1664	  VirF transcriptional activator	AF348706
