Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
61-0406-EAEC-V5-col1A	AOCOOJNA_03344	NODE_13_length_129614_cov_37.888912	67398	68300	+	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	EXACTP	300	300	100.00	100.00	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
61-0406-EAEC-V5-col1A	NA	NODE_14_length_113458_cov_39.570572	3	7115	-	air	inverse autotransporter adhesin EaeX/Air	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIAL_CONTIG_ENDX	2371	3806	62.30	91.06	2371	CBG36838.1	inverse autotransporter adhesin EaeX/Air	NA	NA
61-0406-EAEC-V5-col1A	AOCOOJNA_03421	NODE_14_length_113458_cov_39.570572	24917	26101	+	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	394	394	100.00	99.49	394	BAE77620.1	multidrug efflux MFS transporter EmrD	NA	NA
61-0406-EAEC-V5-col1A	AOCOOJNA_03764	NODE_18_length_74778_cov_41.447089	5379	7076	-	eilA	HilA family transcriptional regulator EilA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	565	565	100.00	99.29	565	ACB16655.1	HilA family transcriptional regulator EilA	NA	NA
61-0406-EAEC-V5-col1A	AOCOOJNA_00123	NODE_1_length_508954_cov_40.187678	140844	141152	+	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	BLASTP	102	102	100.00	96.08	102	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
61-0406-EAEC-V5-col1A	AOCOOJNA_04240	NODE_28_length_32476_cov_54.474058	9875	10831	-	iroE	catecholate siderophore esterase IroE	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	318	318	100.00	98.11	318	ACJ63530.1	catecholate siderophore esterase IroE	NA	NA
61-0406-EAEC-V5-col1A	AOCOOJNA_04241	NODE_28_length_32476_cov_54.474058	10916	12145	-	iroD	catecholate siderophore esterase IroD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	409	409	100.00	99.02	409	ACJ63529.1	catecholate siderophore esterase IroD	NA	NA
61-0406-EAEC-V5-col1A	AOCOOJNA_00642	NODE_2_length_416141_cov_40.031827	132961	133227	+	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	BLASTP	88	88	100.00	97.73	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
61-0406-EAEC-V5-col1A	AOCOOJNA_04313	NODE_30_length_30368_cov_39.163019	20544	21803	-	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	419	410	98.29	97.52	403	AAC77293.1	multidrug efflux MFS transporter MdtM	NA	NA
61-0406-EAEC-V5-col1A	AOCOOJNA_04502	NODE_41_length_6673_cov_54.396452	1284	2489	-	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	401	401	100.00	100.00	401	WP_001089068.1	tetracycline efflux MFS transporter Tet(B)	NF012190.1	tetracycline efflux MFS transporter Tet(B)
61-0406-EAEC-V5-col1A	AOCOOJNA_01424	NODE_4_length_358019_cov_39.043753	242413	246666	-	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1417	1416	99.93	90.88	1415	ABE05822.1	intimin-like adhesin FdeC	NA	NA
61-0406-EAEC-V5-col1A	AOCOOJNA_01493	NODE_4_length_358019_cov_39.043753	317286	317579	+	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	97	97	100.00	100.00	97	CAR12622.1	increased serum survival lipoprotein Iss	NA	NA
61-0406-EAEC-V5-col1A	AOCOOJNA_01582	NODE_5_length_348397_cov_41.242662	35199	39764	-	sslE	lipoprotein metalloprotease SslE	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1521	1520	100.00	95.21	1524	ADE89421.1	lipoprotein metalloprotease SslE	NF037973.1	lipoprotein metalloprotease SslE
61-0406-EAEC-V5-col1A	AOCOOJNA_01870	NODE_5_length_348397_cov_41.242662	336789	339893	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	1034	1034	100.00	99.42	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
61-0406-EAEC-V5-col1A	AOCOOJNA_02022	NODE_6_length_293784_cov_39.096157	158460	159593	-	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	377	377	100.00	99.73	377	AAZ85968.1	cephalosporin-hydrolyzing class C beta-lactamase EC-8	NF000185.2	BlaEC family class C beta-lactamase
61-0406-EAEC-V5-col1A	AOCOOJNA_02332	NODE_7_length_261300_cov_37.622755	202759	204180	+	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	473	473	100.00	90.49	473	ADD54679.1	type III secretion system effector EspX1	NA	NA
61-0406-EAEC-V5-col1A	AOCOOJNA_02434	NODE_8_length_232511_cov_38.683286	59745	60170	-	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTP	141	141	100.00	92.91	141	AAA21096.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase
61-0406-EAEC-V5-col1A	AOCOOJNA_02437	NODE_8_length_232511_cov_38.683286	63284	63646	-	arsD	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTP	120	120	100.00	90.00	120	AAB09625.1	arsenite efflux transporter metallochaperone ArsD	NF033727.1	arsenite efflux transporter metallochaperone ArsD
