Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	afaA	100.0	384 / 384	IAI18_Contig_130	6983..7366	  Transcriptional regulator	GQ916596
virulence_ecoli	afaB	100.0	768 / 768	IAI18_Contig_130	7444..8211	  Periplasmic chaperone	GQ497943
virulence_ecoli	afaB	100.0	768 / 768	IAI18_Contig_130	7444..8211	  Periplasmic chaperone	GQ497943
virulence_ecoli	afaC	100.0	2589 / 2589	IAI18_Contig_130	8380..10968	  Outer membrane usher protein	AP017620
virulence_ecoli	afaD	100.0	420 / 420	IAI18_Contig_130	10984..11403	  Afimbrial adhesion	AF072900
virulence_ecoli	afaE8	100.0	513 / 513	IAI18_Contig_130	11938..12450		GQ497943
virulence_ecoli	astA	100.0	117 / 117	IAI18_Contig_130	3487..3603	 EAST-1 heat-stable toxin	AB042002
virulence_ecoli	cnf1	99.97	3045 / 3045	IAI18_Contig_75	4947..7991	  Cytotoxic necrotizing factor	AM261284
virulence_ecoli	fyuA	99.95	2022 / 2022	IAI18_Contig_40	9425..11446	  Siderophore receptor	UGCB01000003
virulence_ecoli	gad	100.0	1151 / 1401	IAI18_Contig_104	1..1151	  Glutamate decarboxylase	AP010953
virulence_ecoli	gad	100.0	1151 / 1401	IAI18_Contig_104	1..1151	  Glutamate decarboxylase	CP002967
virulence_ecoli	gad	100.0	1151 / 1401	IAI18_Contig_104	1..1151	  Glutamate decarboxylase	U00096
virulence_ecoli	hlyA	100.0	3075 / 3075	IAI18_Contig_75	12588..15662	  Haemolysin A	CP032936
virulence_ecoli	hlyE	99.24	918 / 918	IAI18_Contig_37	118790..119707	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	hra	100.0	741 / 741	IAI18_Contig_22	1228..1968	  Heat-resistant agglutinin	CP040456
virulence_ecoli	irp2	100.0	6108 / 6108	IAI18_Contig_40	24634..30741	  High molecular weight protein 2 non-ribosomal peptide synthetase	LAUC01000121
virulence_ecoli	lpfA	100.0	573 / 573	IAI18_Contig_115	19720..20292	  Long polar fimbriae	AY646923
virulence_ecoli	ompT	100.0	954 / 954	IAI18_Contig_54	27796..28749	  Outer membrane protease (protein protease 7)	HE962388
virulence_ecoli	papC	99.96	2511 / 2511	IAI18_Contig_22	11370..13880	  Outer membrane usher P fimbriae	DQ010312
virulence_ecoli	terC	99.58	714 / 714	IAI18_Contig_130	168308..169021	  Tellurium ion resistance protein	CP007491
virulence_ecoli	terC	100.0	966 / 966	IAI18_Contig_46	23278..24243	  Tellurium ion resistance protein	MG591698
