Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	capU	99.72	1089 / 1089	4608-58_Contig_125	456..1544	 Hexosyltransferase homolog	CP001062
virulence_ecoli	chuA	100.0	1983 / 1983	4608-58_Contig_2	94059..96041	  Outer membrane hemin receptor	UGFA01000002
virulence_ecoli	gad	99.93	1401 / 1401	4608-58_Contig_2	112910..114310	  Glutamate decarboxylase	AP009240
virulence_ecoli	gad	99.14	1401 / 1401	4608-58_Contig_231	22279..23679	  Glutamate decarboxylase	CP002185
virulence_ecoli	hlyE	99.46	918 / 918	4608-58_Contig_14	47166..48083	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	iha	100.0	2091 / 2091	4608-58_Contig_110	3402..5492	  Adherence protein	CU928162
virulence_ecoli	ipaD	99.2	999 / 999	4608-58_Contig_244	26265..27263	  Invasion protein Shigella flexneri	X60777
virulence_ecoli	iucC	100.0	1743 / 1743	4608-58_Contig_110	12445..14187	  Aerobactin synthetase	UGFA01000002
virulence_ecoli	iutA	100.0	2196 / 2196	4608-58_Contig_110	8910..11105	  Ferric aerobactin receptor	UGFA01000002
virulence_ecoli	senB	99.83	1176 / 1176	4608-58_Contig_135	693..1868	  Plasmid-encoded enterotoxin	CP000038
virulence_ecoli	senB	99.83	1176 / 1176	4608-58_Contig_135	693..1868	  Plasmid-encoded enterotoxin	CP001062
virulence_ecoli	sigA	99.95	3858 / 3858	4608-58_Contig_243	6800..10657	 Shigella IgA-like protease homologue	AE005674
virulence_ecoli	sigA	99.95	3858 / 3858	4608-58_Contig_243	6800..10657	 Shigella IgA-like protease homologue	CP000038
virulence_ecoli	sitA	100.0	915 / 915	4608-58_Contig_215	3604..4518	  Iron transport protein	UFYN01000008
virulence_ecoli	terC	99.3	714 / 714	4608-58_Contig_190	68898..69611	  Tellurium ion resistance protein	CP007491
virulence_ecoli	terC	99.17	959 / 966	4608-58_Contig_79	46573..47531	  Tellurium ion resistance protein	MG591698
virulence_ecoli	traT	100.0	831 / 831	4608-58_Contig_44	7686..8516	  Outer membrane protein complement resistance	UGDX01000001
virulence_ecoli	usp	98.85	1041 / 1041	4608-58_Contig_203	93294..94334	  Uropathogenic specific protein	AB056439
virulence_ecoli	virF	100.0	810 / 810	4608-58_Contig_95	410..1219	  VirF transcriptional activator	AF348706
