Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
61-0109-EAEC-V5-col3B	NA	NODE_100_length_612_cov_94.272897	1	462	+	blaTEM	TEM family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	154	286	53.85	100.00	154	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
61-0109-EAEC-V5-col3B	PNLNNMEJ_02710	NODE_10_length_197218_cov_29.288824	169714	170067	+	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	BLASTP	117	117	100.00	96.58	117	BAE77793.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
61-0109-EAEC-V5-col3B	PNLNNMEJ_02712	NODE_10_length_197218_cov_29.288824	171424	171849	+	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTP	141	141	100.00	92.91	141	AAA21096.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase
61-0109-EAEC-V5-col3B	PNLNNMEJ_03075	NODE_13_length_135561_cov_28.142807	5200	8304	-	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	1034	1034	100.00	99.32	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
61-0109-EAEC-V5-col3B	PNLNNMEJ_03282	NODE_14_length_134824_cov_32.945045	88032	89729	+	eilA	HilA family transcriptional regulator EilA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	565	565	100.00	99.82	565	ACB16655.1	HilA family transcriptional regulator EilA	NA	NA
61-0109-EAEC-V5-col3B	PNLNNMEJ_03300	NODE_14_length_134824_cov_32.945045	118045	119229	+	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	394	394	100.00	99.75	394	BAE77620.1	multidrug efflux MFS transporter EmrD	NA	NA
61-0109-EAEC-V5-col3B	PNLNNMEJ_03547	NODE_16_length_130504_cov_25.401351	108377	108685	-	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	BLASTP	102	102	100.00	98.04	102	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
61-0109-EAEC-V5-col3B	PNLNNMEJ_03638	NODE_17_length_115998_cov_27.661735	57116	58918	-	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	600	600	100.00	99.67	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
61-0109-EAEC-V5-col3B	PNLNNMEJ_03639	NODE_17_length_115998_cov_27.661735	58905	60707	-	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	600	600	100.00	99.67	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
61-0109-EAEC-V5-col3B	PNLNNMEJ_03848	NODE_19_length_92586_cov_30.566604	71338	72240	+	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	BLASTP	300	300	100.00	99.67	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
61-0109-EAEC-V5-col3B	PNLNNMEJ_00433	NODE_1_length_515103_cov_26.066863	450844	451110	+	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	BLASTP	88	88	100.00	96.59	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
61-0109-EAEC-V5-col3B	PNLNNMEJ_03992	NODE_21_length_73047_cov_32.063656	29984	30556	+	lpfA	long polar fimbria major subunit LpfA-O113	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	190	190	100.00	100.00	190	ACB16424.1	long polar fimbria major subunit LpfA-O113	NA	NA
61-0109-EAEC-V5-col3B	PNLNNMEJ_04111	NODE_23_length_67863_cov_31.642891	27799	32364	+	sslE	lipoprotein metalloprotease SslE	plus	VIRULENCE	VIRULENCE	NA	NA	HMM	1521	1520	100.00	86.79	1522	ADE89421.1	lipoprotein metalloprotease SslE	NF037973.1	lipoprotein metalloprotease SslE
61-0109-EAEC-V5-col3B	PNLNNMEJ_04443	NODE_29_length_43308_cov_30.979043	38850	39143	-	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	97	97	100.00	100.00	97	CAR12622.1	increased serum survival lipoprotein Iss	NA	NA
61-0109-EAEC-V5-col3B	PNLNNMEJ_04534	NODE_32_length_36471_cov_32.701214	20205	21293	-	capU	putative hexosyltransferase CapU	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	362	362	100.00	100.00	362	CAV02025.1	putative hexosyltransferase CapU	NA	NA
61-0109-EAEC-V5-col3B	PNLNNMEJ_00926	NODE_3_length_318916_cov_29.547994	29204	29536	-	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTP	110	110	100.00	98.18	110	CAA77936.1	multidrug efflux SMR transporter EmrE	NF000336.1	multidrug efflux SMR transporter EmrE
61-0109-EAEC-V5-col3B	PNLNNMEJ_01163	NODE_3_length_318916_cov_29.547994	275467	279720	-	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1417	1416	99.93	91.73	1415	ABE05822.1	intimin-like adhesin FdeC	NA	NA
