Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
61-0406-EAEC-V5-col1A	ECCAAN_00615	contig_1	140844	141152	+	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	BLASTP	102	102	100.00	96.08	102	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
61-0406-EAEC-V5-col1A	ECCAAN_17410	contig_13	67398	68300	+	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	EXACTP	300	300	100.00	100.00	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
61-0406-EAEC-V5-col1A	NA	contig_14	3	7115	-	air	inverse autotransporter adhesin EaeX/Air	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIAL_CONTIG_ENDX	2371	3806	62.30	91.06	2371	CBG36838.1	inverse autotransporter adhesin EaeX/Air	NA	NA
61-0406-EAEC-V5-col1A	ECCAAN_17815	contig_14	24917	26101	+	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	394	394	100.00	99.49	394	BAE77620.1	multidrug efflux MFS transporter EmrD	NA	NA
61-0406-EAEC-V5-col1A	ECCAAN_19610	contig_18	5379	7076	-	eilA	HilA family transcriptional regulator EilA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	565	565	100.00	99.29	565	ACB16655.1	HilA family transcriptional regulator EilA	NA	NA
61-0406-EAEC-V5-col1A	ECCAAN_03310	contig_2	132961	133227	+	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	BLASTP	88	88	100.00	97.73	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
61-0406-EAEC-V5-col1A	ECCAAN_22100	contig_28	9875	10831	-	iroE	catecholate siderophore esterase IroE	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	318	318	100.00	98.11	318	ACJ63530.1	catecholate siderophore esterase IroE	NA	NA
61-0406-EAEC-V5-col1A	ECCAAN_22105	contig_28	10916	12145	-	iroD	catecholate siderophore esterase IroD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	409	409	100.00	99.02	409	ACJ63529.1	catecholate siderophore esterase IroD	NA	NA
61-0406-EAEC-V5-col1A	ECCAAN_22485	contig_30	20544	21803	-	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	419	410	98.29	97.52	403	AAC77293.1	multidrug efflux MFS transporter MdtM	NA	NA
61-0406-EAEC-V5-col1A	ECCAAN_07395	contig_4	242413	246666	-	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1417	1416	99.93	90.88	1415	ABE05822.1	intimin-like adhesin FdeC	NA	NA
61-0406-EAEC-V5-col1A	ECCAAN_07755	contig_4	317286	317579	+	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	97	97	100.00	100.00	97	CAR12622.1	increased serum survival lipoprotein Iss	NA	NA
61-0406-EAEC-V5-col1A	ECCAAN_23450	contig_41	1284	2489	-	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	401	401	100.00	100.00	401	WP_001089068.1	tetracycline efflux MFS transporter Tet(B)	NF012190.1	tetracycline efflux MFS transporter Tet(B)
61-0406-EAEC-V5-col1A	ECCAAN_08195	contig_5	35199	39764	-	sslE	lipoprotein metalloprotease SslE	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1521	1520	100.00	95.21	1524	ADE89421.1	lipoprotein metalloprotease SslE	NF037973.1	lipoprotein metalloprotease SslE
61-0406-EAEC-V5-col1A	ECCAAN_09675	contig_5	336789	339893	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	1034	1034	100.00	99.42	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
61-0406-EAEC-V5-col1A	ECCAAN_10485	contig_6	158460	159593	-	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	377	377	100.00	99.73	377	AAZ85968.1	cephalosporin-hydrolyzing class C beta-lactamase EC-8	NF000185.2	BlaEC family class C beta-lactamase
61-0406-EAEC-V5-col1A	ECCAAN_12140	contig_7	202759	204180	+	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	473	473	100.00	90.49	473	ADD54679.1	type III secretion system effector EspX1	NA	NA
61-0406-EAEC-V5-col1A	ECCAAN_12700	contig_8	59745	60170	-	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTP	141	141	100.00	92.91	141	AAA21096.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase
61-0406-EAEC-V5-col1A	ECCAAN_12715	contig_8	63284	63646	-	arsD	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTP	120	120	100.00	90.00	120	AAB09625.1	arsenite efflux transporter metallochaperone ArsD	NF033727.1	arsenite efflux transporter metallochaperone ArsD
