Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
61-0776-EPEC_STEC-V1-col1B	NEGAPNFJ_05131	NODE_114_length_2961_cov_145.949029	545	2755	-	katP	catalase/peroxidase KatP	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	736	736	100.00	100.00	736	BAA31832.1	catalase/peroxidase KatP	NA	NA
61-0776-EPEC_STEC-V1-col1B	NEGAPNFJ_02132	NODE_13_length_135100_cov_31.857580	6967	8328	-	espK	type III secretion system effector EspK	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	453	453	100.00	90.73	453	BAB34991.1	type III secretion system effector EspK	NA	NA
61-0776-EPEC_STEC-V1-col1B	NEGAPNFJ_02149	NODE_13_length_135100_cov_31.857580	26340	26606	+	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	EXACTP	88	88	100.00	100.00	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
61-0776-EPEC_STEC-V1-col1B	NEGAPNFJ_02630	NODE_17_length_95554_cov_30.525268	47527	51780	-	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1417	1416	99.93	91.02	1415	ABE05822.1	intimin-like adhesin FdeC	NA	NA
61-0776-EPEC_STEC-V1-col1B	NEGAPNFJ_02681	NODE_18_length_94634_cov_28.876847	5369	8473	-	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	1034	1034	100.00	99.61	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
61-0776-EPEC_STEC-V1-col1B	NEGAPNFJ_00218	NODE_1_length_262145_cov_30.174989	210273	210626	+	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	EXACTP	117	117	100.00	100.00	117	BAE77793.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
61-0776-EPEC_STEC-V1-col1B	NEGAPNFJ_00220	NODE_1_length_262145_cov_30.174989	211982	212407	+	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTP	141	141	100.00	94.33	141	AAA21096.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase
61-0776-EPEC_STEC-V1-col1B	NEGAPNFJ_03458	NODE_28_length_58168_cov_30.459004	50445	50969	+	lpfA	long polar fimbria major subunit LpfA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	174	174	100.00	100.00	174	CAV00478.1	long polar fimbria major subunit LpfA	NA	NA
61-0776-EPEC_STEC-V1-col1B	NEGAPNFJ_03515	NODE_29_length_58018_cov_29.136104	51508	52746	+	nleA	type III secretion system effector NleA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	412	412	100.00	100.00	412	BAF96541.1	type III secretion system effector NleA	NA	NA
61-0776-EPEC_STEC-V1-col1B	NEGAPNFJ_03517	NODE_29_length_58018_cov_29.136104	54204	55034	-	cif	type III secretion system effector Cif	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	276	282	96.45	100.00	272	AAQ07241.1	type III secretion system effector Cif	NA	NA
61-0776-EPEC_STEC-V1-col1B	NEGAPNFJ_03521	NODE_29_length_58018_cov_29.136104	56781	57761	-	nleB2	type III secretion system effector arginine glycosyltransferase NleB2	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	326	326	100.00	100.00	326	BAF96538.1	type III secretion system effector arginine glycosyltransferase NleB2	NA	NA
61-0776-EPEC_STEC-V1-col1B	NEGAPNFJ_03613	NODE_31_length_54398_cov_39.004878	19765	20232	-	terW	tellurium resistance protein TerW	plus	STRESS	METAL	TELLURIUM	TELLURIUM	BLASTP	155	155	100.00	99.35	155	AAC44736.1	tellurium resistance protein TerW	NA	NA
61-0776-EPEC_STEC-V1-col1B	NEGAPNFJ_03620	NODE_31_length_54398_cov_39.004878	26805	27386	+	terZ	tellurium resistance-associated protein TerZ	plus	STRESS	METAL	TELLURIUM	TELLURIUM	BLASTP	193	193	100.00	98.96	193	AAA86846.1	tellurium resistance-associated protein TerZ	NA	NA
61-0776-EPEC_STEC-V1-col1B	NEGAPNFJ_03624	NODE_31_length_54398_cov_39.004878	30133	30711	+	terD	tellurium resistance membrane protein TerD	plus	STRESS	METAL	TELLURIUM	TELLURIUM	BLASTP	192	192	100.00	95.31	192	AAA98292.1	tellurium resistance membrane protein TerD	NA	NA
61-0776-EPEC_STEC-V1-col1B	NEGAPNFJ_03627	NODE_31_length_54398_cov_39.004878	32678	34768	-	iha	bifunctional siderophore receptor/adhesin Iha	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	696	696	100.00	100.00	696	AAG55323.1	bifunctional siderophore receptor/adhesin Iha	NA	NA
61-0776-EPEC_STEC-V1-col1B	NEGAPNFJ_03777	NODE_34_length_47363_cov_28.963689	20245	21147	-	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	EXACTP	300	300	100.00	100.00	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
