Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
CIP61-11	OAGJNAIB_00261	CIP61-11_Contig_1	272241	273374	+	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTP	377	377	100.00	100.00	377	AAC77110.1	BlaEC family class C beta-lactamase	NF000185.2	BlaEC family class C beta-lactamase
CIP61-11	OAGJNAIB_00546	CIP61-11_Contig_1	534326	534592	+	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	EXACTP	88	88	100.00	100.00	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
CIP61-11	OAGJNAIB_00555	CIP61-11_Contig_1	541450	541758	+	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	EXACTP	102	102	100.00	100.00	102	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
CIP61-11	OAGJNAIB_00869	CIP61-11_Contig_1	856791	857975	-	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTP	394	394	100.00	100.00	394	BAE77620.1	multidrug efflux MFS transporter EmrD	NA	NA
CIP61-11	OAGJNAIB_00931	CIP61-11_Contig_1	931326	932747	+	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	473	473	100.00	89.22	473	ADD54679.1	type III secretion system effector EspX1	NA	NA
CIP61-11	OAGJNAIB_01230	CIP61-11_Contig_1	1237330	1237623	+	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	97	97	100.00	100.00	97	BAG76115.1	increased serum survival lipoprotein Iss	NA	NA
CIP61-11	OAGJNAIB_01434	CIP61-11_Contig_1	1460540	1462342	+	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	600	600	100.00	99.67	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
CIP61-11	OAGJNAIB_01435	CIP61-11_Contig_1	1462329	1464131	+	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	600	600	100.00	99.67	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
CIP61-11	OAGJNAIB_02035	CIP61-11_Contig_1	2089234	2090466	-	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	410	410	100.00	97.07	410	AAC77293.1	multidrug efflux MFS transporter MdtM	NA	NA
CIP61-11	OAGJNAIB_02324	CIP61-11_Contig_1	2395931	2396659	+	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	PARTIALP	242	300	80.67	99.59	242	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
CIP61-11	OAGJNAIB_02631	CIP61-11_Contig_1	2716187	2720443	+	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1418	1416	100.00	94.14	1416	ABE05822.1	intimin-like adhesin FdeC	NA	NA
CIP61-11	OAGJNAIB_03184	CIP61-11_Contig_1	3334386	3334817	-	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	EXACTP	143	143	100.00	100.00	143	AAD11743.1	silver-binding protein SilE	NA	NA
CIP61-11	OAGJNAIB_03185	CIP61-11_Contig_1	3335062	3336543	-	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	493	491	99.80	98.57	490	SPD96882.1	copper/silver sensor histidine kinase SilS	NA	NA
CIP61-11	OAGJNAIB_03186	CIP61-11_Contig_1	3336536	3337216	-	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	226	226	100.00	97.79	226	SPD96883.1	copper/silver response regulator transcription factor SilR	NA	NA
CIP61-11	OAGJNAIB_03187	CIP61-11_Contig_1	3337406	3338791	+	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	461	461	100.00	98.05	461	SPD96884.1	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	NA	NA
CIP61-11	OAGJNAIB_03188	CIP61-11_Contig_1	3338819	3339172	+	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	117	117	100.00	97.44	117	KGL71342.1	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	NA	NA
CIP61-11	OAGJNAIB_03189	CIP61-11_Contig_1	3339286	3340578	+	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	430	430	100.00	96.28	430	AAD11748.1	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	NA	NA
CIP61-11	OAGJNAIB_03190	CIP61-11_Contig_1	3340589	3343735	+	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	1048	1048	100.00	98.66	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NA	NA
