Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
61-0181-EPEC-V4A	JCDMAJBF_04525	NODE_103_length_6178_cov_29.582855	2108	2344	-	merE	broad-spectrum mercury transporter MerE	plus	STRESS	METAL	MERCURY	MERCURY	HMM	78	78	100.00	78.21	78	AAA88371.1	broad-spectrum mercury transporter MerE	NF010310.2	broad-spectrum mercury transporter MerE
61-0181-EPEC-V4A	JCDMAJBF_04526	NODE_103_length_6178_cov_29.582855	2341	2703	-	merD	mercury resistance co-regulator MerD	plus	STRESS	METAL	MERCURY	MERCURY	HMM	120	121	100.00	82.64	121	AAC38221.1	mercury resistance co-regulator MerD	NF033783.1	mercury resistance co-regulator MerD
61-0181-EPEC-V4A	JCDMAJBF_04527	NODE_103_length_6178_cov_29.582855	2721	4415	-	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	HMM	564	561	100.00	85.31	565	AAC38220.1	mercury(II) reductase	TIGR02053.1	mercury(II) reductase
61-0181-EPEC-V4A	JCDMAJBF_04528	NODE_103_length_6178_cov_29.582855	4467	4889	-	merC	organomercurial transporter MerC	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	EXACTP	140	140	100.00	100.00	140	AAC33908.1	organomercurial transporter MerC	NF033784.1	organomercurial transporter MerC
61-0181-EPEC-V4A	JCDMAJBF_04529	NODE_103_length_6178_cov_29.582855	4925	5200	-	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	91	91	100.00	90.11	91	AAC38219.1	mercury resistance system periplasmic binding protein MerP	TIGR02052.1	mercury resistance system periplasmic binding protein MerP
61-0181-EPEC-V4A	JCDMAJBF_04530	NODE_103_length_6178_cov_29.582855	5214	5564	-	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	EXACTP	116	116	100.00	100.00	116	AAB59075.1	mercuric transport protein MerT	NA	NA
61-0181-EPEC-V4A	JCDMAJBF_04531	NODE_103_length_6178_cov_29.582855	5636	6070	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	144	144	100.00	93.75	144	CAA77320.1	mercury resistance transcriptional regulator MerR	NF010315.0	mercury resistance transcriptional regulator MerR
61-0181-EPEC-V4A	JCDMAJBF_04587	NODE_112_length_4577_cov_19.808222	940	3030	+	iha	bifunctional siderophore receptor/adhesin Iha	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	696	696	100.00	100.00	696	AAG55323.1	bifunctional siderophore receptor/adhesin Iha	NA	NA
61-0181-EPEC-V4A	JCDMAJBF_04610	NODE_117_length_3856_cov_52.894946	146	1051	+	mph(A)	Mph(A) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	301	301	100.00	100.00	301	WP_000219391.1	Mph(A) family macrolide 2'-phosphotransferase	NF000254.1	Mph(A) family macrolide 2'-phosphotransferase
61-0181-EPEC-V4A	JCDMAJBF_04666	NODE_138_length_1888_cov_65.431253	782	1519	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTP	245	245	100.00	99.59	245	WP_002321849.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NF012220.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
61-0181-EPEC-V4A	NA	NODE_13_length_108569_cov_24.364635	70830	71159	-	espF	type III secretion system LEE effector EspF	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALX	110	206	53.40	95.45	110	AAC38400.1	type III secretion system LEE effector EspF	NA	NA
61-0181-EPEC-V4A	JCDMAJBF_01545	NODE_13_length_108569_cov_24.364635	72198	73136	-	espB	type III secretion system LEE translocon pore-forming subunit EspB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	312	312	100.00	99.36	312	AAG58818.1	type III secretion system LEE translocon pore-forming subunit EspB	NA	NA
61-0181-EPEC-V4A	JCDMAJBF_01547	NODE_13_length_108569_cov_24.364635	74294	74872	-	espA	type III secretion system LEE translocon filament protein EspA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	192	192	100.00	98.44	192	ACG59732.1	type III secretion system LEE translocon filament protein EspA	NA	NA
61-0181-EPEC-V4A	JCDMAJBF_01551	NODE_13_length_108569_cov_24.364635	78282	81098	-	eae	intimin type lambda	plus	VIRULENCE	VIRULENCE	INTIMIN	LAMBDA	BLASTP	938	938	100.00	99.68	938	ACM67153.1	intimin type lambda	NF033627.3	intimin
61-0181-EPEC-V4A	JCDMAJBF_01553	NODE_13_length_108569_cov_24.364635	81765	83429	-	tir	type III secretion system LEE translocated intimin receptor Tir	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	554	560	100.00	97.68	560	ACG59737.1	type III secretion system LEE translocated intimin receptor Tir	NF033637.1	type III secretion system LEE translocated intimin receptor Tir
61-0181-EPEC-V4A	JCDMAJBF_04703	NODE_161_length_1189_cov_35.121403	161	976	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	271	271	100.00	100.00	271	WP_000018329.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NF033059.2	APH(3')-I family aminoglycoside O-phosphotransferase
61-0181-EPEC-V4A	JCDMAJBF_02911	NODE_32_length_58456_cov_17.964182	42004	43806	+	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	600	600	100.00	99.33	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
61-0181-EPEC-V4A	JCDMAJBF_02912	NODE_32_length_58456_cov_17.964182	43793	45595	+	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	600	600	100.00	99.50	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
61-0181-EPEC-V4A	JCDMAJBF_02971	NODE_33_length_56910_cov_19.962223	48439	51543	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	1034	1034	100.00	99.90	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
61-0181-EPEC-V4A	JCDMAJBF_03241	NODE_39_length_41089_cov_19.182264	39774	40040	-	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	EXACTP	88	88	100.00	100.00	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
61-0181-EPEC-V4A	JCDMAJBF_00333	NODE_3_length_139232_cov_21.266185	19011	20144	-	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTP	377	377	100.00	100.00	377	AAC77110.1	BlaEC family class C beta-lactamase	NF000185.2	BlaEC family class C beta-lactamase
