Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	air	100.0	10257 / 10257	UMN026_Contig_1	4308416..4318672	 Enteroaggregative immunoglobulin repeat protein	CU928163
virulence_ecoli	chuA	100.0	1983 / 1983	UMN026_Contig_1	4106397..4108379	  Outer membrane hemin receptor	UCZM01000007
virulence_ecoli	eilA	100.0	1698 / 1698	UMN026_Contig_1	4306667..4308364	 Salmonella HilA homolog	FN554766
virulence_ecoli	fyuA	100.0	2022 / 2022	UMN026_Contig_1	2305856..2307877	  Siderophore receptor	CU928163
virulence_ecoli	gad	100.0	1401 / 1401	UMN026_Contig_1	1768613..1770013	  Glutamate decarboxylase	CU928163
virulence_ecoli	gad	100.0	1401 / 1401	UMN026_Contig_1	4125238..4126638	  Glutamate decarboxylase	CU928163
virulence_ecoli	hlyE	98.91	918 / 918	UMN026_Contig_1	1475759..1476676	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	iha	100.0	2091 / 2091	UMN026_Contig_1	3470427..3472517	  Adherence protein	AE014075
virulence_ecoli	irp2	100.0	6108 / 6108	UMN026_Contig_1	2286561..2292668	  High molecular weight protein 2 non-ribosomal peptide synthetase	NZ_UEMU01000024
virulence_ecoli	iss	100.0	294 / 294	UMN026_Contig_1	1429507..1429800	  Increased serum survival	CU928163
virulence_ecoli	iucC	100.0	1743 / 1743	UMN026_Contig_1	3487827..3489569	  Aerobactin synthetase	AAJW02000016
virulence_ecoli	iutA	100.0	2199 / 2199	UMN026_Contig_1	3484292..3486490	  Ferric aerobactin receptor	UFZT01000001
virulence_ecoli	kpsE	100.0	1149 / 1149	UMN026_Contig_1	3530954..3532102	  Capsule polysaccharide export inner-membrane protein	X74567
virulence_ecoli	kpsMII_K52	100.0	777 / 777	UMN026_Contig_1	3550545..3551321	  Polysialic acid transport protein; Group 2 capsule	UGGK01000002
virulence_ecoli	lpfA	100.0	573 / 573	UMN026_Contig_1	4397828..4398400	  Long polar fimbriae	AB198066
virulence_ecoli	ompT	100.0	954 / 954	UMN026_Contig_1	690046..690999	  Outer membrane protease (protein protease 7)	JJMB01000012
virulence_ecoli	papA_fsiA_F16	100.0	537 / 537	UMN026_Contig_1	3461061..3461597	  Major pilin subunit F16	CU928163
virulence_ecoli	papC	100.0	2511 / 2511	UMN026_Contig_1	3457835..3460345	  Outer membrane usher P fimbriae	ADTJ01000356
virulence_ecoli	sat	100.0	3888 / 3888	UMN026_Contig_1	3479461..3483348	 Secreted autotransporter toxin	CU928163
virulence_ecoli	sitA	100.0	915 / 915	UMN026_Contig_1	1454843..1455757	  Iron transport protein	UGBZ01000001ADUG01000044
virulence_ecoli	terC	98.32	714 / 714	UMN026_Contig_1	3277044..3277757	  Tellurium ion resistance protein	CP000468
virulence_ecoli	terC	98.75	959 / 966	UMN026_Contig_1	3693033..3693991	  Tellurium ion resistance protein	MG591698
