Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	cvaC	100.0	312 / 312	E24377A_Contig_1	4580193..4580504	  Microcin C	X57525
virulence_ecoli	fyuA	100.0	2022 / 2022	E24377A_Contig_1	2026018..2028039	  Siderophore receptor	ADTM01000150
virulence_ecoli	gad	99.79	1401 / 1401	E24377A_Contig_1	3686683..3688083	  Glutamate decarboxylase	CP002185
virulence_ecoli	hlyE	99.13	918 / 918	E24377A_Contig_1	1195283..1196200	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	iroN	100.0	2178 / 2178	E24377A_Contig_1	4587941..4590118	  Enterobactin siderophore receptor protein	AY545598
virulence_ecoli	irp2	100.0	6108 / 6108	E24377A_Contig_1	2006723..2012830	  High molecular weight protein 2 non-ribosomal peptide synthetase	NZ_BGNW01000020
virulence_ecoli	iss	98.98	294 / 294	E24377A_Contig_1	811934..812227	  Increased serum survival	CP001509
virulence_ecoli	kpsE	99.91	1149 / 1149	E24377A_Contig_1	3124841..3125989	  Capsule polysaccharide export inner-membrane protein	AAMK02000004
virulence_ecoli	lpfA	100.0	573 / 573	E24377A_Contig_1	3964950..3965522	  Long polar fimbriae	CP002185
virulence_ecoli	mchF	100.0	2097 / 2097	E24377A_Contig_1	4580674..4582770	  ABC transporter protein MchF	X57524
virulence_ecoli	papC	100.0	2511 / 2511	E24377A_Contig_1	4540968..4543478	  Outer membrane usher P fimbriae	JNPN01000012
virulence_ecoli	sitA	100.0	915 / 915	E24377A_Contig_1	1389296..1390210	  Iron transport protein	ADTM01000098
virulence_ecoli	terC	99.02	714 / 714	E24377A_Contig_1	2974664..2975377	  Tellurium ion resistance protein	CP007491
virulence_ecoli	terC	99.27	959 / 966	E24377A_Contig_1	3280654..3281612	  Tellurium ion resistance protein	MG591698
