Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
61-0776-EPEC-STEC-V4-col1B	HBAMKN_26020	contig_101	481	4383	+	espP	serine protease autotransporter EspP	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	1300	1300	100.00	100.00	1300	BAA31836.1	serine protease autotransporter EspP	NA	NA
61-0776-EPEC-STEC-V4-col1B	HBAMKN_10015	contig_12	6969	8330	-	espK	type III secretion system effector EspK	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	453	453	100.00	90.73	453	BAB34991.1	type III secretion system effector EspK	NA	NA
61-0776-EPEC-STEC-V4-col1B	HBAMKN_10105	contig_12	26342	26608	+	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	EXACTP	88	88	100.00	100.00	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
61-0776-EPEC-STEC-V4-col1B	HBAMKN_26650	contig_126	545	2755	-	katP	catalase/peroxidase KatP	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	736	736	100.00	100.00	736	BAA31832.1	catalase/peroxidase KatP	NA	NA
61-0776-EPEC-STEC-V4-col1B	HBAMKN_12810	contig_16	47522	51775	-	fdeC	intimin-like adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	1417	1416	99.93	91.02	1415	ABE05822.1	intimin-like adhesin FdeC	NA	NA
61-0776-EPEC-STEC-V4-col1B	HBAMKN_13475	contig_17	86162	89266	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	1034	1034	100.00	99.61	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
61-0776-EPEC-STEC-V4-col1B	HBAMKN_01445	contig_2	43070	44302	+	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	410	410	100.00	97.32	410	AAC77293.1	multidrug efflux MFS transporter MdtM	NA	NA
61-0776-EPEC-STEC-V4-col1B	HBAMKN_02370	contig_2	228875	230008	+	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	377	377	100.00	98.67	377	WP_063610930.1	extended-spectrum class C beta-lactamase EC-15	NF000185.2	BlaEC family class C beta-lactamase
61-0776-EPEC-STEC-V4-col1B	HBAMKN_17615	contig_29	7200	7724	-	lpfA	long polar fimbria major subunit LpfA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	174	174	100.00	100.00	174	CAV00478.1	long polar fimbria major subunit LpfA	NA	NA
61-0776-EPEC-STEC-V4-col1B	HBAMKN_03405	contig_3	200654	201721	+	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALP	355	473	71.88	90.59	340	ADD54679.1	type III secretion system effector EspX1	NA	NA
61-0776-EPEC-STEC-V4-col1B	HBAMKN_17875	contig_30	1119	1949	+	cif	type III secretion system effector Cif	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	276	282	96.45	100.00	272	AAQ07241.1	type III secretion system effector Cif	NA	NA
61-0776-EPEC-STEC-V4-col1B	HBAMKN_17885	contig_30	3407	4645	-	nleA	type III secretion system effector NleA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	412	412	100.00	100.00	412	BAF96541.1	type III secretion system effector NleA	NA	NA
61-0776-EPEC-STEC-V4-col1B	HBAMKN_19180	contig_34	27836	32398	+	sslE	lipoprotein metalloprotease SslE	plus	VIRULENCE	VIRULENCE	NA	NA	HMM	1520	1520	100.00	87.91	1522	ADE89421.1	lipoprotein metalloprotease SslE	NF037973.1	lipoprotein metalloprotease SslE
61-0776-EPEC-STEC-V4-col1B	HBAMKN_19410	contig_35	26217	27119	+	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	EXACTP	300	300	100.00	100.00	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
61-0776-EPEC-STEC-V4-col1B	HBAMKN_04280	contig_4	182752	183105	+	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	EXACTP	117	117	100.00	100.00	117	BAE77793.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
61-0776-EPEC-STEC-V4-col1B	HBAMKN_04290	contig_4	184461	184886	+	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTP	141	141	100.00	94.33	141	AAA21096.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase
61-0776-EPEC-STEC-V4-col1B	HBAMKN_20400	contig_40	2412	3065	-	espJ	type III secretion system effector ADP-ribosyltransferase EspJ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	217	217	100.00	98.16	217	BAF96525.1	type III secretion system effector ADP-ribosyltransferase EspJ	NA	NA
61-0776-EPEC-STEC-V4-col1B	HBAMKN_20595	contig_41	4517	5401	-	espF	type III secretion system LEE effector EspF	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	294	294	100.00	100.00	294	CAI43856.1	type III secretion system LEE effector EspF	NF040807.1	type III secretion system LEE effector EspF
61-0776-EPEC-STEC-V4-col1B	NA	contig_41	4787	5401	-	espF	type III secretion system LEE effector EspF	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	205	207	99.03	92.68	205	AAF03351.1	type III secretion system LEE effector EspF	NA	NA
61-0776-EPEC-STEC-V4-col1B	HBAMKN_20615	contig_41	6573	7517	-	espB	type III secretion system LEE translocon pore-forming subunit EspB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	314	314	100.00	100.00	314	BAI32327.1	type III secretion system LEE translocon pore-forming subunit EspB	NA	NA
61-0776-EPEC-STEC-V4-col1B	HBAMKN_20625	contig_41	8693	9271	-	espA	type III secretion system LEE translocon filament protein EspA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	192	192	100.00	100.00	192	CAI43862.1	type III secretion system LEE translocon filament protein EspA	NA	NA
61-0776-EPEC-STEC-V4-col1B	HBAMKN_20640	contig_41	12021	14867	-	eae	intimin type epsilon	plus	VIRULENCE	VIRULENCE	INTIMIN	EPSILON	EXACTP	948	948	100.00	100.00	948	CAI43865.1	intimin type epsilon	NF033627.3	intimin
