Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
61-0631-EIEC-V4-col3B	ECHEBD_01160	contig_1	229730	234292	-	sslE	lipoprotein metalloprotease SslE	plus	VIRULENCE	VIRULENCE	NA	NA	HMM	1520	1520	100.00	87.57	1521	ADE89421.1	lipoprotein metalloprotease SslE	NF037973.1	lipoprotein metalloprotease SslE
61-0631-EIEC-V4-col3B	ECHEBD_02680	contig_1	536923	540027	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	1034	1034	100.00	99.61	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
61-0631-EIEC-V4-col3B	ECHEBD_13495	contig_11	141493	142626	+	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	377	377	100.00	97.88	377	WP_063610930.1	extended-spectrum class C beta-lactamase EC-15	NF000185.2	BlaEC family class C beta-lactamase
61-0631-EIEC-V4-col3B	NA	contig_119	1432	2349	+	capU	putative hexosyltransferase CapU	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIAL_CONTIG_ENDX	306	362	84.53	99.67	306	BAF33872.1	putative hexosyltransferase CapU	NA	NA
61-0631-EIEC-V4-col3B	ECHEBD_13770	contig_12	29631	29939	+	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	BLASTP	102	102	100.00	99.02	102	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
61-0631-EIEC-V4-col3B	ECHEBD_16185	contig_16	5688	6260	+	lpfA	long polar fimbria major subunit LpfA-O113	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	190	190	100.00	100.00	190	AAT76975.1	long polar fimbria major subunit LpfA-O113	NA	NA
61-0631-EIEC-V4-col3B	ECHEBD_16500	contig_16	67773	68957	-	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTP	394	394	100.00	100.00	394	BAE77620.1	multidrug efflux MFS transporter EmrD	NA	NA
61-0631-EIEC-V4-col3B	ECHEBD_16790	contig_17	20217	21119	-	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	BLASTP	300	300	100.00	99.67	300	BAE77395.1	CDF family cation-efflux transporter FieF	NA	NA
61-0631-EIEC-V4-col3B	ECHEBD_25985	contig_177	1025	1318	-	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTP	97	97	100.00	100.00	97	CAR12622.1	increased serum survival lipoprotein Iss	NA	NA
61-0631-EIEC-V4-col3B	ECHEBD_26205	contig_208	351	713	-	arsD	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTP	120	120	100.00	98.33	120	AAB09625.1	arsenite efflux transporter metallochaperone ArsD	NF033727.1	arsenite efflux transporter metallochaperone ArsD
61-0631-EIEC-V4-col3B	ECHEBD_26210	contig_208	761	1114	-	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	EXACTP	117	117	100.00	100.00	117	AAB09624.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
61-0631-EIEC-V4-col3B	NA	contig_266	4	333	+	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	110	110	100.00	99.09	110	CAA77936.1	multidrug efflux SMR transporter EmrE	NA	NA
61-0631-EIEC-V4-col3B	NA	contig_272	3	1052	-	arsA	arsenite efflux transporter ATPase subunit ArsA	plus	STRESS	METAL	ARSENIC	ARSENITE	PARTIAL_CONTIG_ENDX	350	583	60.03	99.14	350	AAB09626.1	arsenite efflux transporter ATPase subunit ArsA	NA	NA
61-0631-EIEC-V4-col3B	ECHEBD_26635	contig_277	89	1003	+	yfdX1	heat resistance protein YfdX1	plus	STRESS	HEAT	NA	NA	BLASTP	304	304	100.00	97.04	304	APX31172.1	heat resistance protein YfdX1	NA	NA
61-0631-EIEC-V4-col3B	ECHEBD_20260	contig_28	37975	39207	-	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	410	410	100.00	97.80	410	AAC77293.1	multidrug efflux MFS transporter MdtM	NA	NA
61-0631-EIEC-V4-col3B	NA	contig_3	202635	203861	+	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALX	409	473	86.47	91.93	409	ADD54679.1	type III secretion system effector EspX1	NA	NA
61-0631-EIEC-V4-col3B	NA	contig_348	365	802	+	terZ	tellurium resistance-associated protein TerZ	plus	STRESS	METAL	TELLURIUM	TELLURIUM	PARTIAL_CONTIG_ENDX	146	193	75.65	98.63	146	AAA86846.1	tellurium resistance-associated protein TerZ	NA	NA
61-0631-EIEC-V4-col3B	NA	contig_402	298	657	-	terW	tellurium resistance protein TerW	plus	STRESS	METAL	TELLURIUM	TELLURIUM	PARTIAL_CONTIG_ENDX	120	155	77.42	99.17	120	AAC44736.1	tellurium resistance protein TerW	NA	NA
61-0631-EIEC-V4-col3B	ECHEBD_07455	contig_5	103588	103854	+	ymgB	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	EXACTP	88	88	100.00	100.00	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
61-0631-EIEC-V4-col3B	ECHEBD_23860	contig_56	166	1053	+	yfdX2	heat resistance protein YfdX2	plus	STRESS	HEAT	NA	NA	BLASTP	295	295	100.00	94.24	295	ASF80766.1	heat resistance protein YfdX2	NA	NA
61-0631-EIEC-V4-col3B	ECHEBD_23865	contig_56	1150	1761	+	hdeD-GI	heat resistance membrane protein HdeD-GI	plus	STRESS	HEAT	NA	NA	BLASTP	203	203	100.00	90.15	203	APX31174.1	heat resistance membrane protein HdeD-GI	NA	NA
61-0631-EIEC-V4-col3B	ECHEBD_23895	contig_56	4935	5375	+	trxLHR	heat resistance system thioredoxin Trx-GI	plus	STRESS	HEAT	NA	NA	BLASTP	146	146	100.00	90.41	146	APX31176.1	heat resistance system thioredoxin Trx-GI	NA	NA
61-0631-EIEC-V4-col3B	ECHEBD_23900	contig_56	5379	7094	+	kefB-GI	heat resistance system K+/H+ antiporter KefB-GI	plus	STRESS	HEAT	NA	NA	BLASTP	571	571	100.00	95.27	571	APX31177.1	heat resistance system K+/H+ antiporter KefB-GI	NA	NA
